Herr Präsident, sehr geehrter Herr Kommissar, liebe Kolleginnen und Kollegen!	Mr President, Commissioner, ladies and gentlemen, today is, for me, a much longed-for day.
Der heutige Tag ist für mich ein besonders lang ersehnter Tag. Bereits Mitte 1999 wurde ich vom Ausschuss für Recht und Binnenmarkt als Berichterstatterin für die zweite Lesung der Richtlinie über den Fernabsatz von Finanzdienstleistungen bestellt.	As long ago as the middle of 1999, I was appointed by the Committee on Legal Affairs and the Internal Market as rapporteur for the second reading of the directive concerning the distance marketing of consumer financial services.
Es war uns hier im Parlament die Dringlichkeit dieser Richtlinie bewusst.	We in Parliament were conscious of the urgency of this directive.
Wir wollten jederzeit für den Gemeinsamen Standpunkt gerüstet sein.	We wanted to be prepared at any time for the common position.
Es hieß dann allerdings fast drei Jahre warten und hoffen, dass die vielen Anläufe mehrerer Präsidentschaften irgendwann zum Erfolg kommen und der Rat in der Lage ist, einen Gemeinsamen Standpunkt zu finden.	We then had to wait almost three years, however, hoping that the many attempts by several presidencies would at some point prove successful and that the Council would be able to come up with a common position.
Wenn ich nun diesem Haus vorschlage, nur minimale Änderungen am Gemeinsamen Standpunkt des Rates vorzunehmen, dann tue ich dies nicht deshalb, weil mich das lange Warten auf den Gemeinsamen Standpunkt zermürbt hat, sondern deshalb, weil ich zutiefst überzeugt bin, dass der Gemeinsame Standpunkt des Rates einen guten Kompromiss darstellt und der Rat von seiner ursprünglichen Ausgangsposition weit abgegangen ist und dem Europäischen Parlament und seinen inhaltlichen Vorstellungen aus der ersten Lesung weit entgegengekommen ist.	If I now propose that Parliament make only minimal changes to the Council common position, then I do so not because the long wait for the common position has worn me down but because I am deeply convinced that the Council common position is a good compromise and that the Council has moved a long way from its original starting point and done a lot to accommodate Parliament and its objections to the content of the draft directive, raised at first reading.
Ich darf an dieser Stelle auch der Berichterstatterin in der ersten Lesung, Frau Oomen-Ruijten, recht herzlich danken.	I must also take this opportunity to express my sincere thanks to the rapporteur for the first reading, Mrs Oomen-Ruijten.
Ich denke, dass ihr Bericht den Richtlinienentwurf wesentlich verbessert hat.	I think that her report has significantly improved upon the draft directive.
Viele ihrer Änderungen mussten auch von Rat und Kommission angenommen werden.	Many of her changes also had to be adopted by the Council and the Commission.
In der Begründung zu meinem Bericht habe ich sehr ausführlich aufgelistet, in welchen Punkten die Richtlinie nun im Sinne der ersten Lesung im Europäischen Parlament abgeändert wurde.	In the explanatory statement forming part of my report, I provided a very comprehensive list of the points on which the directive has now been changed following the first reading in Parliament.
Ich möchte hier nur einige wichtige Punkte aufzählen: Es wurde das Verhältnis zur Richtlinie über den elektronischen Geschäftsverkehr klargestellt.	I should like here just to list a few important points, as follows. The relationship to the directive on electronic commerce was clarified.
Es wurde klargestellt das Verhältnis zur Brüssel II-Verordnung und zum Übereinkommen von Rom.	The relationship to the Brussels II Regulation and the Rome Convention was clarified.
Das hätte textlich vielleicht noch besser sein können, aber rechtlich gesehen ist das Verhältnis jetzt klar.	The text might perhaps have been further improved, but the relationship is now clear from a legal point of view.
Die Richtlinie ist auf alle Verbraucher anwendbar.	The directive applies to all consumers.
Die vom Parlament in erster Lesung kritisierte Einschränkung auf in der Gemeinschaft ansässige Verbraucher ist weggefallen.	The restriction to consumers 'resident in the territory of the Community', criticised by Parliament at first reading, has been dropped.
Die Liste der vor Vertragsabschluss zur Verfügung zu stellenden Informationen, ein zentraler Punkt der Richtlinie, enthält alle vom Parlament geforderten Punkte und geht zum Teil darüber hinaus.	The list of information to be provided prior to the conclusion of the contract - a central point in the directive - includes all the points called for by Parliament and, in some cases, goes further than the latter.
Als Juristin ist mir auch besonders wichtig gewesen, dass die ursprünglich vorgesehene verpflichtende Bedenkzeit, diese cooling-off period, weggefallen ist.	As a lawyer, I have attached particular importance to the fact that the compulsory cooling-off period originally provided for has been dropped.
Das Widerrufsrecht ist jetzt ein allgemeines Recht, es besteht jetzt nicht nur unter bestimmten Bedingungen.	The right of withdrawal is now a general right and does not now exist only under specified conditions.
Die Richtlinie sieht vierzehn Tage vor, früher waren es im Kommissionsentwurf sieben, das Parlament hat dann dreißig gefordert.	The directive provides for a period of fourteen days. Previously, in the Commission's draft, it had been seven, whereupon Parliament requested thirty.
Mit diesen vierzehn Kalendertagen können wir aber gut leben.	These fourteen calendar days seem acceptable, however.
Es sind auch die Folgen des Widerrufs im Sinne der ersten Lesung des Europäischen Parlaments geregelt.	The consequences of withdrawal have also been determined in line with the European Parliament's requests at first reading.
Die größten Diskrepanzen auch hier im Haus bestehen natürlich rund um die prinzipielle Frage, ob wir maximal oder minimal harmonisieren.	The biggest discrepancies, here in Parliament too, naturally revolve around the issue of principle concerning whether we should harmonise on a maximum or minimum basis.
Es ist ja nicht das erste Mal, dass wir uns hier um diese beiden Prinzipien streiten.	This is, of course, not the first time that we are arguing in Parliament about these two principles.
Das Europäische Parlament hat in erster Lesung - allerdings mit knapper Mehrheit - für das Konzept der Maximalharmonisierung optiert.	Albeit by a narrow majority, the European Parliament opted at first reading for the concept of maximum harmonisation.
Im Rat war dagegen ursprünglich eine relativ große Mehrheit für die durchgängige Anwendung der Mindestharmonisierung.	In the Council, there was, on the other hand, originally a very large majority in favour of the universal application of minimum harmonisation.
Wenn nun dem Gemeinsamen Standpunkt prinzipiell die Maximalharmonisierung zugrunde liegt und die Mitgliedstaaten nur in spezifischen, genau bestimmten Fällen zusätzliche Regelungen zur Anwendung bringen können, so sehe ich darin den einzig realistischen Kompromiss.	If, in theory, maximum harmonisation now forms the basis of the common position and the Member States can only apply additional regulations in specific, precisely defined cases, that seems to me to be the only realistic compromise.
