Herr Präsident, Frau Kommissarin! Ich bin froh, dass wir diese Aussprache haben.	Mr President, Commissioner, I am pleased that we are having this debate.
Wir haben ja mit beiden Ländern intensive Beziehungen, und ich möchte mich natürlich besonders zu Mexiko äußern.	Of course we have intensive relations with both these countries, but I would like to talk about Mexico in particular.
Wir vom Ausschuss für internationalen Handel haben in unserer Debatte besonders Wert darauf gelegt, dass wir Themen, die unseren Bereich berühren, behandeln.	In our debate, we in the Committee on International Trade saw it as particularly important to discuss matters that affect our area.
Uns liegt besonders am Herzen, dass wir die Freihandelsabkommen noch einmal intensivieren.	It is especially important to us that we strengthen the free-trade agreement once again.
Wenn Sie sich die Zahlen anschauen, dann sehen wir zwar, dass unser Handel sich in den letzten Jahren durchaus intensiviert hat, aber dass es doch noch erheblichen Bedarf gibt und dass wir - auch auf europäischer Seite - noch erhebliche Beschränkungen haben, was den Marktzugang angeht.	If you look at the figures, you can see that, although our trade has definitely intensified in recent years, there is still considerable demand and that we - and the European side - still have considerable restrictions when it comes to market access.
Ich würde wirklich darum bitten, dass Sie, Frau Kommissarin, hier noch einmal alles tun, um mit Ihren dafür zuständigen Kollegen doch noch einmal die Situation zu analysieren und da, wo es Probleme gibt, diese Beschränkungen wirklich aufzuheben.	I would sincerely ask you, Commissioner, to again do everything you can to analyse the situation once more together with your competent colleagues and, where problems exist, to really lift these restrictions.
Es macht überhaupt keinen Sinn, dass wir auf der einen Seite mit so wichtigen Ländern in Lateinamerika über strategische Partnerschaften reden und dann auf der anderen Seite immer noch mit sehr absurden Marktbeschränkungen zu kämpfen haben.	It makes no sense whatsoever for us, on the one hand, to talk about strategic partnerships with such important countries in Latin America and then, on the other hand, to still have to battle with such absurd market restrictions.
Manchmal ergeben sie ja einen Sinn, aber in der Regel sind sie wirklich überhaupt nicht wertvoll.	Sometimes, of course, they make sense, but as a rule they are in fact not useful at all.
Ich wäre Ihnen sehr dankbar - und der Ausschuss auch -, wenn wir das einmal lösen könnten.	I would be very grateful to you, and to the committee, if we could resolve this matter.
Der zweite Punkt, der uns am Herzen liegt, ist, dass wir im Rahmen der globalen internationalen Beziehungen Mexiko auch wirklich den Stellenwert geben, der Mexiko gebührt.	The second point that we feel is important is that, in the context of global international relations, we should also truly give Mexico the status it deserves.
Das berührt natürlich besonders diese noch sehr fragile Konstellation im Rahmen der G 20. Wir haben vonseiten der Delegation einen Brief geschrieben, den wir Ihnen auch haben zukommen lassen, in dem wir darum bitten, dass Mexiko an dem Tisch der G 20 sitzen wird und dass das nicht nur eine vorübergehende Erscheinung ist, sondern verstetigt wird.	This, of course, relates in particular to the still very fragile arrangement in connection with the G20. Our delegation has written a letter, which we have also sent to you, in which we ask that Mexico also sit at the G20 table and for this to be a permanent arrangement rather than merely a brief appearance.
Meine letzte Bitte ist, dass Sie bei unserem Delegationstreffen am 30./31. März - ich weiß, Sie selber können nicht kommen - doch bitte dafür sorgen, dass jemand aus Ihrem Zuständigkeitsbereich kommt, wenn die Kollegen Guadarrama, Buganza und Green, die auf der mexikanischen Seite den Vorsitz innehaben, kommen, so dass diese dann wirklich das Gefühl haben, dass die Kommission auf die Delegation und deren Besuch auch Wert legt.	My final request is for you to attend our delegation meeting on 30 and 31 March; I know that you cannot attend personally, but for you to arrange for someone from your area of competence to attend when Mr Guadarrama, Mr Buganza and Mr Green, who chair the Mexico delegation, come so that they really feel that the Commission values the delegation and its visit.
