Ich möchte hier einen Punkt ganz konkret herausgreifen.	I should like here to seize quite specifically upon one particular point.
Ich habe mich besonders darüber gefreut, daß sich der Bericht nicht nur mit der Reform der Verträge und der Verfahren befaßt hat, also nicht nur allgemein gehalten war, sondern sich letzten Endes dazu bekannt hat, Prioritäten zu setzen und festzuschreiben, so etwa, daß Fortschritte erzielt werden müssen im Interesse der Sicherheit Europas und der Bürger im Zusammenhang mit der Weiterentwicklung des Raumes der Freiheit, der Sicherheit und des Rechts und daß entsprechende Verfahren festgeschrieben werden müssen, damit das eine Realität wird.	I was particularly pleased to see that the report has dealt not only with the reform of the treaties and of procedures, and therefore was not just worded in general terms, but has in the last analysis declared itself in favour of setting and specifying priorities to the effect, for example, that progress must be achieved in the interests of the security of Europe and its citizens in connection with the further development of the area of freedom, security and justice, and that relevant procedures must be established so that this becomes a reality.
Damit ist ein Schwerpunkt und ein Signal für die Bürger gesetzt worden.	In that way, citizens will be given a signal and main focus.
In dem Bericht wird auch ein Ziel formuliert, das ich für besonders wichtig erachte, nämlich daß Europa mit mehr Transparenz und mehr öffentlicher Debatte den Bürgern gegenüber auftreten muß.	In the report, a goal is also formulated which I consider to be particularly important, namely that Europe must be seen by its citizens to be transparent and to be conducting a more open debate.
Das halte ich auch für absolut notwendig und gerade im Zusammenhang mit der Entwicklung des Raumes der Freiheit, der Sicherheit und des Rechts für eine gute Möglichkeit.	This, too, I consider to be absolutely necessary, as well as being a good opportunity, especially in connection with the development of the area of freedom, security and justice.
Wir können hier zeigen, daß Europa dort, wo die Mitgliedstaaten mit ihrem Latein am Ende sind, letzten Endes hilfreich für den einzelnen sein kann.	We can show here that, in circumstances where the Member States are at their wits' end, Europe can, in the last analysis, be helpful to the individual.
Wenn es eine Realität ist, daß organisiertes Verbrechen etwa Milliarden erwirtschaftet und durch das Einbringen in den legalen Wirtschaftskreislauf unsere korrekten Systeme, die Gesellschaft insgesamt schädigt, dann brauchen wir Europol, dann brauchen wir eine europäische Justizkooperation.	If it is a fact of life that organised crime earns billions which, by being introduced into the legal economic cycle, damages our legitimate systems, indeed society as a whole, then we need Europol and we need European cooperation in the field of justice.
Wenn der Drogenhandel international bereits 8 % des Handelsvolumens ausmacht, dann müssen wir Europol als eine europäische Institution ausbauen.	If the drug trade already constitutes 8% of the volume of trade worldwide, then we must develop Europol as a European institution.
Wenn Asylbewerber bereits in einer Anzahl von 400 000 jährlich nach Europa kommen, dann brauchen wir europäische Regelungen.	If 400,000 asylum seekers are already coming to Europe each year, then we need relevant European regulations.
Ich meine damit, daß dieser Bericht etwas sehr Konkretes anspricht und damit Vorgaben beinhaltet, die für das Gipfeltreffen in Helsinki eine echte Chance bedeuten.	By that, I mean that this report addresses something very real and contains elements which signify a genuine opportunity for the Helsinki Summit.
Wir werden sehen, ob die Vertreter Europas auf diesem Gipfel im Interesse der Bürger diese Chance für mehr Transparenz, für mehr Chancen für den einzelnen auch tatsächlich werden wahrnehmen können.	We shall see whether, at this summit, Europe' s representatives can in actual fact avail themselves, in the interests of our citizens, of this chance to create more transparency and more opportunities for the individual.
Wir müssen uns das wünschen!	We can only hope so.
