amtierender Ratspräsident.	President-in-Office of the Council.
Frau Präsidentin, Herr Kommissar, sehr geehrte Kolleginnen und Kollegen, sehr geehrte Kollegin Berès! Sie sprachen gerade in Ihrem Beitrag auch im Hinblick auf Finanzdienstleistungen eine Reihe wichtiger Fragen an.	Madam President, Commissioner, ladies and gentlemen, Mrs Berès has just raised a number of important issues in her speech, including with regard to financial services.
Ich kann Ihnen versichern, dass der Rat diesem Aspekt eine zentrale Bedeutung beimisst.	I can assure her that the Council considers this aspect to be of key importance.
Ich unterstreiche noch einmal, dass das europäische Finanzsystem auch als ein wichtiger Beitrag zur Lissabon-Strategie angesehen wird und eine entscheidende Rolle bei der Konsolidierung des Rahmens für Finanzstabilität in der Europäischen Union spielt.	I should like to underline once again that the European financial system is also regarded as making an important contribution to the Lisbon Strategy and plays a pivotal role in strengthening the financial-stability framework in the EU.
Es geht dabei aber genauso darum, die Effizienz der Finanzaufsicht zu stärken, ohne dem Finanzsektor exzessive Aufsichtslasten aufzubürden. Auch hierdurch sollte der Wettbewerb nicht eingeschränkt werden.	What is equally important, however, is that the efficiency of financial supervision be enhanced without encumbering the financial sector with an excessive supervisory burden or restricting competition.
Erlauben Sie mir, auf drei wesentliche Punkte der genannten Ratsschlussfolgerungen hinzuweisen.	Allow me to draw attention to three key points in the Council conclusions mentioned.
Erstens: Der Rat hat zur Schaffung gleicher Ausgangsbedingungen in der Europäischen Union die Bedeutung fairer und nicht diskriminierender nationaler Aufsichtspraktiken hervorgehoben.	Firstly, the Council stressed the importance of fair and non-discriminatory national supervisory practices to achieve a level playing field within the EU.
Zugleich hat er aber auch auf ein angemessenes Gleichgewicht zwischen den Verpflichtungen des Heimatlandes und den Verpflichtungen des Gastlandes Wert gelegt. Aber auch die Bedeutung einer angemessenen und unabhängigen Finanzaufsicht für die Gewährleistung der Finanzstabilität wurde noch einmal betont.	It also attached importance to striking the appropriate balance of home/host country responsibilities, and emphasised once more the importance of an adequate and independent financial supervision to ensure financial stability.
Zweitens: Der Rat hat die drei Stufe-3-Ausschüsse ersucht, bei ihren Bemühungen um die Konvergenz von Vorschriften und Praktiken die in ihren Arbeiten und Berichten aufgezeigten Hindernisse ebenso zu berücksichtigen wie den Bericht des Ausschusses für Finanzdienstleistungen über die Konvergenz auf dem Gebiet der Aufsicht.	Secondly, the Council invited the three level 3 committees to take into account the obstacles identified in the course of their work and in their reports, and also the report by the Financial Services Committee (FSC) on supervisory convergence, in their endeavours towards convergence of rules and practices.
Hierbei geht es insbesondere darum, gemeinsame Formate für das Meldewesen der Finanzinstitute an die Aufsichtsbehörden zu erarbeiten, damit Mehrfachkosten vermieden werden.	It is particularly important in this regard that they work on common formats for financial institutions reporting to supervisors, in order to avoid duplication of costs.
Der Rat hat drittens die Absicht der Kommission unterstützt, im Rahmen ihrer Befugnisse auch die Einhaltung der Regeln im Wettbewerbs- und Beihilferecht zu gewährleisten.	Thirdly, the Council declared its support for the Commission's intention to use its powers to also ensure compliance with the rules on competition and state aid.
Im Rat wurde es als vorrangig betrachtet, die Arbeiten der drei Stufe-3-Ausschüsse zu fördern. Dazu benötigen sie geeignete Aufsichtsinstrumente.	The Council considers it a priority to support the work of the three level 3 committees, for which they need suitable supervisory tools.
Die Schlussfolgerungen des Rates von Mai 2006 enthalten auch ein umfassendes kurz- und mittelfristiges Aktionsprogramm für diesen Bereich, das sich auf einen Bericht des Ausschusses für Finanzdienstleistungen stützt.	The Council conclusions of May 2006 also contain a comprehensive short- and medium-term action plan for this field, based on a report by the Financial Services Committee.
Einen Meilenstein bilden die gründlich überarbeiteten Aufsichtsvorschriften für Banken, Versicherungen und Wertpapierfirmen. Diese stellen die Zusammenarbeit der Aufseher auf eine neue Grundlage, was der Finanzstabilität und der Wettbewerbsfähigkeit unserer Finanzwirtschaft zugute kommt.	The thoroughly revised supervisory rules for insurance and securities firms and banks constitute a milestone, providing a new basis for cooperation between supervisors to the benefit of the financial stability and competitiveness of our financial industry.
Im Bericht des AFD wurden drei Herausforderungen aufgezeigt, die weiteres Handeln erforderlich erscheinen lassen.	The FSC report indicated three challenges revealing the need for further action.
Ich glaube, dass diese Herausforderungen insbesondere für die unmittelbar vor uns liegende Zeit von Belang sind.	I believe that these challenges will be particularly significant in the immediate future.
Erstens müssen die Konvergenz und Zusammenarbeit auf dem Gebiet der Aufsicht weiter verstärkt werden.	Firstly, supervisory convergence and cooperation must be further strengthened.
Zweitens muss die Effizienz des Aufsichtssystems erhöht werden und drittens muss im Hinblick auf die Zunahme grenzüberschreitender Finanzkonzerne die internationale Aufsicht verbessert werden.	Secondly, the efficiency of the supervisory regime must be increased and, thirdly, international supervision must be improved in view of the growing number of cross-border financial groups.
Angesichts dieser Herausforderungen umfasst das im Mai vergangenen Jahres vom Rat gebilligte Aktionsprogramm eine Kombination mehrerer Instrumente.	In the light of these challenges, the action plan approved by the Council in May of last year comprises a combination of several tools.
Diese zielen darauf ab, die Entstehung einer europäischen Aufsichtskultur und eines Mediations- und Delegierungsverfahrens sowie Regelungen für den elektronischen Datenaustausch und gemeinsame Formate für das Meldewesen zu fördern.	These are aimed at fostering the creation of a European supervisory culture, a mediation and delegation mechanism, and also electronic data-sharing arrangements and common formats for reporting.
Ich stelle fest, dass auf Ebene des Europäischen Parlaments im Bericht Muskat ebenfalls mit Nachdruck auf den zuletzt genannten Aspekt hingewiesen wurde.	I note that this last aspect has been emphasised also at European Parliament level, in the Muscat report.
Ich begrüße auch hier die Übereinstimmung der Ansichten.	I welcome the convergence of views on this, too.
