amtierender Ratspräsident.	President-in-Office of the Council.
Vielen Dank, Herr Präsident, für die Möglichkeit, diese Fragen, die in der Tat sachlich zusammengehören, gemeinsam zu beantworten.	Mr President, many thanks for permitting me to answer these questions together, as they belong together in terms of their subject matter.
Die Antwort lautet wie folgt: Der Rat kann bestätigen, dass die gegen die Führung Simbabwes verhängten restriktiven Maßnahmen in ihrer gegenwärtigen Form fortgesetzt werden.	My answer is as follows. The Council can confirm that the restrictive measures against the Zimbabwean Government will be continued in their present form.
Am 19.2.2007 ist eine Verlängerung um ein weiteres Jahr erfolgt.	On 19 February 2007, they were extended by a further year.
Der Rat hat das letzte Jahr hindurch die Lage in Simbabwe aufmerksam verfolgt. Er konnte dabei in Bezug auf die Kriterien, die er als Vorbedingung für eine Wiederaufnahme des Dialogs aufgestellt hat, keine Verbesserungen feststellen.	The Council monitored the situation in Zimbabwe closely throughout last year, but was unable to detect any improvement with regard to the criteria it had established as a precondition for the resumption of dialogue.
Die humanitäre und soziale Situation in Simbabwe wird vom Rat mit großer Aufmerksamkeit verfolgt.	The Council is monitoring the humanitarian and social situation in Zimbabwe very closely.
Humanitäre Hilfe unter Einschluss von Nahrungsmittelhilfe wird im notwendigen Umfang geleistet.	Humanitarian aid, including food aid, is being provided where needed.
Der Lage der Menschenrechte in Simbabwe gilt das besondere Augenmerk des Rates.	The Council is paying particular attention to the human rights situation in Zimbabwe.
Im September 2006 wurden gewaltsame Übergriffe auf demonstrierende Gewerkschaftler zum Anlass genommen, in einer Erklärung die Regierung von Simbabwe aufzufordern, "die Einschüchterung und die Übergriffe einzustellen und die Menschenrechte und Grundfreiheiten der Bürger zu achten".	In September 2006, following violent attacks on demonstrating trade unionists, a declaration was issued calling on the Government of Zimbabwe, 'to stop intimidation and assault and to respect the human rights and fundamental freedoms of its citizens'.
In diesem Zusammenhang hat die EU ausdrücklich auf die afrikanische Charta der Menschenrechte und Rechte der Völker hingewiesen, die auch Simbabwe unterzeichnet hat.	In this connection, the EU made express reference to the African Charter on Human and Peoples' Rights to which Zimbabwe, too, was a signatory.
Auf die am 11. März 2007 gewaltsam aufgelöste friedliche und unter christlicher Schirmherrschaft stehende Kundgebung in Harare, bei der ein Teilnehmer getötet, mehrere verletzt und viele festgenommen wurden, hat die Präsidentschaft umgehend mit einer Erklärung reagiert.	The Presidency reacted immediately to the violent break-up of a peaceful, church-sponsored rally in Harare on 11 March 2007, during which one participant was killed, several were injured and many were arrested, with a statement.
Sie hat ihre Besorgnis über die Kriminalisierung dieser friedlichen Veranstaltung durch die simbabwischen Organe ausgedrückt und die umgehende Freilassung der Festgenommenen, deren Zugang zu rechtlichem Beistand und die Gewährung medizinischer Hilfe gefordert.	It expressed its concern about the criminalising by the Zimbabwean authorities of this peaceful rally, and urged that the persons arrested be released immediately and that they be given access to legal assistance and medical care.
Die Krise in Simbabwe hat seit Jahren unbestritten negative wirtschaftliche und soziale Auswirkungen für die gesamte Region.	There is no doubt that the crisis in Zimbabwe has had a negative economic and social impact on the whole region for years.
Was die Rolle Südafrikas betrifft, so geht der Rat davon aus, dass dieses Land die politischen, wirtschaftlichen und sozialen Entwicklungen in Simbabwe genauestens verfolgt und auf den Südafrika zur Verfügung stehenden Wegen an einer Lösung des Problems arbeitet.	Regarding the role of South Africa, the Council assumes that this country is monitoring the political, economic and social developments in Zimbabwe very closely and working on solving the problem with the means at its disposal.
