Herr Präsident! Ich will noch ein paar Wermutstropfen in den Wein gießen.	Mr President, I wish to drop a few more flies into the ointment.
Nach der großen Krise haben wir jetzt einen guten und ausgewogenen Verordnungsvorschlag, der die Aufbauphase aus meiner Sicht sichern wird.	After the major crisis we now have a good and balanced proposal for a regulation, which in my view will secure the construction phase.
Damit dürfen wir jedoch nicht zur Tagesordnung übergehen.	To do this, however, we should not run over the agenda.
Mit dem geplanten Beginn der Betriebsphase 2013 hat sich das Projekt um fünf Jahre verschoben.	The project has been put back five years, with the operating phase planned to begin in 2013.
Damit scheitert unsere industriepolitische Strategie, mit Galileo vor GPS 3 auf dem Markt zu sein und weltweit die Standards zu setzen.	Our industrial policy strategy is therefore failing, as regards being ahead of GPS 3 on the market with Galileo and setting the standards worldwide.
Deshalb brauchen wir aus meiner Sicht noch immer eine ausführliche Analyse der selbstgemachten Krise durch die Kommission, denn wir müssen aus dem Scheitern des PPP-Modells lernen, da mit Caesar ein weiteres PPP-Modell ansteht.	I therefore believe that we still need a detailed analysis of the crisis the Commission itself has created, because we have to learn from the breakdown of the PPP model, since another PPP model is available with Caesar.
Wir haben nun mit Galileo keinen Systemvorsprung mehr, deshalb wird die Systemvermarktung deutlich schwieriger.	We now no longer have any competitive edge with Galileo, so marketing the system is clearly becoming more difficult.
Aus diesem Grund müssen wir rechtzeitig eine Diskussion über die öffentlichen Kosten der Betriebsphase nach 2013 führen, und dazu sollten wir uns darauf konzentrieren, wie wir öffentlich finanzierte Systeme für Galileo festschreiben können wie die Maut, eCall und Caesar.	For this reason we must have a discussion in sufficient time about the public costs of the operating phase after 2013 and we should concentrate on how we can establish publicly funded systems for Galileo such as tolls, eCall and Caesar.
Als Letztes: Wir brauchen schon jetzt ein Programm für die Anwendung in der Kombination von Galileo- und GPS-Signalen.	Finally, we are now already in need of a programme for the combined use of Galileo and GPS signals.
Darauf müssen wir uns konzentrieren, denn darin liegt der Mehrwert.	We have to concentrate on this because therein lies the added value.
(Der Präsident entzieht dem Redner das Wort.)	(The President cut off the speaker)
