Herr Präsident, Herr Kommissar, meine Damen und Herren! Zwei Meldungen zur heutigen Diskussion.	Mr President, Commissioner, ladies and gentlemen, two reports on today's discussion.
Erstens, in Haiti, Bangladesch, Ägypten und anderen Ländern hat es gewalttätige Proteste gegen die hohen Lebensmittelpreise gegeben.	Firstly, there have been violent protests against high food prices in Haiti, Bangladesh, Egypt and other countries.
Zweitens, die europäischen Bauern demonstrieren gegen den Preisverfall im Milchsektor.	Secondly, European farmers are demonstrating against the fall in prices in the dairy sector.
Allem Anschein nach zwei sich widersprechende Meldungen, aber sie gehören zusammen und belegen, dass die Krise viele Facetten hat.	To all appearances, there are two conflicting reports, but they do belong together and prove that there are many sides to the crisis.
Wir brauchen ein Maßnahmenpaket, denn die Versuchung des Protektionismus durch Nahrungsmittelproduzenten und Handelsketten ist eine ernstzunehmende Erscheinung, und hier muss die Politik zuerst ansetzen.	We need a package of measures because the temptation to resort to protectionism through food producers and retail chains is an aspect that should be taken seriously and policy must be determined here first.
Ich bin im Gegensatz zu Herrn Borrell nicht der Meinung, dass wir regulieren sollen, sondern dass wir für mehr Wettbewerb sorgen sollen.	Unlike Mr Borrell, I do no believe that we should be regulating, but that we should be providing greater competition.
Das ist der Schlüssel!	That is the key!
Den oft zitierten Zusammenhang zwischen Lebensmittelpreisen und Anbau von nachwachsenden Rohstoffen sehe ich nicht so.	I do not therefore see the often quoted connection between food prices and the cultivation of renewable raw materials.
Das ist übertrieben und nicht zielführend.	This is disproportionate and not targeted.
Tatsache ist, dass der Bedarf an Lebensmitteln zugenommen hat, insbesondere in China und Indien.	The fact is that demand for foodstuffs has increased, particularly in China and India.
Daran kommen wir nicht vorbei, aber trotzdem müssen wir feststellen, dass es noch keine Knappheit an Lebensmitteln gibt, die diese Preissteigerung rechtfertigt.	We cannot avoid this, but we do nevertheless have to state that there is still no shortage of food to justify this increase in prices.
Ich denke trotzdem, dass wir Maßnahmen einleiten müssen, um die Produktion von Lebensmitteln zu steigern.	I do think, however, that we must introduce measures to increase food production.
Die Unterstützungszahlungen unserer Landwirte sind deshalb in diese Richtung zu entwickeln.	Our farmers' benefit payments should therefore be increased along these lines.
Die Korrektur unserer Agrarpolitik halte ich für falsch, sie muss weiterentwickelt werden, das ist ein wichtiger Grundsatz.	I believe the revision of our agricultural policy is wrong; it has to be developed further - that is an important principle.
Wir sollten aber auch einmal unsere Gesetzgebung betrachten, ob sie überhaupt für die Steigerung der Produktion geeignet ist.	We should also, however, be looking at our legislation to see whether it is at all appropriate for increasing production.
Wir haben viele Vorschriften, die den Einsatz von Düngemitteln und Pestiziden beschränken, die bei der Wasserrahmenrichtlinie Belastungen auslösen.	We have a lot of regulations, which restrict the use of fertilisers and pesticides, which cause stresses and strains in the Water Framework Directive.
Die führen nun gerade nicht zur Preissteigerung.	These are not now causing price increases.
Hier sollten wir noch einmal darüber nachdenken, ob wichtige Entwicklungen nötig sind.	Here we should once again be thinking about whether major developments are necessary.
Natürlich muss auch die Frage der Stilllegungsflächen weiterentwickelt werden.	The issue of set-aside must also, of course, be developed further.
Die Stilllegung muss aufgehoben werden.	Set-aside must be removed.
Auf diesen Flächen sollte man Lebensmittel anbauen.	We should be cultivating food in these areas.
