Herr Präsident! Jedes Jahrzehnt hat seine Visionen.	Mr President, every decade has its visions.
Für Europa war dies in den achtziger Jahren die Vollendung des Binnenmarkts, die neunziger stehen im Zeichen der Währungsunion.	In the 1980s Europe's vision was the completion of the internal market, in the 1990s it is monetary union.
Die vor uns liegende Phase muß der Konsolidierung, der Verbesserung und der Stärkung des Erreichten dienen - eine Reformepoche von Haupt und Gliedern, wie Tony Blair es ausdrückte.	The forthcoming phase must be geared towards consolidation and improving and strengthening what has been achieved; it must be a period of root and branch and reform, as Tony Blair put it.
Mit dem Haupt sind wohl die Kommissare gemeint, an deren Auswahl, Qualität und Erfolg Sie ganz persönlich beteiligt, ja wofür Sie sogar verantwortlich sind.	The root refers to the Commissioners; you are personally involved in their selection and in their quality and success, and you are responsible for them.
Die Erneuerung der Strukturen, die effiziente Gestaltung der Abläufe und die Einführung einer transparenten Kontrolle werden schwierig genug.	Renewing the structures, making the procedures more efficient and introducing transparent controls will be difficult enough.
Die neue Kommission sollte tatsächlich neu sein in Form von Personen, Denken und Handeln.	The new Commission must be genuinely new in terms of people, thinking and action.
Das sind wir und Sie dem europäischen Bürger schuldig.	You and we owe this to the people of Europe.
Mit den Gliedern ist der Apparat als Ganzes gemeint.	The branches refer to the organisation as a whole.
Es muß klar sein, wer die administrative Führung in der Hand hat.	It must be clear who is in charge of the administration.
Der Bericht des unabhängigen Expertenrates sollte Ihnen dabei hilfreich und die Mithilfe des Parlaments gewiß sein.	The report by the Committee of Independent Experts should help you in this, and Parliament's assistance is assured.
Es reicht nicht aus, die überfrachtete Bürokratie effizienter gestalten zu wollen.	It is not enough to try to make the overburdened bureaucracy more efficient.
Neue Ansätze in Form einer verstärkten Einbindung der Mitgliedstaaten sind erforderlich, Subsidiarität auch bei der Durchführung europäischer Aufgaben entlastet Brüssel und stärkt das Verantwortungsbewußtsein aller - ein Verantwortungsbewußtsein, das es bislang nicht gegeben hat.	New approaches are needed by increasingly involving the Member States; subsidiarity also relieves the burden on Brussels in implementing European tasks and increases everyone's sense of responsibility - a sense of responsibility that has hitherto not existed.
In Ihrer ersten Stellungnahme baten Sie darum, nicht an Ihrer Vergangenheit gemessen zu werden, sondern an den Visionen und Ideen, die Sie für Europa einbringen.	In your first statement you asked not to be judged on your past but on the visions and ideas that you bring to Europe.
Wir werden uns daran halten!	We will hold you to that.
