Herr Präsident! Zum Ende einer solchen Debatte ist es sehr schwer, neue Aspekte zu bringen.	Mr President, it is very difficult to find new things to say at the end of this kind of debate.
Lassen Sie mich deshalb etwas provokativ sein! Und ich sage es gerne provokativ: Wenn ich aufmerksam zuhöre und bestätigt finde, was ich ja seit dreißig Jahren weiß, nämlich daß Rauchen gefährlich ist - wir alle wissen das, und es ist seit dreißig Jahren bekannt -, dann überlege ich mir, warum wir eigentlich nicht die Produktion von Zigaretten verbieten.	Allow me therefore to say something slightly provocative, which I relish doing: when I listen attentively and hear confirmed what I have known to be the case for thirty years, i.e. that smoking is dangerous - we all know that is the case and have done for thirty years - then I ask myself why we do not actually ban the production of cigarettes.
Es wäre sehr konsequent, das zu tun, und vielleicht kann die Kommission darüber nachdenken.	It would be very much the logical thing to do and perhaps the Commission could give some thought to the matter.
Aber ich will nicht zu provokativ sein und etwas ernsthafter werden.	But I would not wish to overdo being provocative and will become a little more serious.
An die Kommission gerichtet sage ich folgendes: Wenn wir es ernst meinen damit, nicht nur Aufklärung zu betreiben und zu informieren, sondern vor allen Dingen auch zu versuchen, ein schädliches Produkt so erträglich wie möglich zu machen, falls das geht, dann ist sicher eine der ersten Voraussetzungen, daß die Frage der Zusatzstoffe geklärt wird.	I have this to say to the Commission: if we are serious, not just about creating transparency and informing people, but above all, about trying to make a harmful product as tolerable as possible - assuming we can - then surely one of the first things we need to do is to clarify the issue of additives.
Ich frage mich, und die Frage richte ich an die Kommission: Warum gibt es immer noch keine Harmonisierung, keine Angleichung der erlaubten Zusatzstoffe?	I ask myself, and would like to know from the Commission, why there is still no harmonisation, no approximation of permitted additives?
Warum haben wir in der Europäischen Union keine Liste der Zusatzstoffe, die zugefügt werden dürfen, und keine Regelung, in welcher Menge sie erlaubt sind?	Why does the European Union not have a list of permitted additives, or a regulation specifying permitted amounts?
Warum führen wir das nicht auf einer Positivliste auf und etikettieren das auch?	What is stopping us from drawing up a positive list and labelling accordingly?
Wenn man den Mund spitzt, dann muß man eigentlich auch pfeifen.	We should put our money where our mouth is.
Das vermisse ich an dieser Stelle.	That is not what is happening here.
Ich möchte einen weiteren Punkt hinzufügen: Warum sind wir nicht konsequent und harmonisieren auch die Steuern, wenn wir der Überzeugung sind, daß Zigaretten gefährlich sind?	There is another point I would like to add: why are we not being consistent in our approach and harmonising taxation, if we are convinced that cigarettes are harmful?
Warum unternehmen Sie nichts in diesem Bereich?	Why are you doing nothing in this respect?
Meine Unterstützung hätten Sie dabei!	I, for one, would support you if you did.
Warum harmonisieren wir nicht die Steuern, gerne auf hohem Niveau?	Why are we not going to harmonise taxation, preferably at a high level?
Hierbei möchte ich alle Kolleginnen und Kollegen, die heute gesprochen haben, um Unterstützung bitten.	I urge all the honourable members who have spoken today to support this.
Steuerharmonisierung auf hohem Niveau innerhalb der Europäischen Union!	Harmonisation of taxation at a high level within the European Union.
Wenn wir wissen, daß Rauchen gefährlich ist, darf der Verbrauch und Konsum von Tabak nicht in einem Mitgliedsland mit hohen Steuern und in einem anderen Mitgliedsland mit sehr niedrigen Steuern belegt werden.	If we know that smoking is dangerous then we cannot have a situation where tobacco is being used and consumed in one Member State at a high rate of taxation, and at a very low rate in another Member State.
Unternehmen Sie bitte hier etwas, Herr Byrne, und spitzen Sie auch hier nicht nur den Mund, sondern pfeifen Sie bitte auch!	Do something about this please, Mr Byrne, and put your money where your mouth is in this respect as well.
Als nächsten Punkt möchte ich die Frage der Subventionen ansprechen.	In my next point I would like to raise the issue of subsidies.
Wenn es hier auch nicht hergehört, weiß ich doch, daß wir diesen Punkt erörtern müssen, Herr Byrne.	Even if this point does not belong here, I know that we must raise it nonetheless, Mr Byrne.
Wenn Sie es mit Gesundheitsschutz ernst meinen, dann möchte ich sehen, daß Sie im Haushalt dafür kämpfen, daß Subventionen für etwas anderes ausgegeben werden als für Tabakanbau!	If you are serious about protecting people' s health, then when it comes to the budget, I would like to see you fight to have subsidies spent on something other than tobacco cultivation!
