Herr Präsident! Der Bericht des Kollegen Lamassoure behandelt ein wahrlich kompliziertes Thema.	Mr President, the issue with which Mr Lamassoure's report deals is indeed a complex one.
Dies wurde nicht nur im Ausschuss für konstitutionelle Fragen deutlich, das zeigten auch die ersten Debatten im Konvent. Der Bericht wird sicher ein Beitrag für die weitere Arbeit des Konvents sein.	This was apparent not only in the Committee on Constitutional Affairs, but was also shown by the first debates in the Convention, to whose work this report will surely make a contribution.
Von daher gebührt dem Berichterstatter hier Dank.	For that the rapporteur deserves our gratitude.
Ich habe mich bei der Abstimmung im Ausschuss der Stimme enthalten und möchte einige Beispiele anführen, die meines Erachtens im Bericht noch nicht überzeugend angesprochen wurden.	I abstained in the vote on this report in the Committee and would like to adduce a number of examples of things which, to my mind, the report has not yet addressed in a convincing way.
Es mag sein, dass eine Definition der drei Arten der existierenden Zuständigkeiten hilfreich ist, aber zu kurz kommt die klare Aussage, dass in erster Linie das Demokratieproblem in Europa gelöst werden muss.	It may well be helpful to define the three types of competence that already exist, but that falls short of a clear statement that the first priority must be to resolve Europe's problem with democracy.
Die Prinzipien der Subsidiarität und der Verhältnismäßigkeit: Hier stehen die Dinge meines Erachtens auf dem Kopf.	When we come to the principles of subsidiarity and proportionality, things strike me as having been turned on their head.
Warum?	Why?
Der Bericht erzeugt den Eindruck, dass die Beachtung und Durchsetzung beider Prinzipien gerichtliche Entscheidungen erfordern.	The report gives the impression that Court rulings are needed in order for both principles to be adhered to and put into effect.
Aber nirgends im gesamten Text ist die Rede davon, dass das reale Problem woanders liegt, nämlich bei den konkret handelnden Akteuren europäischer Politik.	Nowhere, though, in the text as a whole, is there any mention of the fact that the real problem is to be found elsewhere, with the European political actors who actually initiate action.
Es gibt klare Vertragsbestimmungen, zum Beispiel das Subsidiaritätsprotokoll des Amsterdamer Vertrages. Alle Institutionen sind diesen verpflichtet.	There are clear provisions in the Treaties, for example the protocol on subsidiarity in the Treaty of Amsterdam, by which all the institutions are bound.
Die Frage, um die es eigentlich geht, ist doch vielmehr, wie sie ihre daraus erwachsenden Pflichten ausüben, wie ernsthaft sie wirklich vor ihrem Tätigwerden prüfen, ob die Prinzipien verletzt werden.	The point actually at issue is rather how they carry out the duties accruing to them on that basis, how seriously they really check whether the principles are being infringed before they take action.
Dieser gewisse Vorabcheck muss endlich von allen gemacht werden.	At the end of the day, everyone has to do this sort of initial check.
Dann müsste auch niemand vor Inkrafttreten einer Rechtsvorschrift, die ja zumeist erst nach jahrelangen Debatten und entsprechenden Verfahren zustande kommt, vor den EuGH ziehen.	If they did, nobody would have to go to the ECJ before the entry into force of a legal measure which in most cases has taken years of debate and associated procedures to come into being.
In Punkt 33 heißt es, der Rahmen der Zuständigkeiten soll nach zehn Jahren überprüft werden.	Point 33 states that the framework of competences is to be reviewed after ten years.
Der Sinn und der Inhalt dieses Vorschlags erschließen sich mir nicht.	What this means, and what its point is, is a mystery to me.
Soll das bedeuten, dass alle zehn Jahre eine Vertragsänderung ansteht?	Is it meant to mean that there is to be an amendment to the Treaties every ten years?
Will man ernsthaft eine derartige Regel, starr fixiert auf einen Zehnjahresrhythmus und völlig losgelöst von möglichen politischen Rahmenbedingungen und Erfordernissen?	Is a rule of this sort really what is wanted, something that is rigidly fixed to a ten-year cycle and utterly divorced from potential political frameworks and requirements?
Vor allem aber macht der Bericht nicht deutlich, dass ein soziales Europa geschaffen werden muss, und dass dies vor dem Hintergrund der Wirtschafts- und Währungsunion zu den zwingenden Aufgaben der Union zählt.	Above all, though, the report fails to make clear the need for a social Europe, and that its creation is one of the EU's most pressing tasks against the backdrop of economic and monetary union.
Man setzt sich das Ziel, wirtschaftlichen und sozialen Fortschritt sowie hohes Beschäftigungsniveau zu fördern.	We set ourselves the objective of promoting economic and social progress, with a high level of employment as well.
Man möchte sogar bis 2010 Vollbeschäftigung erreichen.	We even want to achieve full employment by 2010.
Aber den bislang schönen Worten müssen Taten folgen.	The words to date have been splendid, but they need to be backed up by actions.
Beschäftigung und soziale Sicherheit sind keine Variablen des Wettbewerbs, sondern individuelles Grundrecht jeder Bürgerin und jedes Bürgers, und dahin muss sich die Europäische Union entwickeln.	Employment and social security are not variables in competition, but every citizen's individual and fundamental right, and it is in that direction that the European Union must develop.
