Herr Präsident!	.
Zu der Frage nach der Zusammenarbeit mit dem Strafgerichtshof will ich noch einmal bestätigen, dass das Urteil darüber, ob Kroatien sich in dieser Zusammenarbeit vollständig kooperativ verhält, allein vom Strafgerichtshof selber abgegeben werden kann.	Mr President, on the question of cooperation with the Tribunal, I would confirm again that the judgment on whether Croatia is cooperating fully in this regard can only be made by the Tribunal itself.
Wir sind nicht in der Lage, hier aus eigenem Wissen und aus eigener Erkenntnis ein Urteil abzugeben, und - wie Chris Patten eben gesagt hat - wir haben uns auf den Internationalen Strafgerichtshof selber als Schiedsrichter in dieser Frage geeinigt und wir haben jetzt im Augenblick ein klares Bild.	We are not in a position to make a judgment from our own knowledge and experience, and as Mr Patten has just said, we have agreed that the International Criminal Tribunal will be the referee on this issue and we do have a clear picture at present.
Wenn sich dieses klare Bild durch Stellungnahmen des Strafgerichtshofs in der Zukunft verändern sollte, würde das Auswirkungen auf den Prozess haben, den wir heute mit Kroatien einleiten.	Should this clear picture change in future as a result of statements by the Tribunal, this would impact on the process that we are initiating with Croatia today.
Das versteht sich von selbst und deshalb wiederhole ich noch einmal, dass diese Zusammenarbeit mit dem Strafgerichtshof nicht nur einmal als zufriedenstellend festgestellt werden muss, sondern dass sie selbstverständlich sich kontinuierlich fortsetzen muss.	That is understood, and that is why I reiterate that this cooperation with the Tribunal must be viewed as satisfactory not only on one occasion but of course on an ongoing basis.
Im Hinblick auf die Frage von Frau Pack kann ich nur sagen, dass sich der Europäische Rat nach meiner Kenntnis im Juni mit dieser Frage beschäftigen will.	On Mrs Pack's question, all I can say is that to my knowledge, the European Council plans to deal with this issue in June.
Dies ist aber eine Frage, die die irische Präsidentschaft entscheiden muss.	However, that is a matter for the Irish Presidency.
Die Kommission wird sich hier in keiner Weise einmischen.	The Commission will not intervene in any way.
Wir haben das Timing für die Vorlage unseres Berichts darauf abgestellt, dass der Rat genügend Zeit hat sich vorzubereiten, und dann seine Entscheidung im Juni auf der Tagung des Europäischen Rats treffen kann.	We have timed the presentation of our report so that the Council has enough time to prepare itself before reaching a decision at the European Council meeting in June.
So wie ich den Europäischen Rat kenne, ist er immer dankbar, wenn er Hinweise und Ratschläge aus dem Europäischen Parlament bekommt.	In my experience, the European Council is always grateful for guidance and advice from the European Parliament.
Das war gar nicht ironisch gemeint.	That is not meant at all ironically.
Ein solcher Hinweis aus dem Europäischen Parlament wäre sicher hilfreich.	Such guidance from the European Parliament would undoubtedly be helpful.
