Herr Präsident! Hier findet im Moment die Debatte darüber statt, wie voll denn das Glas sei.	– Mr President, we are now debating how full the glass is.
Ich kann nur offen sagen, in dem Glas ist fast nichts drin, es gibt nichts zu trinken, und das sollte hier allgemein akzeptiert werden.	I must be frank and say that the glass is almost empty; there is nothing to drink – and this should be a commonly accepted fact.
Dieser UN-Gipfel ist umfassend gescheitert.	This United Nations Summit was an all-round failure.
Das, was geplant war, wurde nicht erreicht.	What was planned was not achieved.
Das sieht man sehr gut an der Veränderung dieser Abschlussresolution, wenn man sich anschaut, wie sie am Anfang ausgesehen hat, und wie jetzt am Ende ein ganz dünnes Papier übrig geblieben ist.	A very good illustration of this is the change in this outcome resolution, when one compares its original appearance with the way it has ended up – only a thin paper now remains.
Bei einem Punkt allerdings bin ich froh, dass er nicht verabschiedet wurde.	I am pleased on one count, however: that it was not adopted.
Er betrifft nämlich das, was die hochrangige Gruppe, die Kofi Annan einen Bericht übergeben hat, vorgeschlagen hat.	The reason is that it concerns the proposals of the High-Level Panel that presented a report to Kofi Annan.
Sie wollte für die Vereinten Nationen ein Präventivkriegskonzept verankern, und damit hätte sie die Grundidee der Vereinten Nationen kaputtgemacht.	This Panel wanted to anchor a concept of pre-emptive war in the United Nations, and would have destroyed the basic idea of the United Nations in so doing.
Dieses Präventivkriegskonzept findet sich nicht mehr konkret, sondern nur noch angedeutet in Ziffer 92. Da bin ich sehr froh, dass das nicht mehr der Fall ist.	There is no longer any specific reference to the concept of pre-emptive war; only an allusion to it remains, in paragraph 92. I am very glad that this change was made.
Frau Ferrero-Waldner, wenn Sie sagen, der Kosovo-Krieg habe hierfür quasi den Anlass gegeben, dann liegt doch genau darin das Problem: Das war ein Völkerrechtsbruch, und das ist genau das, was wir nicht wollen.	Commissioner Ferrero-Waldner says that this was, in a way, triggered by the Kosovo war, but that is exactly where the problem lies. That war constituted a violation of international law, and that is exactly what we want to avoid.
Das Völkerrecht sollte eingehalten werden.	International law should not be violated.
