Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, today sees the fulfilment of a small dream.
Ein kleiner Traum geht heute in Erfüllung: Ich habe zehn Minuten Redezeit, so viel, wie sonst nur ein Fraktionsvorsitzender hat.	I have ten minutes' speaking time, as much as only a Group chairman can normally expect.
Das liegt aber daran, dass zwei Berichte zusammengelegt wurden, die eigentlich gar nicht zusammen gehören.	This, however, comes about through the grouping together of two reports, which do not actually belong together.
Ich möchte sie darum in meiner Rede auch eher trennen.	So I would prefer to speak on them separately.
Zunächst zum Zivilrechtsraum.	Let me begin with the area of civil law.
Mit dem Inkrafttreten des Maastrichter Vertrages 1993 wurde die justizielle Zusammenarbeit in Zivilsachen zur gemeinsamen Angelegenheit der Mitgliedstaaten.	When the Maastricht Treaty came into force in 1993, judicial cooperation in civil matters became a matter of common concern for the Member States.
Der Vertrag von Amsterdam überführte diese Zusammenarbeit dann durch den Artikel 65 EGV aus dem dritten Pfeiler in den ersten Pfeiler.	Then the Treaty of Amsterdam, by means of Article 65 of the Treaty Establishing the European Community, transferred this cooperation from the third pillar to the first.
Seit dem Inkrafttreten hat es hier eine rege europäische Rechtssetzung gegeben.	Its entry into force brought about active European lawmaking.
Es wurden Regelungen für Gesetzes- und Zuständigkeitskonflikte angeglichen, die Ratsverordnung über das Insolvenzverfahren und über die Zustellung von Schriftstücken in Zivil- und Handelssachen beschlossen, und Vorschläge für Verordnungen zur Beweisaufnahme und zum Umgangsrecht wurden dem Rat vorgelegt.	Regulations on conflicts of law or of jurisdiction were adjusted, the Council directive on insolvency procedures and on the service of legal documents in civil and commercial cases was adopted, and draft directives on the gathering of evidence and on rights of access in matrimonial cases were submitted to the Council.
Mit dem Inkrafttreten des aktuellen Nizza-Vertrags werden schließlich zukünftige Entscheidungen im Bereich der justiziellen Zusammenarbeit in Zivilsachen im Mitentscheidungsverfahren mit qualifizierter Mehrheit im Rat getroffen.	The entry into force of the present Treaty of Nice means that future decisions on judicial cooperation in civil matters will finally be reached by codecision procedure with qualified majority in the Council.
Sie sehen, es gibt wirklich eine rasante Entwicklung in diesem Bereich.	You can see that things in this field are developing at breakneck speed.
Für Inhalt und Gestaltung der beruflichen Bildung in der Zivilrechtspflege sind jedoch weiterhin allein die Mitgliedstaaten verantwortlich. Aufgabe der Gemeinschaft ist es aber, die Mitgliedstaaten zu unterstützen, sei es bei der Beseitigung von Hemmnissen bei der Anwendung vom Gemeinschaftsrecht oder bei der Zusammenarbeit der Justizbehörden.	Member States will continue to have sole responsibility for the framework and content of professional training in civil law, but it will be the Community's responsibility to support them whether in the removal of obstacles to the application of Community law or in the cooperation of the judicial authorities.
In keinem europäischen Rechtsbereich ist die Weiterbildung der Berufsgruppen so unerlässlich wie in dem schon fortgeschrittenen harmonisierten Zivilrechtsbereich.	In no area of European law is continuing professional education so imperative as in civil law, in which harmonisation has already made progress.
Straf- und Verwaltungsrecht stehen dagegen noch am Anfang einer europäischen Entwicklung.	Criminal and administrative law, on the other hand, are still only at the beginning of their European development.
In der Vergangenheit hat die Union mit zwei Programmen diese Fortbildung unterstützt.	This continuing education was formerly supported by two EU programmes.
GROTIUS, das gemeinsame Förder- und Austauschprogramm für Rechtsberufe, lief im Jahr 2000 aus.	GROTIUS, the joint incentive and exchange programme for the legal profession, came to an end in 2000.
