Herr Präsident! Ich habe dem Kollegen aufmerksam zugehört.	Mr President, I have listened carefully to what Mr Novo had to say.
Zum Schluß sagte er, das Statement von Frau Bonino habe nichts mit BSE zu tun.	Towards the end of his remarks he said that Mrs Bonino's statement had nothing to do with BSE.
Dies hat mich überrascht, nachdem ich seinen Anfangsausführungen zugehört habe.	That surprised me, in view of his initial remarks.
Meine Fraktion und ich sind dagegen, daß eine Stellungnahme von Frau Bonino in dieser Woche auf die Tagesordnung gesetzt wird, aus folgendem Grund: Das Parlament hat einen Nichtständigen Ausschuß eingesetzt, der die Tätigkeiten der Kommission im Zuge des Untersuchungsausschusses für BSE kontrollieren soll.	My group and I are not in favour of adding a statement by Mrs Bonino's to this week's order of business, for the following reason: Parliament has appointed a temporary committee to monitor the activities of the Commission in connection with the Committee of Inquiry into BSE.
Dieser Nichtständige Ausschuß tagt in öffentlicher Sitzung, er tagt in dieser Woche heute, morgen und am Donnerstag.	This temporary committee sits in public -its meetings this week take place today, tomorrow and on Thursday.
Es steht allen Mitgliedern dieses Hauses frei, an den Sitzungen teilzunehmen und dort der Kommission zuzuhören, wenn sie ihre Erklärungen abgibt.	All Members of this House are free to attend the meetings and to hear the explanations given by the Commission.
Heute wird das Kommissar Fischler tun.	Commissioner Fischler will be doing that today.
Frau Bonino und der Kollege sind herzlich eingeladen, die Erklärung der Kommission, die er für Donnerstag wünscht, bereits heute zu erhalten, nämlich im Nichtständigen Ausschuß.	Mrs Bonino and Mr Novo have no need to wait until Thursday for a Commission statement - Mr Novo is very welcome to hear a statement today, by attending the meeting of the temporary committee.
Wenn der Kollege feststellt, daß die Kommission zu spät informiert hat, hat er andere Informationen als ich.	When Mr Novo says that the information from the Commission came too late, his information differs from mine.
Nicht etwa, daß der wissenschaftliche Ausschuß derjenige war, der die Kommission beraten hat, sondern es war das Referat für Betrugsbekämpfung der Kommission.	For example, it was not the scientific committee that advised the Commission - it was the Commission's department for the combating of fraud.
Wenn die Kommission verantwortlich handelt, dann informiert sie dann, wenn alle - Staatsanwaltschaft, Polizei und Zoll - ihre Maßnahmen ergriffen haben.	If the Commission is to act responsibly, it will report when all concerned - public prosecutor's office, police and customs authorities - have taken the appropriate steps.
Bisher habe ich keinen Anlaß, daran zu zweifeln, daß die Kommission das getan hat.	At present, I have no reason to doubt that the Commission did that.
Wir werden heute abend Herrn Fischler und Frau Bonino zuhören. Wir werden morgen Herrn Cunningham, dem britischen Landwirtschaftsminister, und am Donnerstag Herrn Boden, dem luxemburgischen Agrarminister und Ratspräsidenten, zuhören.	We shall hear Mr Fischler and Mrs Bonino this evening, and tomorrow we shall hear from Mr Cunningham, the British Agriculture Minister, followed on Thursday by Mr Boden, the Luxembourg Agriculture Minister and Council President.
Damit dürfte das Parlament in seinem Ausschuß umfassend informiert sein.	So Parliament's committee should have comprehensive information available.
Deshalb gibt es keinen Bedarf für eine Stellungnahme der Kommission vor dem Plenum.	There is therefore no need for the Commission to make a statement in this chamber.
(Das Parlament lehnt den Antrag ab.)	(Parliament rejects the request)
