Frau Präsidentin! 40 % der Fläche Kameruns sind von Wald bedeckt.	Madam President, forty percent of Cameroon's surface area is covered in forest.
Noch, müssen wir sagen, denn Kamerun ist zwar der größte Tropenholzexporteur Afrikas, aber in keinem anderen Land werden die Wälder so massiv abgeholzt.	Yet, we have to say, that although Cameroon is the largest exporter of tropical wood in Africa, in no other country are the forests being so extensively cleared.
Experten schätzen, dass in 10 bis 15 Jahren die ökologisch wertvollen Baumarten aus dem Kongo-Becken verschwunden sein werden, wenn die Abholzung so weiter geht.	Experts estimate that, in 10 to 15 years, the ecologically important tree species from the Congo Basin will have disappeared if the logging continues as it has done.
Was ist zu tun?	What can we do about this?
Wesentlich für den Schutz der Tropenwälder Kameruns ist vor allem die Bekämpfung der Korruption, sowohl auf Beamtenebene, aber auch bei den privaten Pächtern, weiterhin eine wirksame Strafverfolgung und natürlich eine nachhaltige Fortwirtschaft.	What is important for the protection of Cameroon's tropical forests is, above all, that corruption is combated, both at the level of the officials and also where the private tenant farmers are concerned, that effective criminal prosecutions continue to be carried out and, of course, that sustainable forestry is practised.
Wo viel gefällt wird, muss auch etwas nachwachsen.	Where a lot of felling takes place, there must also be regeneration.
Und ganz wesentlich ist eine bessere Ausbildung der Holzarbeit, um frühe Schäden beim Abholzen zu vermeiden.	Something that is very important is better training in logging work in order to avoid premature damage during clearing.
Vor allem sind die europäischen Unternehmen in die Pflicht zu nehmen, denn rund 80 % des Ertrags werden nach Europa verschifft.	Above all, European companies must take some responsibility, because around 80% of the yield is shipped to Europe.
Hier muss die EU auch entsprechend ansetzen, um direkt durchzugreifen.	The EU must also act accordingly in this regard by taking direct and decisive measures.
Freiwilligkeit ist gut, doch in diesem Zusammenhang kommen wir mit ihr auf keinen guten Grund und auf keinen grünen Zweig.	A voluntary agreement is all well and good, but in this context, it will not get us anywhere.
Wir müssen die Unternehmen in die Pflicht nehmen!	We need to make the companies accountable.
