Herr Präsident! Ich begrüße ausdrücklich die uns vorliegende Prospekt-Richtlinie.	Mr President, I very much welcome the prospectus directive that is before us.
Sie ist eine wichtige Regelung für die Vergabe von Europäischen Pässen an die Prospekte, die es erlauben wird, die Wertpapiere im gesamten Binnenmarkt der Europäischen Union zu vermarkten.	Its importance lies in its regulation of the issue of European Passports for the prospectuses, which will enable securities to be marketed right across the European Union's internal market.
Ist ein Prospekt von einer nationalen zuständigen Behörde genehmigt, gilt diese Genehmigung in allen anderen Mitgliedstaaten, wie wir wissen.	If a prospectus is authorised by a competent national authority, this authorisation will, as we know, be valid in all other Member States.
Der Europäische Pass wird also den Emittenten viel administrativen und finanziellen Aufwand ersparen.	This means that the European Passport will save the issuers a lot of expense and administrative effort.
Diese Richtlinie ist - wie schon gesagt - einer der wichtigsten Teile des Aktionsplans der Kommission, der darauf abzielt, einen Binnenmarkt im Bereich der finanziellen Dienstleistungen zu schaffen.	As I have already said, this directive is one of the most important components of the Commission's action plan, which aims to establish an internal market in the area of financial services.
Laut Schätzung der Kommission vom Dezember 2002 würde die Schaffung eines effizienten Binnenmarktes für Wertpapiere zu einer Steigerung von 1,1 % des Bruttoinlandsproduktes führen.	In December 2002, the Commission estimated that the creation of an efficient internal market in securities would result in a 1.1% growth in gross domestic product.
Ich hoffe, dass das stimmt, denn das könnten wir in dieser Situation als Wachstumsschub sehr gut gebrauchen.	I hope they are right in saying this, as we could all do with a spurt of growth under present circumstances.
Die Empfehlung für die zweite Lesung, wie sie im Plenum vorliegt, ist ein guter Text.	The recommendation for second reading, as presented to plenary, is a fine document.
Ich möchte dem Berichterstatter Christopher Huhne ausdrücklich dazu gratulieren, denn der Text verbessert den Gemeinsamen Standpunkt hauptsächlich in zwei wichtigen Punkten, die mir besonders am Herzen liegen.	I would like to express my congratulations to the rapporteur, Mr Huhne, as the text improves two important aspects of the Common Position about which I am personally concerned.
Zum einen erlaubt es der vorliegende Text dem Emittenten, ab einer Stückelung von 1 000 ? für die Zulassung des Prospektes zu wählen zwischen - erstens - der zuständigen Behörde des Mitgliedstaates, wo der Emittent seinen Sitz hat, - zweitens - des Mitgliedstaates, in dem die Papiere zum Handel an einem geregelten Markt zugelassen sind, oder - drittens - des Mitgliedstaates, in dem die Papiere öffentlich angeboten werden.	One is that this text allows the issuers, from a denomination per unit of EUR 1 000 and upwards, to choose, when it comes to the approval of the prospectus, between, firstly, the competent authority of the Member State in which the issuer's registered office is situated; secondly, that of the Member State in which the securities are authorised to be traded on a regulated market; or, thirdly, that of the Member State in which the securities are offered to the public.
Diese Stückelung von 1 000 ? ist viel realistischer als der auf 5 000 ? angesetzte Schwellenwert des Rates, da gerade die Kleinanleger daran sehr interessiert sind.	Having EUR 1 000 as the denomination per unit is far more realistic than the threshold value of EUR 5 000 estimated by the Council, as it will be small investors that will have a particular interest in it.
Ich bin also sehr dafür und hoffe, dass das nicht noch verwässert wurde.	So I am very much in favour of this and hope that it will not be watered down still further.
Wie ich höre, bleibt es jetzt auch nach dem Ratskompromiss dabei.	I am given to understand that it still stands even after the compromise with the Council.
Zum anderen erlaubt es der uns vorliegende Text, dass die zuständigen Behörden die Prüfung des Prospektes an andere Stellen delegieren können, die das Fachwissen dazu haben.	Secondly, this text allows the competent authorities to delegate the examination of the prospectus to other bodies possessing the necessary expertise.
Besonders in kleinen - heutigen und künftigen - Mitgliedstaaten werden Prospekte traditionell von den Börsen geprüft.	In small Member States in particular - both present and future ones - the tradition is that prospectuses are examined by the stock exchanges.
Natürlich liegt die Verantwortung immer bei der zuständigen staatlichen Behörde, während die Börsen eben über das erforderliche hochqualifizierte Personal verfügen.	Responsibility remains, of course with the competent state authorities, whilst stock exchanges do have the necessary highly-qualified staff.
Wir hatten in Luxemburg große Schwierigkeiten, Fachleute Luxemburger Nationalität zu finden, da die Kontrollbehörden nur Beamte Luxemburger Nationalität haben dürfen. Ich bin also froh, dass diese Delegierung nicht nach fünf Jahren verfällt, sondern dass sie von der Kommission auf ihr Funktionieren geprüft wird.	In Luxembourg, we had great difficulties finding experts with Luxembourg nationality, as the officials of the supervisory authorities have to be Luxembourg nationals, so I am glad that this delegation does not lapse after five years, but will be checked by the Commission to see if it still works.
Ich bin nicht der Meinung von Frau Berès, sondern davon überzeugt, dass diese Prüfung kein negatives Urteil ergeben wird, so dass es nicht nach acht Jahren so weit kommt, dass eine solche Delegierung automatisch nicht mehr möglich wäre.	Rather than sharing Mrs Berès' view, I am convinced that this examination will not produce adverse judgments; we will not end up, after eight years, with a delegation of this sort becoming inevitably impossible.
Ich möchte ausdrücklich die Bedeutung dieser Richtlinie noch einmal unterstreichen, und ich freue mich, dass Herr Bolkestein hier erklärt hat, dass er den 21 Kompromissänderungsanträgen des Berichterstatters und der Kommission zustimmen kann.	I very much want to underline once more how significant this directive is, and I am glad that Commissioner Bolkestein has told us that he can go along with the twenty-one compromise amendments on which the rapporteur and the Commission have agreed.
Ich möchte Chris Huhne noch einmal recht herzlich für seine wirklich wertvolle Arbeit und sein Verständnis danken, besonders auch für die Anliegen, die ich vorgebracht habe und die hoffentlich so geregelt werden, wie ich das hier dargelegt habe.	I would again like to thank Mr Huhne most warmly for the work he has done, which has been of real value, and for his sympathetic attitude, particularly to the concerns that I raised and which, it is to be hoped, will soon be dealt with in the way I have described.
Wenn dem so ist, werden wir bald eine ordentliche Richtlinie haben, die für das reibungslose Funktionieren des Binnenmarkts von großer Bedeutung ist.	If that happens, we will soon have a proper directive, one that will be of great importance to the smooth functioning of the internal market.
