Herr Vorsitzender! Kindesmißbrauch und Gewalt an Minderjährigen ist kein neues Phänomen, leider.	Mr President, child abuse and violence against minors is, unfortunately, not a new phenomenon.
Leider werden Kinder auch in unseren Mitgliedsländern tagtäglich mißbraucht, entführt oder sind Opfer von anderen Gewaltverbrechen.	Unfortunately children are abused, abducted or subjected to other violent crimes every day in our Member States too.
Daß wir heute hierüber eine Debatte führen, hat mit den Ereignissen der letzten Wochen zu tun, aber auch mit der Konferenz in Stockholm.	The fact that we are holding a debate on this today follows on from the events of last week but also from the Stockholm conference.
Diese Konferenz hat dadurch auch mehr Gewicht bekommen.	This has given the conference more weight.
Alle Teilnehmerinnen und Teilnehmer waren sich darüber einig, daß Stockholm nicht so viel Publizität errungen hätte, wenn nicht kurz vorher die schrecklichen Ereignissen in Belgien ans Tageslicht gekommen wären.	All the participants agreed that Stockholm would not have gained so much publicity if the terrible events in Belgium had not come to light shortly beforehand.
Vielen Bürgerinnen und Bürger ist klar geworden, daß Sextourismus und sexueller Mißbrauch von Kindern nicht etwas ist, was sich mehrere Flugstunden entfernt in Urlaubsländern abspielt, sondern sehr nahegerückt ist, und daß es jeden von uns hier auch etwas angeht, denn tagtäglich werden Kinder auch hier mißbraucht.	Many people have realised that sex tourism and sexual abuse of children is not just something that happens in holiday destinations several hours away by plane but that it has come very close and that it also concerns every one of us here to some extent, for here too children are abused every day.
Positiv ist festzuhalten, daß die Konferenz in Stockholm mit ihrem Aktionsprogramm nicht so schnell in Vergessenheit gerät, so wie das oft mit Konferenzen der Fall ist.	One positive aspect is that the Stockholm conference and its action programme will not be forgotten as quickly as conferences. often are.
Auch hier im Parlament werden mehrere Kolleginnen und Kollegen intensiv hieran weiterarbeiten, damit der Aktionsplan umgesetzt wird.	Several Members of this Parliament will also continue working assiduously ensure that the action plan is implemented.
Hierfür müssen wir nicht nur Gelder zur Verfügung stellen, sondern auch die Maßnahmen zur Vorbeugung, Bekämpfung, Rehabilitation und Information weiter ausarbeiten.	For this we not only need to make money available but also to continue working on measures to prevent, combat, rehabilitate and inform.
Ich begrüße, daß sowohl die Kommission als auch der Rat dieses Thema am 26. und 27. September beim informellen Treffen der Justiz- und Innenminister konkret angehen wollen.	I welcome the fact that both the Commission and the Council intend to give real consideration to this question on 26 and 27 September at the informal meeting of ministers of justice and of the interior.
Aber vor allem müssen wir darauf drängen, daß die Ratifizierung, Umsetzung und Einhaltung der UN-Konvention von 1989 über die Rechte der Kinder in allen Mitgliedsländern sofort vollzogen werden, auch in meinem Land Deutschland, denn ungefähr 30 % unserer Bevölkerung sind minderjährig.	But above all, we must insist that the 1989 UN Convention on the rights of children is ratified, implemented and respected immediately, in my country Germany too, for about 30 % of our population is under-age.
Deshalb ist es auch unverständlich, daß diese Gruppe nicht als eigenständige Gruppe im Vertrag zur Geltung kommt.	That is why it is hard to understand why this population group does not have its place in the Treaty as a separate group.
Ich hoffe, daß dies bei der Konferenz über die Revision des Vertrags berücksichtigt wird.	I hope this will be borne in mind at the conference on the revision of the Treaty.
