Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen.
Die Europäische Aktiengesellschaft kann eventuell hilfreich und nützlich sein für die Umsetzung des Binnenmarktes, wenn man die enge und immer enger werdende wirtschaftliche Verflechtung der Unternehmen in Europa sieht.	The European join-stock company may well facilitate the change towards the internal market if one considers the ever closer economic interrelationship of companies in Europe.
Der Sozial- und Beschäftigungsausschuß hat sich intensiv auch in einer Expertenanhörung mit dem Kommissionsvorschlag befaßt, und ich danke ausdrücklich dem Berichterstatter dafür, daß er eben nicht dem Druck einer übereilten Verabschiedung stattgegeben, sondern sich widersetzt hat.	The Committee on Social Affairs and Employment has closely studied the Commission proposal, including an experts' hearing, and I would like to thank the rapporteur particularly for resisting the pressure to produce an over-hasty conclusion.
Denn in der Tat muß überlegt werden, welche Konsequenzen hat der Status einer kleinen europäischen Aktiengesellschaft für die Arbeitsbeziehungen zwischen Eigentümern, zwischen Shareholdern, Management, den Beschäftigten, Betriebsräten und Gewerkschaften?	For indeed we need time to reflect on the repercussions of the statute of a small European joint-stock company on labour relations, on relations between owners, shareholders, management, the labour force, works councils and trades unions.
Man hätte natürlich, gerade weil wir nicht im Zeitdruck waren, auch etwas mehr Mut zeigen können, Mut zu mehr Mitbestimmung und nicht zu einer reduzierten Mitwirkung.	We could, of course, have shown greater courage for co-determination and not for reduced participation, precisely because we were not under pressure of time.
Die Vision von einer demokratischen Wirtschaft, die auch eben schon angesprochen wurde, wäre gerade jetzt, in einer Zeit des wirtschaftlichen Umbruchs, der Ängste von Arbeitnehmern gegenüber der Globalisierung wichtig gewesen, eben als Signal an die Arbeitnehmer, daß auch in Europa nicht nur die shareholder value zählt.	The vision of a democratic economy, which has also been addressed, would have been important precisely at this time of economic upheaval, in view of employees' fears at globalisation; it would have been a signal to the labour force that Europe also values more than just shareholders.
Herr Menrad, ich komme nicht umhin, wie Sie verstehen, einige Widersprüche aufzuzeigen.	If you will bear with me, Mr Menrad, I cannot refrain from pointing out a few inconsistencies.
In Punkt 9 haben Sie lobenswerterweise gefordert, keine Flucht aus der Mitbestimmung.	In paragraph 11 I am happy to see that you say there must be no flight from co-determination.
Allerdings - und das muß ich auch als Deutsche hier sagen - wurden von der deutschen Bundesregierung in den letzten Jahren immerhin zwei entscheidende Verschlechterungen für Arbeitnehmerrechte verabschiedet, eines davon z.B durch das Gesetz zur kleinen Aktiengesellschaft, wo es um die Mitbestimmungsrechte in Unternehmen mit weniger als 500 Beschäftigen geht.	But I as a German must point out that the German government in the last few years has taken two decisions which worsen employees' rights; one of them, for example, is the law on small companies dealing with co-determination rights in companies with fewer than 500 employees.
Daher sehe ich Punkt 14 Ihres Berichtes schon mit einem gewissen Mißtrauen, in dem Sie auch zu diesem Thema besondere Überlegungen anstellen.	That is why I am particularly worried about paragraph 14 of your report in which you made specific reference to this matter.
Wir wissen alle, daß in diesen Unternehmen, in den kleinen und mittleren Betrieben, die meisten Arbeitnehmer in Europa arbeiten, und ich denke, gerade sie haben Anspruch auf besonderen Schutz.	We all know that most workers in Europe are employed in these small and medium-sized companies and I think that they are the ones who need special protection.
Außerdem hat Deutschland, wie Sie wissen, die Betriebsratsrechte für ganz kleine Betriebe, also mit weniger als zehn Beschäftigten, ebenfalls verschlechtert.	And as you also know, Germany has also made works council rights worse for very small firms, for those with fewer than ten employees.
Wir begrüßen grundsätzlich die Studie, die Sie angesprochen und gefordert haben.	In principle we welcome the study which you referred to in supportive terms.
Wir erwarten allerdings, daß die Ergebnisse nicht nur den Vertretern des sozialen Dialogs vorgelegt werden, sondern selbstverständlich auch dem Europäischen Parlament.	But we do expect that the results will not only be made available to representatives of the social dialogue but also of course to the European Parliament.
Ich meine, wir alle sollten intensiv und ohne Zeitdruck debattieren, wie wir uns in Zukunft eine europäische Richtlinie und auch den europäischen Status einer Aktiengesellschaft vorstellen.	I believe we should discuss our ideas on a future European directive and European company statute in detail and without pressure of time.
Ich plädiere dafür, die nationalen Traditionen zu sichern, aber gleichzeitig die Demokratie in der Arbeitswelt auf europäischer Ebene weiterzuentwickeln und auszubauen.	I urge that we keep national traditions but at the same time advance democracy in the world of work at the European level.
Von diesem Ziel sind wir an der Schwelle zum nächsten Jahrhundert jedoch leider noch weit entfernt.	We are unfortunately still far removed from that objective on the threshold of the next century.
