Frau Präsidentin, die Wirtschaft muß ja in erster Linie den Menschen dienen.	Madam President, the prime role of the economy is to serve the people.
Deshalb ist es, glaube ich, auch so wichtig, daß wir uns heute mit dem multilateralen Abkommen über Investitionen beschäftigen.	That is why I think it so important that we are debating the Multilateral Agreement on Investments today.
Im Bericht Kreissl-Dörfler sind allerdings einige Aussagen enthalten, die in das Bild einer seit einiger Zeit laufenden Kampagne diverser Gruppierungen passen, die das MAI benutzen, um diffuse Ängste vor der sogenannten Globalisierung zu schüren.	Nevertheless, the Kreissl-Dörfler report contains several statements reminiscent of the campaign being run by various interest groups for some time now to use the MAI to stir up people's fears about globalization.
Ich muß diese Kritik so direkt vorbringen, Herr Kreissl-Dörfler, weil Sie ja wissen, daß ich Ihre Arbeit sehr schätze und eigentlich weiterhin ehrlich zu Ihnen sprechen möchte.	I am being quite open about this criticism, Mr Kreissl-Dörfler, because you know that I rate your work very highly and want to carry on being honest with you.
Natürlich können wir als Parlament uns nicht damit abfinden, daß die Verhandlungen unter weitestgehendem Ausschluß der Öffentlichkeit wie auch der Parlamente verlaufen werden, wie in dem Bericht festgehalten wird.	Of course as a parliament we find it hard to accept that the negotiations have to a very great extent been kept secret from the public and from parliaments, as the report notes.
Allerdings betrifft diese Kritik nicht die OECD, sondern den Rat. In Brüssel tagt nämlich heute die Arbeitsgruppe des Rates zu diesem Thema.	However, this criticism should be levelled at the Council, not the OECD, as there is a meeting of the Council's ad hoc working party on this very subject today.
Sie verlangen in Ihrem Bericht beispielsweise eine sozial und ökologisch ausgewogene Wirtschaftspolitik, und die andere Seite des Hauses - Frau Castellina ist ja auch da - unterstellt damit, das MAI würde geltende Umwelt- und Sozialstandards unterlaufen wollen.	Your report includes a call for a socially and ecologically balanced economic policy, and the other side of the House - I see Mrs Castellina is here as well - takes this to mean that the MAI would circumvent existing environmental and social standards.
In einer Stellungnahme des österreichischen Wirtschaftsministeriums heißt es dazu: Das MAI läßt das Recht eines Landes auf eigenständige Umwelt- und Arbeitnehmerschutzstandards unberührt, solange ausländische Investoren nicht schärferen Auflagen unterliegen als inländische.	The Austrian Ministry of Economic Affairs said in its opinion that the MAI does not impinge on a country's right to have its own environmental and employment protection standards, as long as foreign investors are not subject to stricter requirements than domestic companies.
Eine Bestimmung gegen Sozial- und Umweltdumping, d.h. ein Verbot der Absenkung von Umwelt- und Arbeitsstandards, um ausländische Investitionen anzuziehen, ist vorgesehen.	It envisages outlawing social and environmental dumping, which means a ban on lowering environmental and employment standards as a means of attracting foreign investment.
Das MAI führt auch zu keiner Einschränkung des EU-Rechtes.	Nor will the MAI lead to any limitation of EU law.
Ein entsprechender Vorbehalt ist enthalten.	A proviso to this effect is included.
Das Problem des geistigen Eigentums ist so geregelt, daß das MAI TRIPS nicht beeinflussen kann.	The arrangements for intellectual property are such that the MAI cannot affect TRIPS.
Außerdem unterliegt das OECD-Abkommen bereits einem demokratischen Ratifizierungsprozeß.	Furthermore, the OECD agreement is already subject to a democratic ratification process.
Wenn wir tatsächlich wollen, daß die Wirtschaft den Menschen nützt, dann dürfen wir ein Investitionsabkommen nicht vollstopfen mit Bestimmungen, die nur mehr von Heeren von Rechtsanwälten verstanden werden.	If we really want people to benefit from the economy, we cannot cram an investment agreement with conditions that only an army of lawyers can make sense of.
Schließlich sind auch Klein- und Mittelbetriebe, die keine Riesenapparate beschäftigen, betroffen.	After all, it would also hit small and medium-sized enterprises, which do not have huge internal organizations.
An den Rat geht natürlich auch die Aufforderung, das Parlament jeweils unverzüglich über die Beratungen zu informieren.	Of course we also want the Council to keep the Parliament promptly informed about the progress of negotiations.
