. Der Bericht des Kollegen Schmitt findet die Unterstützung der Mehrheit meiner Fraktion.	- Mr Schmitt' s report is supported by the majority of my group.
Die Vorteile der Schaffung einer auf europäischer Ebene angesiedelten Agentur für Flugsicherheit anstatt 15 nationaler Einrichtungen sind unbestritten, da hiermit einheitliche	The advantages of creating a European Aviation Safety Agency in place of 15 national agencies are undisputed:
Zulassungsverfahren	It can create uniform authorisation procedures,
Vorschriften bei Flugsicherheit und Umweltschutz	it can standardise the rules on air safety and environmental protection, and
Sicherheitsvorschriften in Bezug auf Erzeugnisse, Personen und Einrichtungen	it can create standard provisions relating to the safety of products, persons and installations.
durchsetzbar sind und gleichzeitig ein anerkannter Partner ausländischer Luftfahrtbehörden entsteht.	At the same time, the new Agency would be a recognised partner for aviation authorities in other parts of the world.
Die Aufgaben der Agentur sind klar definiert: Gutachtertätigkeiten, technische Unterstützung der Kommission, Erlass der erforderlichen Akte, Durchführung von Inspektionen und Untersuchungen, Überwachung der Anwendung der Vorschriften, Erarbeitung und Finanzierung von Forschungsprojekten, Zusammenarbeit mit Drittstaaten.	The functions of the Agency are clearly defined: consultancy, providing technical support to the Commission, issuing the requisite official documentation, conducting checks and inspections, monitoring the implementation of statutory provisions, devising and funding research projects and cooperating with the agencies of non-EU countries.
Im Ausschuss für Regionalpolitik, Verkehr und Fremdenverkehr wurden weitere wichtige Änderungsanträge positiv beschieden, die sowohl die Unabhängigkeit der Agentur gegenüber der Kommission stärkt als auch die Informationspflicht der Agentur in Bezug auf das Europäische Parlament definiert.	The Committee on Regional Policy, Transport and Tourism has adopted other important amendments which would make the Agency more independent of the Commission as well as defining the obligation of the Agency to keep the European Parliament informed.
Wichtig für meine Fraktion sind auch die Festlegungen zur Erhöhung der Transparenz.	My group also attaches importance to the provisions that are designed to increase transparency.
Die Agentur	These would subject the Agency to the following controls:
unterliegt dem allgemeinen Haushaltsverfahren	General Community budgetary procedures would apply to the Agency,
ist den Gemeinschaftsvorschriften zur Betrugsbekämpfung unterworfen	Community anti-fraud legislation would apply to the Agency, and
wird regelmäßig extern bewertet.	the Agency would be subject to regular external assessments.
Aus diesen Gründen haben wir überwiegend ein positives Votum abgegeben.	For these reasons the vast majority of our group voted in favour of the report.
