Herr Präsident, Frau Vizepräsidentin! Heute sitzen Sie auf der anderen Seite.	Mr President, Madam Vice-President, today you are sitting on the other side.
Wenn Sie das monatlich abwechselnd machen, kann ich damit gut leben.	If you switch round every month, that will be fine by me.
Gegen Ende der Debatte sind hier doch einige Hauptbewertungen deutlich geworden.	As this debate draws to a close, a number of primary evaluations have become clear.
Wir wollen, dass Sie an der Spitze eines Auswärtigen Dienstes stehen, bei dem Sie - wie es ein Kollege sagte - immer beide Hüte tragen.	We want you to be at the head of an External Action Service in which you - as a fellow Member said earlier - wear both hats at the same time.
Diese zwei Hüte sollten dabei die einzige Duplizierung sein, bei den Strukturen brauchen wir das nicht.	These two hats should be the only duplication, though - duplication in the structures is not something that we need.
Die Beibehaltung der Gemeinschaftsmethode muss gewährleistet werden, nicht nur über das Budget und die Kontrolle des EP.	The retention of the Community method must be ensured, not only in relation to the budget and EP supervision.
Um es klar zu sagen: Der neue Dienst darf nicht das exklusive Spielzeug der Außenminister werden, die beleidigt sind, dass sie jetzt beim Europäischen Rat draußen bleiben müssen.	To be quite clear about this, the new service must not be the exclusive toy of the Foreign Ministers, who feel insulted that they will no longer be included in the European Council.
Das gilt auch bei der Einstellung des Personals und der Berufung auf wichtige Posten.	The same applies to the appointment of the staff and the filling of important positions within the service.
Zum Bericht Danjean möchte ich meine volle Unterstützung der Linie des Berichterstatters zum Ausdruck bringen.	When it comes to the Danjean report, I would like to give my full support to the line taken by the rapporteur.
Beim Thema Ständiges Operationszentrum habe ich wie der Kollege Van Orden festgestellt, dass sich Lady Ashton bei dieser Frage seit ihrer Anhörung bewegt hat, aus meiner Sicht allerdings in die richtige Richtung.	When it comes to the permanent operations centre, like Mr Van Orden, I have noticed that Baroness Ashton has moved on this issue since her hearing and, I must say, in the right direction, too, as I see it.
Sie sind aus der Ablehnung in eine Prüfungsphase gekommen.	You have moved from rejection to a test phase.
Nach wie vor finde ich, wenn wir zivile und militärische Einsatzplanung voll integriert im Auswärtigen Dienst betreiben, dann macht es Sinn, dies anschließend auch mit einem eigenen Operational Headquarter durchzuführen.	I still believe that, if we are to operate civilian and military mission planning in a fully integrated way in the External Action Service, it makes sense to also run that service from its own operational headquarters.
Zum Vorschlag unserer Kollegen von den Grünen, eine Generaldirektion Peacebuilding einzurichten: Ich finde im Gegensatz zu den Kollegen, die ganz links sitzen, dass das gesamte EU-Projekt, aber auch unser Außenhandeln ein einziges Peacebuilding-Projekt ist.	With regard to the proposal from the Group of the Greens/European Free Alliance to establish a Directorate-General for peace-building, I would say that, in contrast to my fellow Members who sit at the left-most edge of this Chamber, I believe the entire EU project, and specifically also our foreign policy, is a unique peace-building project.
Von daher weiß ich nicht, ob wir das auf ein Department beschränken sollten.	On that basis, I am not sure that we should be restricting this to a single department.
