Herr Präsident! Ich habe aus vier Gründen gegen den Bericht Brok gestimmt.	Mr President, I voted against the Brok report for four reasons.
Die Architektur des Dienstes hat zahlreiche Schwächen, deren Feinheiten uns noch große Sorgen machen werden.	The architecture of the service has numerous weaknesses, the details of which still cause us great concern.
Der zweite Punkt ist: Der Europäische Botschafter wird zukünftig Kommissionsgelder verwalten.	The second point is that the European Union ambassador will manage Commission funds in future.
Das setzt die Gelder einer Vielzahl von Risiken aus, und die Sicherungen für diese Risiken sind bis jetzt noch absolut unklar.	That exposes these funds to numerous risks, and the safeguards against these risks are still extremely unclear.
Der dritte Punkt ist die Aufgabe von Rechten dieses Parlaments in einer Ratsverordnung.	The third point is the relinquishment of the rights of this Parliament in a Council regulation.
Wir sind in diesem Verfahren de facto in der Mitentscheidung, und doch haben wir es zugelassen, dass die Ratsverordnung Parlamentsrechte vorwegnimmt.	We are de facto codecision-makers in this procedure and yet we have allowed the Council regulation to anticipate our parliamentary rights.
Deswegen möchte ich für mein Dossier - die Haushaltsordnung - sagen, dass ich mich durch die heutigen Beschlüsse nicht gebunden sehe.	Therefore, as regards my dossier - the Financial Regulation - I would like to say that I do not consider myself bound by today's decisions.
Der vierte Punkt ist die Frage, wie wir eigentlich im Parlament miteinander umgehen.	The fourth point is the question of how we actually treat each other in Parliament.
Wir haben in der letzten Wahlperiode eine Parlamentsreform beschlossen und Verfahren, die wir jetzt alle mit Füßen getreten haben, auch mit Zustimmung des Präsidiums und auch mit Zustimmung des Präsidenten.	We adopted a parliamentary reform during the last parliamentary term as well as procedures that we have now all trampled underfoot, including with the approval of the Bureau and that of the President.
Warum machen wir eine Parlamentsreform, die Verfahren vorschreibt, wenn wir, wenn es darauf ankommt, schon dagegen verstoßen und sie nicht einhalten?	Why carry out a parliamentary reform that stipulates procedures if, when it matters, we violate these procedures and do not follow them?
Aus diesen Gründen kann ich diesem Bericht nicht zustimmen.	For these reasons, I cannot vote in favour of this report.
