Frau Präsidentin!	.
Bezüglich dieser Fragen, insbesondere aber bezüglich der Anfrage von Herrn Evans, kann der Rat bestätigen, dass er das Urteil des Gerichtshofs der Europäischen Gemeinschaften vom 10. Jänner 2006 in der Rechtssache gegen zur Kenntnis genommen hat.	Madam President, with regard to these questions, but in particular to Mr Evans’ question, the Council can confirm that it has noted the judgment of the Court of Justice of the European Communities of 10 January 2006 in the case of v .
Der Rat begrüßt es, dass der Gerichtshof zu dem Schluss gekommen ist, dass die Prüfung der vom nationalen Richter zur Vorentscheidung vorgelegten Fragen nichts ergeben hat, was der Gültigkeit der Artikel 5, 6 und 7 der Verordnung (EG) Nr. 261/2004 des Europäischen Parlaments und des Rates über eine gemeinsame Regelung für Ausgleichs- und Unterstützungsleistungen für Fluggäste im Fall der Nichtbeförderung und bei Annullierung oder großer Verspätung von Flügen zur Aufhebung der Verordnung entgegenstünde.	The Council welcomes the fact that the Court of Justice found that examination of the questions referred by the national court for a preliminary ruling revealed no factor of such a kind as to affect the validity of Articles 5, 6 and 7 of Regulation (EC) No 261/2004 of the European Parliament and of the Council establishing common rules on compensation and assistance to passengers in the event of denied boarding and of cancellation or long delay of flights, and repealing Regulation (EEC) No 295/91.
Es darf auch daran erinnert werden, dass die Verordnung (EG) Nr. 261/2004 des Europäischen Parlaments und des Rates den Fluggästen im Falle der Nichtbeförderung und bei Annullierung oder Verspätung von Flügen bestimmte Rechte einräumt.	May I also point out that Regulation (EC) No 261/2004 of the European Parliament and of the Council gives passengers certain rights if they are denied boarding or flights are cancelled or delayed.
Gemäß Artikel 16 „Verstöße“ der Verordnung benennt jeder Mitgliedstaat eine Stelle, die für die Durchsetzung dieser Verordnung auf seinem Hoheitsgebiet zuständig ist.	Article 16 of the Regulation (‘Infringements’) requires every Member State to designate a body to be responsible for the enforcement of the Regulation on its territory.
Gegebenenfalls ergreift diese Stelle die notwendigen Maßnahmen, um sicherzustellen, dass die Fluggastrechte gewahrt werden.	Where appropriate, that body takes the necessary measures to ensure that the rights of passengers are respected.
Es gibt ja auch die Regelung, dass Fluggäste bei einer so benannten Stelle Beschwerde wegen eines behaupteten Verstoßes gegen diese Verordnung erheben können, und schließlich schreibt der Artikel 16 Absatz 3 vor, dass die von den Mitgliedstaaten für Verstöße gegen die Verordnung festzulegenden Sanktionen wirksam, verhältnismäßig und abschreckend sein müssen.	It also stipulates that passengers may complain to any such designated body about an alleged infringement of the Regulation and, finally, Article 16, paragraph 3, provides that the sanctions laid down by the Member States for infringements of the Regulation must be effective, proportionate and dissuasive.
Es obliegt also demnach in erster Linie den Mitgliedstaaten und den mit der Durchsetzung beauftragten nationalen Stellen, dafür zu sorgen, dass Fluggäste auch auf der Grundlage der von ihnen erhobenen Beschwerden tatsächlich in den Genuss der ihnen mit der Verordnung eingeräumten Rechte kommen.	It is therefore primarily up to the Member States and the national bodies responsible for implementation to ensure that passengers actually enjoy the rights granted them by the Regulation when they make a complaint.
Des Weiteren ist es nach Artikel 211 des EG-Vertrages Aufgabe der Kommission, für die tatsächliche Anwendung der Bestimmungen der Verordnung Sorge zu tragen.	Furthermore, under Article 211 of the EC Treaty it is the Commission’s responsibility to ensure that the provisions of the Regulation are actually applied.
Die Anwendung der Verordnung wird vom Rat aufmerksam beobachtet.	The Council is monitoring the application of the Regulation attentively.
Dieser wird insbesondere den Bericht über die Anwendung und die Ergebnisse dieser Verordnung, den die Kommission nach Artikel 17 der Verordnung bis zum 1. Jänner 2007 vorlegen muss, sorgfältig prüfen.	In particular, it will be carefully examining the report on the operation and results of the Regulation, which, under Article 17, the Commission is required to submit by 1 January 2007.
Speziell im Zusammenhang mit der Frage von Herrn Ryan erinnert der Rat daran, dass er im Jahr 2004 im Rahmen des Mitentscheidungsverfahrens zusammen mit dem Europäischen Parlament die oben genannte Verordnung über Unterstützungsleistungen für Fluggäste im Fall der Nichtbeförderung erlassen hat.	In connection with Mr Ryan’s question in particular, the Council would point out that, together with the European Parliament, it issued the above Regulation on assistance to passengers in the event of denied boarding under the codecision procedure in 2004.
Ich möchte auch erwähnen, dass in Kürze der Rat ebenfalls im Rahmen des Mitentscheidungsverfahrens zusammen mit dem Parlament eine Verordnung über die Rechte von Flugreisenden mit Behinderungen und mit eingeschränkter Mobilität annehmen wird.	I would also like to mention that the Council, also under the codecision procedure with Parliament, will shortly be adopting a Regulation on the rights of passengers with disabilities and with restricted mobility.
Es sei abschließend darauf hingewiesen, dass die Europäische Kommission das Initiativrecht für Vorschläge für Rechtsetzungsakte hat, die die Stärkung der Rechte von Flugreisenden betreffen, und dass keine neuen Vorschläge vorgelegt worden sind.	It should finally be pointed out that the European Commission has the right of initiative to propose legislative acts to strengthen the rights of air passengers and that no new proposals have been presented.
Dementsprechend beabsichtigt der Rat nicht, in naher Zukunft weitere Rechtsetzungsakte in diesem Bereich anzunehmen.	The Council does not therefore intend to adopt further legislative acts in this field in the near future.
