Frau Präsidentin! Ich begrüße auch das dreiblättrige Euro-Kleeblatt.	Madam President, I welcome the three-leaved euro clover too.
Der Euro ist eine Erfolgsstory. Der Euro ist die erfolgreichste Antwort der EU auf die globalen Herausforderungen.	The euro has been a success: the euro is the EU's best response to global challenges.
Der Euro und die vier Freiheiten sind die wichtigsten Eckpfeiler eines starken Binnenmarktes.	The euro and the four freedoms are the cornerstones of a strong internal market.
Die Maastricht-Kriterien und der Stabilitäts- und Wachstumspakt sind für mich die erfolgreichsten ordnungspolitischen Leitlinien der Europäischen Union.	To my mind, the Maastricht criteria and the Stability and Growth Pact are the greatest regulatory principles to have been achieved by the European Union.
Die Eurogruppe hat ab 1.1.2008 eine absolute Mehrheit unter den EU-Staaten.	From 1 January 2008, the Euro Group will have an absolute majority among the EU members.
Das begrüßen wir und heißen die Staaten Malta und Zypern herzlich willkommen.	That is good news, and we would like to extend a warm welcome to Malta and Cyprus.
Ich halte es für bedrückend, dass wir uns schon darüber freuen, dass ein Staatschef zusagt, seine Hausaufgaben zu erfüllen.	I am struck by the fact that we are getting excited because a Head of Government has promised to do their homework.
Die Hausaufgaben zu erfüllen, ist eine Selbstverständlichkeit.	Homework has to be done.
Wir müssen die Regeln einhalten, statt sie protektionistisch zu interpretieren.	We need to respect the rules, rather than interpreting them in a protectionist manner.
Wir freuen uns darüber, dass es Konjunkturgewinne gibt, und wir verlangen, dass einerseits die Konjunkturgewinne zum Defizitabbau und zur Reduzierung der Staatsschulden verwendet werden und auf der anderen Seite die Mitarbeiter an den Gewinnen beteiligt werden.	We are glad that there are economic benefits, and we call for those benefits to be used to reduce trade deficits and public debt, whilst at the same time allowing the workers to share in the benefits.
Wir stellen die Unabhängigkeit der Europäischen Zentralbank nicht in Frage.	We are not questioning the European Central Bank's independence.
Sie ist eine Garantin dieses erfolgreichen Eurokurses.	The Bank stands guarantor for the euro's good performance.
Unabhängigkeit der EZB und einheitliche Außenvertretung der Eurozone sind jedoch kein Widerspruch.	But an independent ECB and unified external relations for the Eurozone are not mutually exclusive.
Das einheitliche Auftreten der Eurozone nach außen hat nichts damit zu tun, dass sich die drei Herren gemeinsam in die Wechselkurse einmischen.	A single voice for the Eurozone in external relations has nothing to do with the fact that these three gentlemen influence foreign exchange rates.
Den Wechselkurs bestimmt der Markt, und die Zinssätze bestimmt die Europäische Zentralbank.	The foreign exchange rate is determined by the market, and the European Central Bank decides interest rates.
Das sage ich gegenüber der Linken.	I want to make that clear to the left.
Wir alle loben jetzt den Euro und die Daten. Aber wir haben vergessen, den Euro auch als Gewinn für die Bürgerinnen und Bürger Europas zu interpretieren und darzustellen.	Nowadays we all sing the praises of the euro and the economic data, but we have forgotten that the euro should also be seen and presented as beneficial for Europe's citizens.
Machen wir deutlich, wieviel wir uns an Wechselkurskosten ersparen!	Let us emphasise how much we are saving in exchange rate costs.
Machen wir deutlich, was der Euro für die Stabilität der Eurozone und den Binnenmarkt bedeutet!	Let us emphasise the euro's effect on stability in the Eurozone and the internal market.
Vergessen wir das nicht, dass wir derzeit besser dastehen als der Dollar, ist auch Ausdruck des Erfolges!	Let us not forget that we are currently doing better than the dollar: that is a real sign of success.
Bei der Einführung des Euro haben die Bürger dies von uns verlangt.	When we introduced the euro, that is what citizens wanted.
