Herr Präsident, man hat jetzt schon sehr viel von verschiedenen Menschenrechtsfragen gesprochen.	Mr President, we have already discussed various human rights issues at length.
Der Fall Georgiens ist aber aus einem Grund ein ganz besonderer Fall.	Georgia, however, is quite a special case.
Im April dieses Jahres hat die Menschenrechtsabteilung der UNO ganz klar den Fall von einigen Gefangenen studiert, offensichtlich in der Absicht, ein Beispiel für andere zu setzen. Denn es ist die allgemeine Behandlung der Menschen in den Gefängnissen von Georgien, die einfach skandalös ist.	In April of this year the UN human rights section examined the case of certain prisoners in detail, obviously with the aim of setting an example for others, since it is the general treatment of people in Georgia's prisons that is simply scandalous.
Ich habe die Ehre, seit langer Zeit in die Helsinki-Gruppe von Georgien kooptiert worden zu sein, und bekomme daher sämtliche direkten Informationen.	I was co-opted into the Georgia Helsinki Group a long time ago, and as a result I receive information directly.
Es ist erschreckend, was man da erfährt.	It is shocking what people are going through there.
Daher war es gut, daß die UNO sich damit befaßt hat.	This was why it was good that the UN dealt with this.
Sie hat einen Bericht geschrieben, der von der UNO mit der klaren Forderung an die georgische Regierung angenommen wurde, diesen skandalösen Fall, insbesondere bei den drei Personen, die ich in der Entschließung genannt habe, endlich zu bereinigen.	It wrote a report, which was adopted by the UN, calling on the Georgian Government to put an end to this scandalous situation, particularly with regard to the three people I have named in the resolution.
Seither ist nichts erfolgt.	Since then nothing has happened.
Die UNO hat mehrfach nachgefragt, aber aus Georgien kommt einfach keine Antwort.	The UN has made several inquiries but there has been no reply from Georgia.
Die Regierung schweigt.	The government remains silent.
Ich glaube, es ist langsam an der Zeit, daß wir als Europäer auch ein Wort dazu sagen.	In my opinion, it is now time for us Europeans to have a say.
Denn wir dürfen nicht vergessen, daß unser Wort in Georgien ernstlich gehört wird.	After all, we must not forget that Georgia listens to us very seriously.
Es wäre daher sehr gut, geradezu ein Dienst an Georgien, wenn wir diese Frage aufnehmen und die georgische Regierung jetzt auffordern, wie es in der Entschließung steht, endlich auch das zu machen, was die UNO nach langen, ernstlichen Studien aufgrund einer breiten Dokumentation vorgeschlagen hat.	Therefore, it would almost be a service to Georgia if we were to take up this issue and call upon the Georgian Government, as stated in the resolution, to finally comply with the UN's proposals following lengthy, serious studies based on a broad range of evidence.
Ich hoffe nur, daß das in dieser Form angenommen wird, denn das kann tatsächlich etwas bewirken.	I only hope that the resolution is adopted in its current form, because I believe it can really achieve something.
