im Namen der ALDE-Fraktion. - Herr Präsident! Herr Kommissar, danke für Ihre Ausführungen.	on behalf of the ALDE Group. - Mr President, Commissioner thank you for your statement.
Ich bin sehr dankbar für die Initiative der spanischen Ratspräsidentschaft - und das ist ja hier eine sehr spanische Veranstaltung, wenn ich das so sehe -, dass Sie diese Vorschlagsreihe übernommen haben und in Führungsposition gegangen sind.	I am very grateful for the initiative by the Spanish Presidency - and this is a very Spanish event as far as I can see - in adopting this series of proposals and leading the way in this regard.
Elektromobilität muss in Zukunft die zentrale Rolle spielen.	Electromobility must play a key role in future.
Aber wir sind - das wissen wir alle - noch weit und noch lange von einer umfassenden e-Mobilität entfernt.	However, as we all know, we are still a long way from achieving comprehensive electromobility.
Deswegen sollten wir auch nicht den Fehler machen, jetzt einen Elektro-Hype entstehen zu lassen, dessen Ansprüche wir politisch nicht erfüllen können.	For that reason, we should also not make the mistake of allowing electric-car hype to arise, the claims of which we are not able to fulfil in political terms.
Wir sollten deswegen den Fokus auf die Verbesserung der herkömmlichen Antriebsmöglichkeiten nicht vernachlässigen, da Rohöl wohl noch lange der Treibstoff unserer Mobilität sein wird.	Therefore, we should not abandon our focus on improving conventional means of locomotion, as crude oil will probably continue to fuel our mobility for a long time yet.
Folgende Punkte sind dennoch von zentraler Bedeutung:	The following points are crucial, however.
Erstens - Sie und alle anderen Redner haben es gesagt: Wir brauchen eine europäische Strategie bei der Entwicklung von Standards.	Firstly, as you and all of the other speakers have said, we need a European strategy for the development of standards. The United States and China are working jointly on conductive charge couplers.
Die USA und China arbeiten an gemeinsamen Ladesteckern.	We must not lag behind in this regard.
Wir dürfen da nicht hinterherhinken, wir sollten vorangehen und sollten es auch nicht zu europäischen Eitelkeiten kommen lassen: Sind die Franzosen schneller, oder die Deutschen oder die Spanier?	We ought to lead the way and should not allow European vanity to take hold. Are the French quicker, or the Germans or the Spaniards?
Wir sollten alle an einem Strang ziehen, und die Kommission sollte da durchaus vorangehen.	We should all pull together and the Commission should certainly take the lead in this.
Wir brauchen die Entwicklung kostengünstiger, leistungsstarker Batterien.	We need to develop cost-effective, high-performance batteries.
Zweitens: Wir müssen die Netzinfrastruktur flächendeckend ausbauen.	Secondly, we need to extend network-infrastructure coverage to all areas.
Das heißt für uns, dass wir unsere Fördermöglichkeiten im Kohäsionsbereich, im Regionalbereich, aber auch in der Entwicklung des ländlichen Raums gezielter in diese Richtung orientieren müssen.	For us, that means that we have to focus our subsidy options on this in a more targeted way in the area of cohesion, in the regions and also in the development of rural areas.
Der Bürger muss grenzüberschreitend Elektromobilität nutzen können, sonst wird er auf diese Fortbewegungsform nicht zugreifen.	Citizens must be able to use electromobility across borders, otherwise they will not use this form of transport.
Drittens müssen wir auch Elektroautos bei den CO2-Emissionen anrechnen.	Thirdly, we must also take electric cars into account in our CO2 emissions calculations.
Die Hersteller von Automobilen, die heute Flottenberechnungen durchführen, können Elektroautos noch nicht anrechnen.	Car manufacturers that are currently carrying out fleet calculations cannot yet include electric cars.
Wir brauchen diese Anrechnung in Zukunft.	We need to be able to take these into account in future.
Viertens müssen wir Elektroautos EU-weit steuerlich entlasten.	Fourthly, we must provide tax relief on electric cars throughout Europe.
Das gilt insbesondere bei den Batterien, die noch der teuerste Punkt sind.	This applies to batteries in particular, which are still the most expensive part.
Da müssen wir forschen, aber auch Steuerharmonisierung betreiben.	We need to carry out research in this regard, but we also need to harmonise our taxes.
