Frau Präsidentin! Die europäischen Sozialmodelle stehen vor großen Herausforderungen.	Madam President, the European social models face great challenges.
Insbesondere vor dem Hintergrund der aktuellen Finanzkrise müssen wir unsere Maßnahmen auf europäischer Ebene koordinieren.	In particular against the backdrop of the current financial crisis, measures at European level must be coordinated.
Deswegen möchte auch ich mich sehr bei den Berichterstattern für die gute Arbeit bedanken.	I would therefore also like to thank the rapporteurs very much for their excellent work.
Wir müssen nicht nur die unmittelbaren Maßnahmen zur Regulierung des Finanzmarkts angehen, sondern auch die sozialpolitischen Maßnahmen koordinieren und einen sozialen Rahmen schaffen.	Not only must we take immediate measures to regulate the financial market, we must also coordinate sociopolitical measures and create a social framework.
Dabei sind allerdings auch die Kompetenzen der Mitgliedstaaten zu beachten.	Here we should also bear in mind the competences of the Member States.
Ich befürworte, dass wir der Schaffung und Förderung von Arbeitsplätzen in diesen Krisenzeiten Priorität einräumen und auch die Konkretisierung des Flexicurity-Grundsatzes vorantreiben.	I am in favour of giving priority to creating and boosting employment at this time of crisis and also of pressing ahead with the realisation of the flexicurity principle.
Ich wehre mich jedoch gegen die Forderung nach der Einführung von Mindestlöhnen in allen Mitgliedstaaten, wie sie in Ziffer 14 des Berichts von José Silva Peneda gefordert wird, dem ich ansonsten für seine Arbeit danken möchte.	However, I refuse to accept the demand for the introduction of minimum wages in all Member States, as called for in paragraph 14 of the report by Mr Silva Peneda, whom I would otherwise like to thank for his work.
Diese Forderung, die eine rein mitgliedstaatliche Entscheidung betrifft, verstößt gegen das Subsidiaritätsprinzip.	This demand, which relates to a decision that should be left to the sole discretion of Member States, infringes the principle of subsidiarity.
Wir haben in den Mitgliedstaaten sehr unterschiedliche Arbeitsmarktordnungen und -systeme.	Labour market regulations and systems vary greatly from one Member State to another.
Ich bin der Auffassung, dass jedem Menschen ausreichend Zuwendung gewährleistet werden muss, um ein menschenwürdiges Leben führen zu können.	In my opinion, every person must be guaranteed sufficient income to be able to lead a decent life.
Das kann allerdings auch durch ein Mindesteinkommen mit Hilfe von zusätzlichen staatlichen Sozialleistungen geschehen.	This can be achieved through a minimum income with the help of additional state social benefits.
Wo sollte der Mindestlohn auch festgesetzt werden?	What level would the minimum wage be pegged at?
Zum Beispiel auf dem Niveau Rumäniens?	At the Romanian level perhaps?
Dort liegt er bei 72 Euro pro Monat.	There it is around EUR 72 a month.
Ich befürworte ausdrücklich, dass wir jedem Menschen ein Grundeinkommen sichern müssen, aber ich verweise auf die mitgliedstaatlichen Kompetenzen für die Festlegung entsprechender Grenzen.	I particularly support the idea that we must secure a basic income for everyone, but I refer back to Member States' competences for establishing appropriate limits.
Ich spreche mich für ein soziales Europa aus.	I declare myself in favour of a social Europe.
Europa muss einen sozialen Rahmen schaffen, dabei allerdings die Kompetenzen der Mitgliedstaaten beachten.	Europe must create a social framework, but at the same time consider the powers of the Member States.
