Vizepräsident der Kommission. - Herr Präsident, meine sehr verehrten Damen und Herren!	Mr President, ladies and gentlemen, I should like to address two issues briefly.
Ich möchte noch kurz auf zwei Fragen eingehen. Zunächst auf die Zusammenarbeit in Sicherheitsfragen, die von Frau in 't Veld sehr nachdrücklich dargestellt worden ist und bei der es darum geht, wie wir die richtige Balance finden zwischen den Sicherheitsbedürfnissen unserer amerikanischen Freunde und dem Anspruch, den wir selber an die individuelle Freiheit und die individuellen Rechte unserer Bürgerinnen und Bürger stellen.	First of all, cooperation on security issues, which Mrs in 't Veld has outlined very succinctly and which concerns how we find the right balance between the security requirements of our American friends and the demand that we ourselves are making on individual freedom and the individual rights of our citizens.
Ich möchte Ihnen, Frau Abgeordnete, ganz klar sagen: Die Kommission teilt Ihre Besorgnisse voll und ganz, und ich werde die Kritik, die Sie an der mangelnden Transparenz des Verfahrens geäußert haben, selbstverständlich dem zuständigen Kollegen mitteilen und ihn bitten, für mehr Transparenz zu sorgen.	I should like to say quite clearly to you, Mrs in 't Veld, that the Commission fully shares your concerns and I shall, of course, be informing the relevant colleague of the criticism you have expressed on the lack of transparency in the process and asking him to ensure greater transparency.
Wir reden mit den Amerikanern, bevor wir uns auf irgendetwas einlassen können, über die Grundsätze, die uns bei der Zusammenarbeit in solchen Fragen leiten müssen.	We shall be talking to the Americans before we can accept anything regarding the principles that must lead us to cooperate on these issues.
Wenn es keine Verständigung über diese Grundsätze gibt, kann es auch kaum eine Verständigung über Einzelfragen geben.	If there is no understanding on these principles, there can hardly be any understanding on individual issues.
Das ist selbstverständlich ein Thema bei dem Treffen nächste Woche in Ljubljana.	This is, of course, one of the subjects to be addressed at next week's meeting in Ljubljana.
Ich sage nicht gerne noch etwas über Geflügel, aber es ist von mehreren hier angesprochen worden.	It gives me no pleasure to say anything more here about poultry, but the subject has been addressed by several speakers here.
Es ist immer gut zu wissen, worüber man eigentlich redet.	It is always good to know what we are actually talking about.
Daher ist es auch wichtig zu wissen, dass dies keine Frage der Lebensmittelsicherheit ist, über die wir hier sprechen.	It is therefore also important to know that we are not talking about a food safety issue here.
Seit vielen Jahren erklärt die zuständige Europäische Behörde für Lebensmittelsicherheit, dass von amerikanischen Geflügelimporten nicht das geringste Risiko für die Gesundheit der Verbraucher ausgeht.	For many years now the competent European Food Safety Authority has been explaining that there is not the slightest risk to consumer health from imported American poultry.
Wir reden nicht über ein Veterinärproblem, wir reden über eine rein handelspolitische Frage, die unter dem Gesichtspunkt behandelt werden muss: Was sind unsere Interessen und wie verteidigen wir unsere Interessen am besten?	We are not talking about a veterinary problem; we are talking about an issue of pure trade policy, which must be dealt with from the point of view: what are our interests and how do we best defend our interests?
Ich denke, dazu habe ich Ihnen das Notwendige gesagt.	I think I have said what I needed to say to you.
Es gibt hierzu auch keine unterschiedlichen Auffassungen in der Kommission.	Nor are there any differing opinions in the Commission.
Die Kommission hat sich von Anfang an bereit erklärt, diese - wie ich sagen muss - ein wenig bizarre Auseinandersetzung nicht zu einer Belastung werden zu lassen und das Problem aus der Welt zu schaffen.	The Commission has from the outset been explaining - as I must say - how not to allow this somewhat bizarre dispute to become a burden and how to rid ourselves of the problem.
