Herr Präsident! Herzlichen Dank, Frau Kommissarin Malmström.	Mr President, thank you, Commissioner Malmström.
Das jetzt vorgelegte Verhandlungsmandat zeigt vor allen Dingen, dass Kommission und Parlament wieder auf derselben Linie sind und dass die Zusammenarbeit, wie sie sein sollte, hiermit wenigstens eingeläutet worden ist.	The negotiating mandate before us shows, above all, that the Commission and Parliament are again taking the same line and that cooperation has at least got off to a good start.
Dass das Europäische Parlament im Februar das Abkommen abgelehnt hat - das sage ich an die Adresse all derjenigen, die das als Muskeln zeigen bezeichnet haben -, das hat nichts mit Muskeln zeigen zu tun, das ist Verantwortung übernehmen.	The fact that the European Parliament rejected the agreement in February - and I address this to all those who have described it as muscle flexing - has nothing to do with muscle flexing; it is about assuming responsibility.
Verantwortung übernehmen für die Rechte derjenigen, die wir vertreten, nämlich die europäischen Bürger.	Assuming responsibility for the rights of those that we represent, namely the citizens of Europe.
Die Verhandlungen, die jetzt zu dem neuen Abkommen über Bankdatentransfers geführt werden, werden vor allen Dingen die Gretchenfrage beantworten: Liebes Parlament, liebe Europäische Union, wie hältst du es mit dem Respekt?	The negotiations on the new agreement on the transfer of bank data now under way will, above all, answer the crucial question as to where Parliament and the European Union stand on respect.
Dem Respekt unter Partnern, dem Respekt gegenüber Bürgern und dem Respekt vor europäischer Gesetzgebung.	Respect among partners, respect for citizens and respect for European legislation.
Wir konnten in dieses Verhandlungsmandat sehr viel einfließen lassen, was uns wichtig ist.	We were able to slip a lot of things that are important to us into this negotiating mandate.
Auch die Entschließung, die wir im Mai beschließen werden, spiegelt sehr viel von dem wieder, was nämlich speziell den Schutz unserer Bürger betrifft, sowohl deren Daten als auch deren Rechtsschutzmöglichkeiten, auch exterritorial, insbesondere dann, wenn ihre Rechte exterritorial verletzt werden könnten.	The resolution that we will adopt in May very much reflects those things that specifically concern the protection of our citizens, both their data and their judicial remedies, including extraterritorial protection, particularly when their rights could be violated extraterritorially.
Es ist viel gesprochen worden über die Übertragung von Sammeldaten, so genannten bulk data transfers.	We have talked a lot about the transfer of aggregated data, so-called bulk data transfers.
Was wir schon klarstellen müssen, ist, dass in dem abschließenden Mandat festgehalten werden muss, wie und wann dieses Problem gelöst wird.	What we must clarify is the fact that in the mandate concluded, we must set out how and when this problem will be resolved.
Denn andernfalls wird es sehr schwer sein, das Ganze unter dem Aspekt dessen, was wir bisher formuliert haben, zu vertreten.	Otherwise, it will be very difficult to represent the whole thing in light of what we have formulated so far.
Die Entschließung des Europäischen Parlaments hebt es in zwei Punkten hervor, das Verhandlungsmandat in einem.	The European Parliament's resolution highlights this in two paragraphs, the negotiating mandate in one.
Ich bin zuversichtlich, dass die Kommission das in weiser Art und Weise lösen wird.	I am confident that the Commission will resolve this in a sensible manner.
