Herr Präsident, ich verstehe das nicht als Drohung.	Mr President, I do not see that as a threat.
Vor Monaten haben wir über Birma gesprochen, letzten Monat haben wir über Birma gesprochen und jetzt schon wieder.	Some months ago we discussed Burma, last month we discussed Burma, and now we are doing so again.
Wir sind betroffen vom Tod des Konsuls James Nichols, des Konsuls für Dänemark, die Schweiz und Schweden.	We are disturbed by the death of James Nicols, the Consul for Denmark, Switzerland and Sweden.
Sein Tod ist ein Ausdruck von Folter in diesem Land.	His death is evidence of torture in that country.
Er wurde am Schlafen gehindert, er bekam keine ärztliche Versorgung.	He was prevented from sleeping, he was not given medical care.
Dieses unmenschliche Vorgehen, diese unmenschliche Behandlung durch den SLORC dürfen wir nicht weiter hinnehmen!	We can no longer tolerate this inhuman behaviour, this inhuman treatment by the SLORC.
Laut Angaben des IWF wurden 1994 in Birma 3, 1 % des Bruttoinlandsprodukts durch Zwangsarbeit erwirtschaftet.	According to information from the IMF, 3.1 % of the gross domestic product of Burma in 1994 was generated by forced labour.
Das ist ein Ausdruck dieser Katastrophe, den wir wohl nicht einfach so hinnehmen können.	That is a measure of this tragedy, which we cannot simply stand aside from.
Vielleicht war es unser Protest, vielleicht war es auch das Engagement der NGO, das Heineken und Carlsberg bisher daran gehindert hat, dort zu investieren.	Perhaps it was our protest, perhaps it was also the commitment of the NGOs that has so far prevented Heineken and Carlsberg from investing there.
Es gibt noch weitere potentielle Investoren wie etwa BMW, die sich hoffentlich genauso verhalten.	There are other potential investors, such as BMW, who we hope will adopt the same stance.
Auch wir sind gefordert, insbesondere die Kommission und der Rat.	We, particularly the Commission and the Council, are also being called upon to react.
Ich denke, die Kommission darf keine Präferenzen mehr gewähren.	I do not think the Commission should grant any more preferences.
Wir müssen diplomatisch klar machen, daß die Beziehungen eingestellt werden, wenn die Situation sich nicht ändert.	We must make it clear diplomatically that relations will be suspended if the situation does not change.
Der Rat muß das auch deutlich machen, gerade mit Blick auf die Beziehungen zu den ASEAN-Staaten.	The Council must also make that clear, particularly in the context of relations with the ASEAN states.
Abschließend möchte ich sagen, daß wir Frau Aung San Suu Kyi weiter unterstützen müssen, und ich hoffe, daß die Diplomatie dann fruchtbare Ergebnisse bringt.	In conclusion, let me say that we must continue to support Mrs Aung San Suu Kyi, and I hope that diplomacy will bear fruit in this matter.
