Herr Präsident! Erlauben Sie mir doch noch eine Frage an den Kommissar Byrne.	Mr President, allow me to ask Commissioner Byrne one more question.
Wir haben die Situation, daß Sie uns einen Text vorlegen, der schon nicht mehr den üblichen Verfahrensweisen mit dem Rat entspricht.	The situation is this: you tabled a text which no longer complies with the standard procedure agreed with the Council.
Das ist uns aufgefallen.	We noticed that.
Daraufhin machen wir unsere Änderungsvorschläge, die Sie ja auch im Grundsatz und vom Verfahren her für richtig erachten.	We then table our proposed amendments, which you consider to be correct as far as principle and procedure are concerned.
Dann machen Sie den Unterschied zwischen der Situation eines Berichts, den Sie uns nur nach Artikel 152, und diesem, den sie nach 37 und 152 vorlegen, und Sie sagen, deswegen brauchen wir einen geteilten Verweis auf die Komitologie.	Then you differentiate between what applies to a report tabled to us under Article 152 alone and this report, which you have tabled under both 37 and 152 and you say that is why we need separate references to comitology.
Wir haben natürlich auch mit unserem Rechtsdienst gesprochen, und in dem Text, den ich Ihnen mündlich vorgetragen habe, ist genau dieser Bezug auf die Komitologie enthalten.	Of course, we too consulted our legal service and the text which I read out to you contains precisely this reference to comitology.
Der Rechtstext wird damit bestätigt.	The legal text is therefore confirmed.
Es geht in diesem Fall um eine Dickfelligkeit der Kommission, die sagt, nein, wir bleiben bei unserem Vorschlag, wie wir das schon einmal in diesem Parlament in ähnlicher Weise gehabt haben.	The Commission is being thick-skinned here; it is saying no, we stand by our proposal as we have already done on a similar occasion in the past here in Parliament.
Von daher, Herrn Byrne, wenn Sie sagen, ich soll mir überlegen, den Antrag zurückzuziehen, möchte ich Sie bitten zu überlegen, ob Sie diesem nicht zustimmen, zumal es dem Beschluß der Komitologie entspricht.	Hence, Mr Byrne, when you say I should consider withdrawing the amendment, I should like to ask you to consider if you do not agree with it, especially as it complies with the decision on comitology.
Dann haben wir das vereinfachte Verfahren.	Then we can use the simplified procedure.
Die Großzügigkeit sollte bei der Kommission liegen und nicht beim Berichterstatter!	Generosity is incumbent upon the Commission, not the rapporteur.
