Herr Präsident! In Birma scheint sich ein Drama ohne Ende abzuzeichnen.	Mr President, a never-ending drama seems to be unfolding in Burma.
Seit Jahren terrorisiert ein brutales Junta-Regime das Volk von Birma, das in tiefer Armut lebt.	For years, a brutal junta has been terrorising the people of Burma, who live in extreme poverty.
Das Regime kujoniert Tausende von Zwangsarbeitern, in den Kerkern des Landes vegetieren tausend und mehr politische Häftlinge dahin, und die einst demokratisch mit überwältigender Mehrheit gewählte Präsidentin, die Trägerin des Nobelpreises - und übrigens auch des Sacharow-Preises dieses Hauses - wurde über Jahre eingesperrt und - nachdem man eine kurze Zeit Hoffnung auf leichte demokratische Silberstreifen am Horizont haben konnte - am 31. Mai zusammen mit neun weiteren Parteimitgliedern erneut in Haft genommen.	The regime bullies thousands of forced labourers, thousands of political detainees languish in the country's prisons, and the President, once democratically elected with an overwhelming majority, the holder of the Nobel Prize - and also the holder of the European Parliament's Sakharov Prize - was imprisoned for years and then, after a short period in which the hope of a thin silver lining of democracy could be seen on the horizon, was arrested again on 31 May this year together with nine other members of the country's parliament.
Wie Sie sicherlich den Medien entnommen haben, ist unklar, wie viele Menschenleben der gewaltsame Übergriff des Militärs tatsächlich gekostet hat, welches Schicksal der stellvertretende Vorsitzende der verfolgten Partei - nämlich der Nationalen Liga für Demokratie - erlitten hat.	As you have no doubt learned from the media, it is not clear how many human lives the enforced military takeover has actually cost, or what fate the Deputy Chairman of the persecuted party, the National League for Democracy, has suffered.
Möglicherweise wurde auch die Vorsitzende selbst bei diesem Übergriff verletzt.	It is possible that the President herself was injured in this latest attack.
Dies ist ein wirklich schwerer Rückschlag, nachdem vor genau einem Jahr die Freilassung von Aung San Suu Kyi Hoffnungen auf Reformbereitschaft des Regimes aufkeimen ließ.	This is a really serious reversal, given that exactly a year ago the release of Aung San Suu Kyi raised hopes that the regime was ready to carry out reforms.
Im Geist dieser Hoffnung wurde der politische Dialog unter Aufsicht des UN-Sonderbeauftragten Razali Ismail begonnen, aber es ist zu befürchten, dass ihm bei dem für morgen vorgesehenen Besuch eine Begegnung mit Aung San Suu Kyi vorenthalten und damit eine weitere Verhärtung der Fronten erfolgen wird.	In this spirit of hope, a political dialogue was begun, under the supervision of the UN Special Envoy Razali Ismail, but it is to be feared that on his visit, planned for tomorrow, he will be prevented from meeting Aung San Suu Kyi, and that this will result in a further hardening of attitudes.
Militärische Gewalt, politische Verfolgung und Freiheitsberaubung von Menschen, die allen Repressalien zum Trotz mit friedlichen Mitteln für Demokratie kämpfen, dürfen nicht toleriert werden.	Military might, political persecution and taking away the freedom of people who, in defiance of all repressive measures, continue to fight for democracy - all these must not be tolerated.
Daher ist der Rat aufgefordert, die vorerst ausgesetzten Sanktionen gegen das Regime sofort umzusetzen.	The Council has therefore been invited to reintroduce, with immediate effect, the sanctions against the regime which had been temporarily suspended.
Es muss aber auch deutlich werden, dass Rat, Kommission und nicht zuletzt das Europäische Parlament im Interesse des Volkes in Birma keineswegs alle Türen zuschlagen wollen.	However, it must also be clear that the Council, the Commission and in particular Parliament, in the interests of the people of Burma, do not want to close all doors in Burma.
Das heißt, dass nach wie vor die Bereitschaft besteht, zur Förderung eines nationalen Versöhnungsprozesses beizutragen, aber es müssen auch Anzeichen gegeben sein, dass ein solcher Versöhnungsprozess von allen Seiten gewünscht und betrieben wird.	In other words, we are still ready to help to encourage a process of national reconciliation, but there must also be signs that such a reconciliation process is desired and pursued by all sides.
So lange aber Terror und militärische Gewalt vorherrschen, kann niemand auf die Toleranz des Europäischen Parlaments und der anderen europäischen Institutionen hoffen.	As long as terror and military might prevail, however, no one can hope for tolerance from the European Parliament and from the other European institutions.
