im Namen der Verts/ALE-Fraktion. - Herr Präsident, meine sehr verehrten Damen und Herren!	Mr President, ladies and gentlemen, finally there is movement in this debate.
Jetzt kommt endlich Bewegung in die Debatte. Die Kommission muss jetzt wieder die Gesamtverantwortung tragen.	The Commission must now bear the overall responsibility again.
Wir haben es heute Morgen etwas anders gesehen. Wir hätten das Parlament gerne mehr eingebunden.	This morning, we saw something different, although we would have liked Parliament to have been more involved.
Um es ganz klar zu sagen, wir sind nicht gegen die finanziellen Hilfen.	Let me say quite clearly that we are not against financial support.
Man muss sich aber auch darüber klar sein, sie sind ein Tropfen auf den heißen Stein, im wahrsten Sinne des Wortes.	We must be clear, however, that such support is just a drop in the ocean, in the truest sense of the expression.
Die Beschlüsse von Luxemburg haben leider auch nicht dazu beigetragen, dass wir Angebot und Nachfrage - was ja eigentlich das entscheidende Segment ist - wieder ins Gleichgewicht bringen.	The decisions made in Luxembourg unfortunately also did not help us bring about a rebalancing of supply and demand - which is, of course, the crucial element here.
Freiwillige Quotenrauskäufe ja, aber sie werden keine große Wirkung haben, weil sie nicht wesentlich zur Mengenreduzierung beitragen.	The voluntary buying up of quotas is all well and good, but it will not have a major impact as it does not contribute significantly to a reduction in volume.
Ich habe es gestern schon gesagt: Wir müssen den Bericht des Rechnungshofs ernsthaft zur Kenntnis nehmen und eine langfristig ausgerichtete Politik in Angriff nehmen, wir müssen schauen, was der Rechnungshof gesagt hat.	I already mentioned yesterday that we must give proper consideration to the Court of Auditors' report and set about implementing a policy aimed at the long term and that we need to look at what the Court of Auditors has said.
Er hat gesagt, dass wir in Zukunft eine Angebotssteuerung brauchen, sonst wird das ganze System nicht finanzierbar, und wir brauchen eine am europäischen Markt mit Qualitätsprodukten orientierte Milchpolitik.	The Court said that we need supplies to be managed in future or else the whole system will be incapable of being financed, and we need a dairy policy based on quality products in the European market.
Wir müssen so schnell wie möglich - das ist eine alte Forderung von uns - weg von der Exporterstattung, auf deren verhängnisvolle Auswirkungen wir ja schon öfters hingewiesen haben.	We must move away from export refunds as quickly as possible - this is an old demand on our part and we have often pointed out the disastrous consequences of these measures.
Wir brauchen wirklich eine Politik über diese aktuelle Krise hinaus, und dann erwarten wir auch Antworten von der Kommission über den Tag hinaus.	We really need a policy that goes beyond this current crisis and we also expect longer-term answers from the Commission.
Diese Antworten ist uns die Kommission bis jetzt leider schuldig geblieben, nämlich in der Richtung, dass wir die Erzeugerorganisationen stärken müssen, um ihnen mehr Marktmacht zu geben und den Supermarktketten Einhalt zu gebieten.	Regrettably, the Commission has not given us such answers so far, specifically as regards how we need to strengthen the producer organisations in order to give them more market power and restrain the supermarket chains.
