Herr Präsident! Ich begrüße den Ratspräsidenten!	Mr President, I should like to welcome the President-in-Office.
Liebe Kolleginnen, liebe Kollegen! Der Ausgleich mit Rußland ist die entscheidendste Friedensstrategie für unseren Kontinent.	Ladies and gentlemen, reconciliation with Russia is the most crucial peace strategy for our continent.
Angesichts dieser These ist mit dem NATO-Bombardement auf Jugoslawien ohne UN-Mandat dieser Grundsatz sträflichst verletzt worden.	In this respect the NATO bombing of Yugoslavia without a UN mandate represents the most criminal violation of this principle.
Die westliche Gemeinschaft hat angesichts der massiven Menschenrechtsverletzungen und der ethnischen Vertreibungen im Kosovo diesen Friedensgrundsatz über Bord geworfen.	The Western community has cast aside the peace principle in view of the massive human rights violations and ethnic expulsions in Kosovo.
Ich bin aber der Meinung, daß es ein Fehler ist, dessen Folgen uns noch lange zurückwerfen werden bei dem Versuch, eine gemeinsame Sicherheitsstrategie in Europa zu entwickeln.	However, in my opinion it is a mistake whose consequences will set us back for a long time in our attempt to develop a common security strategy in Europe.
Kein Zweck heiligt die Mittel, denn die Folgen für unseren Kontinent sind noch nicht absehbar.	The end never justifies the means as the results for our continent cannot yet be predicted.
Ich möchte nur einige anreißen.	I would like to touch on a few of these.
Erstens, jeder Bombenschlag macht die Rückkehr zum Verhandlungstisch schwieriger.	Firstly, every bomb makes the return to the negotiating table more difficult.
Ich sehe nur einen Ausweg: Rußland muß noch stärker eine zentrale Rolle in der politischen Lösung zugewiesen werden.	I see only one way out: Russia must be given an increasingly central role in the political solution.
Es gibt Bemühungen, aber das Verhandlungsangebot, das bisher von Rußland kam, ist immer wieder vom Tisch gewischt worden, und am Ende wird Rußland doch nicht diese Rolle zugewiesen.	Attempts have been made, but Russia's offers to negotiate have to date been rejected and in the end it has not been given this role after all.
Zweitens, die Option von Washington, ohne UN-Mandat entgegen internationalen Gepflogenheiten militärisch einzugreifen, bringt auch Rußland dazu, eigene Einflußzonen zu definieren und hier das gleiche Recht für sich in Anspruch zu nehmen.	Secondly, the Washington option of taking military action without a UN mandate and against international practice forces Russia to define its own zones of influence and to assert its right to do the same here.
Ich denke nur an die vielen Konflikte im Nordkaukasus und Transkaukasus und die Gefahren, die auch dort wieder bestehen.	We need think only of the many conflicts in North Caucasia and Transcaucasia and the dangers that have re-emerged there too.
Drittens, der ABM-Vertrag und die START-2-Ratifizierung werden auf die Ewigkeit verschoben werden und damit unser Wunsch nach weltweiter Abrüstung, die so viele finanzielle und materielle Ressourcen bindet.	Thirdly, the ABM Treaty and the ratification of START 2 are likely to be indefinitely postponed, and with them goes our desire for worldwide disarmament which ties up so many financial and material resources.
Deshalb ist es wichtig, eine gemeinsame Strategie zu entwickeln, dies als erster Akt der neuen Möglichkeiten einer gemeinsamen Außen- und Sicherheitspolitik.	Therefore it is important that we develop a common strategy, and that we do so as the first act under the new opportunities offered by a common foreign and security policy.
Sie darf aber keine Alibifunktion haben.	But it must not be used as an alibi.
Ich sage auch: So lange es keine interinstitutionellen Veränderungen bezüglich der Beteiligung der demokratischen Kontrollrechte des Europäischen Parlaments geben wird, ist das weniger, als wir bisher außenpolitisch an Einflußmöglichkeiten hatten.	I would also say that unless there is interinstitutional change in terms of involving the European Parliament's democratic right of control, then we will have less power of influence over foreign policy than we have had up to now.
Deswegen brauchen wir hier institutionelle Veränderungen.	This is why we need interinstitutional change.
