Frau Präsidentin, meine sehr geehrten Damen und Herren Abgeordneten, sehr geehrte Damen und Herren!	Madam President, ladies and gentlemen, I should like firstly to thank Mr Procacci for his report.
Zunächst möchte ich Herrn Procacci für den Bericht, den er ausgearbeitet hat, meinen Dank aussprechen. Ich möchte aber auch insgesamt den verschiedenen befaßten Ausschüssen und dem Parlament danken für die breite Unterstützung, die sie der Initiative LEADER + zukommen haben lassen.	However, I should also like to extend thanks to the various committees involved and Parliament as a whole for the broad support which they have given the LEADER+ initiative.
Diese Initiative soll dem ländlichen Raum neue Impulse geben, um neue und originelle Ansätze zu entwickeln und zu erproben, Ansätze, die dann später als Modell in allgemeine Programme eingeführt werden sollten.	This initiative should give the countryside new impetus to develop and test new and original ideas, ideas which it is then intended should at a later stage be incorporated in the general programmes as models.
Ich freue mich auch, daß das Parlament im wesentlichen die Auffassung der Kommission unterstützt, daß LEADER + in allen ländlichen Regionen zur Anwendung kommen soll, daß übergeordnete Prioritäten eingeführt werden sollen, und daß vor allem auch die aktive Zusammenarbeit und Vernetzung der ländlichen Gebiete gefördert werden soll.	I am also pleased that Parliament essentially supports the Commission' s view that LEADER+ should be applied in all rural areas, that overriding priorities should be introduced and that, above all, active cooperation and networking between rural areas should be encouraged.
Ich stelle zudem fest, daß das Parlament die Auffassung der Kommission teilt, derzufolge der Durchführung von LEADER + in Form von Globalzuschüssen der Vorrang zu geben ist.	In addition, I note that Parliament shares the Commission' s view that the preferred form for implementing LEADER+ is the use of global grants.
Um zu einigen Einzelfragen zu kommen, die hier aufgeworfen wurden, kann ich auch bestätigen, daß wir eine möglichst weitgehende Partnerschaft und Teilnahme an LEADER + haben wollen.	Turning now to some of the individual questions raised here today, I can also confirm that we wish to have the widest possible partnership and participation in LEADER+.
Die verschiedenen Gruppen, seien es Umweltorganisationen oder Gruppen, denen die Beschäftigung ein Anliegen ist, haben die Möglichkeit, bei der Erstellung der Richtlinien der Kommission mitzuarbeiten.	The various groups, be they environmental organisations or groups concerned with employment, have the possibility of taking part in drafting the Commission directives.
Und es werden auch nicht weniger, sondern mehr Mittel als in der laufenden Periode zur Verfügung stehen.	And there will not be less funds available than in the current period either; there will be more.
Ich möchte auch daran erinnern, daß es nicht neu ist, daß wir eine Beobachtungsstelle einrichten.	I should also like to remind you that the idea of setting up an observatory is nothing new.
Diese Beobachtungsstelle hat es auch schon bei LEADER I und bei LEADER II gegeben.	There was also an observatory under LEADER I and LEADER II.
Diese Stelle hat ausschließlich den Zweck, gerade die Vernetzung zwischen den einzelnen LEADER-Gruppen in Gang zu halten.	It has one purpose only and that is precisely to maintain active networking between the individual LEADER groups.
Die Finanzierung dieser Beobachtungsstelle darf 2 % der LEADER-Mittel nicht übersteigen.	The cost of this observatory is not permitted to exceed 2% of the LEADER budget.
Was die Möglichkeit von Projekten anbetrifft, die das Training und die Ausbildung zum Inhalt haben, so darf ich darauf hinweisen, daß das genau ein Punkt ist, den wir jetzt in die neue ländliche Entwicklungspolitik integriert haben, so daß es aus unserer Sicht nicht mehr notwendig ist, dies im Rahmen von LEADER zu tun.	As far as the possibility of having projects containing training initiatives is concerned, I might point out that this is precisely a point which we have now integrated into the new rural development policy, which means, in our view, that it is no longer necessary to do this as part of LEADER.
Nun zu dem Inhalt des Berichts.	I now come to the content of the report.
Im Punkt 14 fordert das Parlament die Kommission auf, umgehend einen Bericht über die Evaluierung von LEADER II zu liefern.	In point 14, Parliament calls on the Commission to submit an evaluation report on LEADER II immediately.
Ich möchte Sie nur darauf hinweisen, daß das zum derzeitigen Zeitpunkt nicht sehr viel Sinn macht, weil ja nach wie vor - und zwar bis Ende 2001 - Mittel nach LEADER II abgerechnet werden können.	I should simply like to point out that this does not make very much sense at the present time because, as you know, it is still possible - and in fact will be until the end of 2001 - for LEADER II funds to be disbursed.
Daher sind wir der Meinung, daß es sinnvoller ist, diese Evaluierung erst nach Abschluß des Programms durchzuführen.	We therefore think that it would be more sensible to wait until the programme' s conclusion before carrying out the evaluation.
Selbstverständlich werden wir das tun und Ihnen auch einen Bericht dazu zukommen lassen.	We will obviously do this and will also forward a report to you on it.
