Frau Präsidentin!	Madam President.
Herr Ratspräsident, Sie haben eine besondere Verantwortung.	President-in-Office, you have a particular responsibility.
Die tschechische Ratspräsidentschaft hat holprig begonnen, die Kunstpräsentation provoziert und sorgt für Empörung. Aber das ernsthafte Bemühen, nun Tritt zu fassen, die Verantwortung für die gesamte Union wahrzunehmen, ist nicht erst seit heute spürbar.	The Czech Council Presidency has got off to a bumpy start - its art installation has been provocative and given rise to indignation - but its serious efforts to find its feet and assume responsibility for the whole Union have been perceptible even before today.
Die Vorbereitungen scheinen gut.	It seems to be well prepared.
In Ihrem Programm setzen Sie die richtigen Schwerpunkte.	Its programme contains the right priorities.
Wir werden Sie aber danach bewerten, mit welcher Entschlossenheit, welchem persönlichen Einsatz, welcher europäischen Gesinnung und welcher Erfolgsquote Sie diese umsetzen.	It will subsequently be judged, however, on the determination, personal commitment and European-mindedness with which these are implemented, and on the success rate.
Kommissionspräsident Barroso hat gemeint, dass die EU in diesem Halbjahr auf die Probe gestellt wird.	Commission President Barroso said that the EU is being put to the test in these six months.
Die tschechische Ratspräsidentschaft und die tschechische Regierung stehen auf dem europapolitischen Prüfstand.	The Czech Council Presidency and the Czech Government are being put to the European-policy test.
Wir werden diese Bewährungsproben nur meistern, wenn wir gemeinsam unser Bestes geben.	These tests can be passed only if we all give of our best.
Daher bitte ich Sie auch, damit aufzuhören, die Innenpolitik gegen die Europapolitik auszuspielen oder Ihre Ratspräsidentschaft mit innenpolitischen Fragen zu belasten.	For that reason, I would ask you to stop playing domestic policy off against European policy and burdening your Council Presidency with domestic issues.
Sagen Sie den Bürgerinnen und Bürgern doch deutlich, dass Sie jetzt schon spüren, beim Gaskonflikt, in Gaza, beim Vorgehen der Slowakei bei Bohunice, bei der Finanzkrise, dass Sie mit dem Lissabon-Vertrag Ihre Funktion stärker und besser im Gleichklang mit den anderen europäischen Institutionen ausüben könnten.	You should make clear to citizens that you already feel that, in the matters of the gas dispute, Gaza, Slovakia's actions with regard to Bohunice and the financial crisis, the Treaty of Lisbon would strengthen your role and enable you to carry it out in better harmony with the other European institutions.
Die Europäische Union ist eine Werte- und eine Rechtsgemeinschaft.	The European Union is a community of values and a common system of law.
Ja, wir haben Regeln! Wer diese Regeln nicht einhält, wer Versprechen nicht umsetzt, handelt unsolidarisch.	Yes, we do have rules, and anyone breaking them, anyone not keeping to their promises, shows a lack of solidarity.
Die Rechts- und Wertegemeinschaft, die politischen Ziele vereinen uns trotz aller Unterschiede.	We are united despite all our differences by our community of values, our common system of law, our political objectives.
Daher fordere ich Sie auch auf: Verstecken Sie sich nicht hinter Irland, setzen Sie einen Schritt, ratifizieren Sie den Lissabon-Vertrag vor dem Europatag 2009, noch während Ihrer Ratspräsidentschaft!	Therefore, I would make the following appeal: do not hide behind Ireland, take a step forward, ratify the Treaty of Lisbon before Europe Day 2009, before the end of your Council Presidency.
Wir werden Sie nach Ihren Taten messen und nicht nach den Aussagen Ihres Präsidenten in Tschechien.	We shall judge you by your deeds and not by the comments by your President in the Czech Republic.
