Frau Präsidentin! Wir haben schon eine ganze Menge gehört.	Madam President, we have heard a great deal already.
Es ist so, dass es in diesem Fall, wie Frau Figueiredo sagte, um eine Richtlinie geht, die für Arbeitnehmer gedacht ist.	It is true, as Mrs Figueiredo said, that this is a directive that was intended to be aimed at employees.
Das ist richtig.	That is correct.
Es gibt aber auch Selbständige, und die sind keine Arbeitnehmer.	However, there are also self-employed people who are not classed as employees.
Es ist wichtig, dass man sich in Europa entscheiden kann, wie man arbeiten möchte - das ist ja auch gut so -, als Arbeitnehmer oder als Selbständiger.	It is important for people in Europe to be able to decide how they want to work - whether as an employee or as a self-employed worker.
Als Selbständiger muss man sich natürlich genauso an einige Spielregeln halten.	That is only right. Naturally, the self-employed also have to play by certain rules.
Digitale Fahrtenschreiber sind grundsätzlich in allen Lkws und entsprechenden Fahrzeugen, die in Frage kommen, vorhanden.	Digital tachographs are already present in all heavy goods vehicles and the equivalent vehicles that we are talking about here.
Es wäre aber eine übergebührliche Beeinträchtigung der Entscheidungsfreiheit für Selbständige, wenn wir sie jetzt in der Richtlinie mit drin haben.	If we were now to include self-employed workers in this directive, it would unduly restrict their freedom of choice.
Darum ist meine Fraktion auf jeden Fall dafür, die Selbständigen in diesem Fall herauszunehmen.	That is why my group is in favour of excluding the self-employed from this directive at all costs.
Wir finden den Vorschlag von Frau Bauer richtig und genauso auch den Vorschlag der Kommission.	We consider Mrs Bauer's proposal, and the proposal from the Commission, to be right.
Das sollte berücksichtigt werden.	That should be taken into account.
Wir wollen kleine und mittelständische Unternehmen schützen, und das können wir, indem wir jetzt in diesem Fall dem Vorschlag entsprechen.	We want to protect small and medium-sized businesses, and in this case, we can do so by adopting the proposal.
