Herr Präsident! Es gibt in dieser Diskussion um den Strafgerichtshof ganz verschiedene Extreme.	Mr President, this debate on the International Criminal Court has gone from one extreme to another.
Das eine haben wir vorhin gehört, das war die Rede von Frau Cauquil.	We heard one extreme earlier, in Mrs Cauquil's speech.
Frau Cauquil, ich muss Ihnen ganz ehrlich sagen, wir wollen kein weltweites Revolutionstribunal.	Mrs Cauquil, I must say to you in all honesty that we do not want an international revolutionary tribunal.
Wenn man solche Thesen vertritt wie Sie, ist das die sicherste Methode, um die Idee eines Strafgerichtshofes zum Scheitern zu bringen.	Putting forward theses such as yours is a sure-fire way of scuppering the whole idea of a criminal court.
Auf der anderen Seite wollen wir aber auch - und da stimme ich wieder mit Ihnen überein - keinen Strafgerichtshof, der nur ein Alibi in den Händen der großen Mächte ist.	On the other hand - and here I do agree with you - we do not want a criminal court to be no more than a rubber stamp in the hands of the major powers.
Ich bedaure es außerordentlich, dass sowohl in den USA als auch in China als auch in Russland und anderen Staaten die Kräfte immer stärker werden, die diesen Strafgerichtshof, wenn sie ihn nicht ganz verhindern wollen oder können, zu einem Alibi degradieren wollen.	I am really sorry that the forces that, even if they are not willing or able to prevent this court completely, want to downgrade it to some sort of rubberstamp are gaining ground in the USA and China and Russia and other countries.
Wir als Europäische Union gehen einen klaren Weg des Rechts. Ich glaube, dass dieser Weg in einer guten und wichtigen Tradition steht.	We in the European Union are going the way of the law and I think that this forms part of a good and important tradition.
Hier in Straßburg ist der Europarat als Menschenrechtsgemeinschaft vor über 50 Jahren entstanden.	The Council of Europe was founded as a human rights community here in Strasbourg over 50 years ago.
Hier in Straßburg wurde die Europäische Menschenrechtskonvention verabschiedet und der Menschenrechtsgerichtshof geschaffen.	The Human Rights Convention was adopted and the Court of Human Rights was created here in Strasbourg.
Hier in Straßburg sitzt seit 50 Jahren unser Europäisches Parlament als Stimme der Völker, als Stimme der europäischen Rechtsgemeinschaft. Wir haben ganz bewusst, weil wir diese Rechtsgemeinschaft auf den ganzen Kontinent ausdehnen wollen, an die Spitze des historischen Erweiterungsprozesses, der nunmehr seiner Krönung entgegengeht, die Idee der Kopenhagener Kriterien gestellt - Demokratie und Rechtsstaatlichkeit.	For the last 50 years, the European Parliament has sat here in Strasbourg as the voice of the people, as the voice of the European rule of law and because we want to extend this rule of law to the whole continent, we quite deliberately set the idea of the Copenhagen criteria, democracy and the rule of the law, at the spearhead of the historic enlargement process, which is now approaching its culmination.
Dies ist eine Konsequenz aus unserer Geschichte, die leider in besonderer Weise Völkermord, Vertreibung, Entrechtung und Unterdrückung von Minderheiten sowie Verbrechen gegen die Menschlichkeit gekannt hat.	This is a consequence of our history, which has, unfortunately, seen its own share of genocide, expulsion, disenfranchisement, suppressed minorities and crimes against humanity.
Wir haben kein Recht, gegenüber der übrigen Welt als Oberlehrer aufzutreten, wie wir das manchmal tun, wenn wir unseren Charakter als Rechtsgemeinschaft nicht selbst ernst nehmen.	We have no right to play teacher to the rest of the world, as we sometimes do, unless we take our own rule of law seriously.
Das bedeutet nicht nur Rechtsgemeinschaft im Inneren, sondern das bedeutet, dass wir weltweit der starke Partner anderer sein müssen, wenn es um eine weltweite Rechtsgemeinschaft geht.	That does not just mean respecting the rule of law internally, it also means being the strong partner for others throughout the world, when it comes to the worldwide rule of law.
Der Strafgerichtshof ist genauso wie unser Gründungsvertrag in Rom entstanden, und die Idee Rom ist ja auch in besonderer Weise mit dem Begriff des Rechts verbunden.	The criminal court, like our founding treaty, was born in Rome and the idea of Rome is somehow bound up with the concept of law.
