Frau Präsidentin, Herr Ratspräsident Orbán! Sie haben zwei schwierige Aufgaben.	Madam President, Mr Orbán, you have two difficult tasks ahead of you.
Die erste Aufgabe ist, acht Jahre sozialistische Misswirtschaft zu überwinden und Ungarn die politische und wirtschaftliche Dynamik und Stabilität zurückzugeben und die Verschuldung zurückzudrängen.	The first involves overcoming eight years of socialist maladministration, bringing political and economic dynamism and stability back to Hungary and reducing debt levels.
Dafür haben Ihnen die Wähler einen klaren Auftrag gegeben.	The electorate has given you a clear mandate to do this.
Zweite Aufgabe: Europa in einer Zeit schwieriger Rahmenbedingungen als Präsident zu führen und alles zu tun, die Wirtschafts- und Finanzkrise zu überwinden.	Your second task is to lead Europe in your role as President-in-Office of the Council during these difficult times and to do everything in your power to resolve the economic and financial crisis.
Das Parlament und unsere Fraktion werden Sie dabei tatkräftig unterstützen.	You will have the active support of Parliament and of my group.
Wir freuen uns, dass Sie heute keinen Wunschkatalog vorgelegt haben, wie das bei sozialistischen Ratspräsidenten in den letzten Jahren der Fall war, sondern klare Prioritäten gesetzt haben.	We are pleased that you have not presented us with a wish list today, as many socialist Presidents-in-Office of the Council have done in recent years, but instead have made your priorities clear.
Drittens: Wir sind froh, dass Ungarn seit 2004 Mitglied der Europäischen Union ist und wir freuen uns, dass die Regierungspartei Mitglied der Europäischen Volkspartei ist.	Thirdly, we are pleased that Hungary has been a member of the European Union since 2004 and that the governing party in Hungary belongs to the Group of the European People's Party (Christian Democrats).
Die Kampagne im Zusammenhang mit dem neuen Mediengesetz mit Forderungen nach Stimmrechtentzug nach Artikel 7, die hier im Parlament und nicht von Ihnen, sondern von den Wahlverlierern in Ungarn aus dem Jahre 2010 angezettelt wurde - da haben sie gesessen und hier vorne sitzen sie noch, die, die nicht gleich zur Presse geeilt sind -, ist heuchlerisch und unerträglich.	The campaign relating to the new media law, which involves calls for the withdrawal of the right to vote under Article 7, and which was initiated here in Parliament and not by you, but by the parties that lost the 2010 elections in Hungary, they sat here and they are still sitting here now at the front, at least those who have not gone running straight to the press, is hypocritical and intolerable.
Denn die Mediengesetze von Ungarn - die Prüfung ergibt das - sind vergleichbar mit vielen anderen.	The assessment will show that the media legislation in Hungary is no different to that in many other states.
Herrn Schulz, der die Zurückziehung gefordert hat, kann ich nur sagen, er hat das offensichtlich von einer rot-grünen Landesregierung in Nordrhein-Westfalen mehrheitlich beschlossene Gesetz nicht gelesen.	In the case of Mr Schulz, who called for the law to be withdrawn, I can only say that he obviously has not read the law which was voted in by a majority under the socialist and green state government in North Rhine-Westphalia.
Dort steht eine Medienbehörde drin, dort stehen Sanktionen drin, dort steht die Meinungsvielfalt drin.	This includes provisions for the establishment of a media authority, for sanctions and for the diversity of opinions.
Genau das, was Sie verwirklichen.	This is exactly what you are doing.
Diese Heuchelei darf hier keine Mehrheiten bekommen!	This hypocritical approach must not gain a majority in this House.
(Beifall)	(Applause)
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der "blauen Karte" zu beantworten (Artikel 149 Absatz 8 GO).)	(The speaker agreed to take a blue card question under Rule 149(8))
