Frau Präsidentin! Das ist keine mündliche Änderung.	Madam President, that is not an oral amendment.
Der erste Teil ist eine mündliche Änderung, aber der zweite Teil ist ein Antrag auf getrennte Abstimmung, den kann ich nicht akzeptieren, weil er nicht rechtzeitig vorgelegt wurde.	The first part is an oral amendment, but the second part is a motion for a split vote, which I cannot accept, because it has not been tabled in time.
Den ersten Teil kann ich akzeptieren und ihm zustimmen, aber dann müssen wir über die gesamte Ziffer, so wie sie ist, abstimmen.	I can accept and support the first part, but we shall then have to vote on the whole paragraph as it stands.
(Da sich mehr als zwölf Abgeordnete von ihren Plätzen erhoben haben, wird die mündliche Änderung nicht berücksichtigt.) (Das Parlament nimmt den Entschließungsantrag an.)	(Since more than 12 Members of Parliament stood up, the oral amendment was not retained) (Parliament adopted the resolution)
Bericht (A5-0339/2000) von Frau Lalumière im Namen des Ausschusses für auswärtige Angelegenheiten, Menschenrechte, gemeinsame Sicherheit und Verteidigungspolitik über die Verwirklichung einer gemeinsamen europäischen Sicherheits- und Verteidigungspolitik der Europäischen Union nach Köln und Helsinki (2000/2005(INI))	Report (A5-0339/2000) by Mrs Lalumière, on behalf of the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy, on the establishment of a common European security and defence policy after Cologne and Helsinki [2000/2005(INI)]
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Entschließungsantrag (B5-0892/2000) zu Afghanistan	Motion for a resolution (B5-0892/2000) on Afghanistan
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0308/2000) von Frau Theorin im Namen des Ausschusses für die Rechte der Frau und Chancengleichheit über die Beteiligung von Frauen an der friedlichen Beilegung von Konflikten (2000/2025(INI))	Report (A5-0308/2000) by Mrs Theorin, on behalf of the Committee on Women' s Rights and Equal Opportunities, on participation of women in peaceful conflict resolution [2000/2025(INI)]
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0301/2000) von Frau Smet im Namen des Ausschusses für die Rechte der Frau und Chancengleichheit über eine gesetzliche Regelung der Hausarbeit in der Schattenwirtschaft (2000/2021(INI))(Das Parlament nimmt den Entschließungsantrag an.)	Report (A5-0301/2000) by Mrs Smet, on behalf of the Committee on Women' s Rights and Equal Opportunities, on regulating domestic help in the informal sector [2000/2021(INI)](Parliament adopted the resolution)
Bericht (A5-0327/2000) von Frau Guy-Quint im Namen des Haushaltsausschusses über das Weißbuch über die Reform der Kommission (die den Haushaltsausschuss berührenden Aspekte) (KOM(00)0200 - C5-044/2000 - 2000/2215(COS))	Report (A5-0327/2000) by Mrs Guy-Quint, on behalf of the Committee on Budgets, on the White Paper on reforming the Commission (aspects concerning the Committee on Budgets) [COM(00)0200 - C5-044/2000 - 2000/2215(COS)]
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0329/2000) von Herrn Pomés Ruiz im Namen des Ausschusses für Haushaltskontrolle über das Weißbuch der Kommission zur Reform der Kommission - Zuständigkeiten des Ausschusses für Haushaltskontrolle (KOM(2000)0200 - C5-0445/2000 - 2000/2215(COS))	Report (A5-0329/2000) by Mr Pomés Ruiz, on behalf of the Committee on Budgetary Control, on the White Paper on reforming the Commission (aspects concerning the Committee on Budgetary Control) [COM(2000)0200 - C5-0445/2000 - 2000/2215(COS)]
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0326/2000) von Herrn Harbour im Namen des Ausschusses für Recht und Binnenmarkt über die Reform der Kommission - Ein Weißbuch (Aspekte betreffend den Ausschuss für Recht und Binnenmarkt) (KOM(2000)0200 - C5-0446/2000 - 2000/2216(COS))	Report (A5-0326/2000) by Mr Harbour, on behalf of the Committee on Legal Affairs and the Internal Market, on the White Paper on reforming the Commission (aspects concerning the Committee on Legal Affairs and the Internal Market) [COM(2000)0200 - C5-0446/2000 - 2000/2216(COS)]
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0328/2000) von Herrn Lamassoure im Namen des Ausschusses für konstitutionelle Fragen über das Weißbuch über die Reform der Kommission - die Aspekte, die den Ausschuss für konstitutionelle Fragen betreffen (KOM(2000)200 - C5-0448/2000 - 2000/2218(COS))	Report (A5-0328/2000) by Mr Lamassoure, on behalf of the Committee on Constitutional Affairs, on the White Paper on reforming the Commission (aspects concerning the Committee on Constitutional Affairs) [COM(2000)200 - C5-0448/2000 - 2000/2218(COS)]
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0337/2000) von Frau Sauquillo Pérez del Arco im Namen des Ausschusses für Entwicklung und Zusammenarbeit über die Beziehungen der Europäischen Union zu den Entwicklungsländern und die Auswirkungen der Reform der Kommission auf diese Beziehungen (2000/2051(INI))	Report (A5-0337/2000) by Mrs Sauquillo Pérez del Arco, on behalf of the Committee on Development and Cooperation, on the effectiveness of relations between the European Union and the developing countries and the impact of reform of the Commission on these relations [2000/2051(INI)]
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
