, Verfasser der Stellungnahme des mitberatenden Ausschusses für Wirtschaft und Währung.	, draftsman of the opinion of the Committee on Economic and Monetary Affairs.
Herr Präsident, meine Damen und Herren, Herr Kommissar, lieber Kollege Bushill-Matthews! Besten Dank für diesen hervorragenden Bericht.	Mr President, Commissioner, ladies and gentlemen, many thanks, Mr Bushill-Matthews, for this excellent report.
Ich möchte kurz die Stellungnahme des Ausschusses für Wirtschaft und Währung vortragen, und ich möchte mich nicht lange in Erläuterungen darüber ergehen, dass der Mittelstand das wirtschaftliche Rückgrad unserer Gesellschaft in Europa ist.	I would like to present briefly the opinion of the Committee on Economic and Monetary Affairs, and I do not want to devote myself to long explanations about why small and medium-sized enterprises are the economic backbone of European society.
Die Finanzierung für den Mittelstand wird immer schwieriger, und wenn wir uns die Vereinbarungen ansehen, die über Basel II kommen werden, dann können wir davon ausgehen, dass diese Finanzierung noch schwieriger wird.	SMEs find access to finance ever more difficult, and a look at the agreements that Basle II will bring with it leads us to assume that this finance will become even more problematic.
Neue Finanzierungsmethoden, wie venture capital, Börsengänge oder all die anderen Dinge, die zur Zeit erprobt oder genannt werden, sind sicherlich ein gangbarer Weg, über den wir in Europa nachdenken müssen, aber er ist sicherlich nicht für alle mittelständischen Betriebe gleichermaßen zu nutzen.	New methods of finance, such as venture capital, initial public offers, or all the other things currently being tried out or referred to, certainly represent a feasible way ahead, and one to which we in Europe will have to give thought, but not one to be used similarly by all SMEs.
Von daher bin ich froh, dass sich die Kommission dieses Themas für Europa annimmt.	It is for that reason that I am glad that the Commission is taking up this issue on Europe's behalf.
Ich möchte aber aus der Praxis heraus - ich bin mit vielen Mittelständlern im Gespräch - einen Hauptwunsch an die Kommission richten, nämlich dass die zukünftige Förderung des Mittelstandes auch mittelstandstauglich ist.	I would like, on the basis of my practical experience and of my discussions with many owners of SMEs, to tell the Commission of my principal concern, which is that future promotion of SMEs should also be tailored to their needs.
Viele Mittelständler wissen überhaupt nicht - oder für sie ist es sehr schwer herauszufinden -, wo überhaupt eine Förderung auf europäischer Ebene stattfindet.	Many owners of SMEs have no idea, or it is very hard for them to find out, where any kind of support at a European level is to be had.
Es heißt, sie müsse transparent sein.	Support is meant to be transparent.
Dann höre ich sehr oft Klagen über die Komplexität der Förderung auf europäischer Ebene, dass es sehr schwer sei, die Anforderungen an die Mittelständler zu erfüllen, und dass es dadurch oft sehr teuer würde.	Then I often hear complaints that support at a European level is very complicated, that compliance with the requirements imposed on SMEs is very difficult and that this often made the whole thing very expensive.
Drittens sollte all dies auch rechtzeitig berechenbar sein.	Thirdly, all this should also be calculable in good time.
Sehr lange Antragsverfahren über viele Jahre hinweg führen dazu, dass den Mittelständlern schlicht und ergreifend die Luft ausgeht und sie nicht bis zum Schluss durchhalten.	Very lengthy application procedures stretched over many years result in small entrepreneurs quite simply running out of breath and not making it through to the final stages of the process.
Von daher sollten wir von der Kommissionsseite her alles dafür tun, dass Mittelstandsförderung künftig auch den Antragstellern der Zielgruppe gerecht wird, also den Mittelständlern an sich.	This means that everything possible needs to be done by the Commission to ensure that support for SMEs meets the needs of applicants from the target group, that is, the owners of the enterprises themselves.
Aber auf europäischer Ebene können wir den Mittelstand nicht nur dadurch entlasten oder ihm gerecht werden, indem wir ihm eine Finanzierung anbieten, sondern wir sollten auch darüber nachdenken, wie wir die Belastung des Mittelstandes zurücknehmen, indem wir zusätzliche Bürokratie, zusätzliche Vorschriften vermeiden, die den Mittelstand immer mehr erdrücken.	At a European level, though, we can ease the burden on SMEs or do justice to them not only by offering finance, but we should also consider how we might remove the burden from them by avoiding additional bureaucracy and regulation, which weigh down on them more and more.
Ich glaube, es wäre sehr wohl angebracht, in der Generaldirektion Unternehmen ein Screening einzurichten, wodurch hier rechtzeitig ein Veto eingelegt werden kann, um für den Mittelstand entsprechend gute Vorschriften durchzulassen und schlechte außen vor zu lassen.	I believe it would be highly appropriate to put in place a screening procedure in the Enterprise Directorate-General which would make it possible to lodge a veto in good time, permitting the passage of regulations beneficial and appropriate to SMEs and excluding those detrimental to them.
