Frau Präsidentin, Herr Ratspräsident! Die Bilder von Göteborg waren erschreckend.	Madam President, Mr President-in-Office of the Council, the images from Göteborg were alarming.
Vandalismus, blinde Zerstörungswut, kriminelle Gewalt - all dies gehört verurteilt, und es wird von meiner Fraktion mit aller Entschiedenheit verurteilt.	Vandalism, a blind destructive frenzy and criminal violence, all of which should be condemned, and my Group most certainly does condemn them.
So etwas darf sich nicht wiederholen!	We must never allow anything like this to happen again.
Menschen, die ihre Meinung kundtun wollen, die ihr Demonstrationsrecht wahrnehmen oder auch gegen politische Entscheidungen protestieren wollen, müssen dies auch künftig uneingeschränkt friedlich tun können, wie dies die ca. 20.000 friedlichen Demonstrantinnen und Demonstranten in Göteborg auch getan haben.	But people who want to make their views known, who want to exercise their right to demonstrate or who want to protest against political decisions should still be able to do so peacefully without any restrictions in future, just as some 20 000 peaceful demonstrators also did in Göteborg.
Interessierte Bürgerinnen und Bürger werden auch in Zukunft europäische Gipfeltreffen als politische Gelegenheit ansehen, ihre Vorstellungen und Erwartungen zum Ausdruck zu bringen, und das ist gut, denn beim demokratischen Aufbau Europas müssen die Anliegen der Bürgerinnen und Bürger stärker berücksichtigt werden.	Committed citizens will continue to see European summits as a political opportunity to express their ideas and expectations, and that is a good thing, because we need to take the public's views into account more when building a democratic Europe.
Die Politik, die Regierungen dürfen nicht länger über die Köpfe und Herzen der Bürgerinnen und Bürger hinweggehen.	Politicians and governments should no longer be allowed to sweep over the heads of the public and ignore their sentiments.
Die schwedische Ratspräsidentschaft hat sich gerade hier sehr bemüht.	The Swedish presidency in particular has made great efforts in this direction.
Sie hat sich bemüht, das Demokratiedefizit in Europa als Problem anzupacken, und das ist in der Tat anzuerkennen.	It has made an effort to tackle the problem of the democratic deficit in Europe, and we really must recognise that.
Nur, die Resultate sind doch recht mager.	Unfortunately, the results have been somewhat disappointing.
Allerdings ist dies nicht allein der schwedischen Regierung anzulasten. Hier sind alle Regierungen gefragt.	However, that cannot be laid at the door of the Swedish government alone - all governments have to be held to account here.
Was wir mit Blick auf die öffentliche Debatte über die Zukunft Europas brauchen, ist eine breite Debatte.	When it comes to a public debate on the future of Europe, that debate should be a wide-ranging one.
Sie muss zielgerichtet und ergebnisorientiert geführt werden, und, Frau Präsidentin, Herr Ratspräsident, Sie wissen, wir in diesem Parlament wollen einen Konvent, der die nächste Regierungskonferenz vorbereitet.	It needs to be purposeful and result-oriented. Madam President, Mr President-in-Office, you know that we in this House want a convention to prepare the next intergovernmental conference.
Sie haben hier Vorarbeiten geleistet, und es wird nun Sache der belgischen Präsidentschaft sein, diesen Konvent bis Laeken auf den Weg zu bringen.	We have done some preliminary work here, and it will now be the job of the Belgian presidency to initiate this convention before Laeken.
Ich begrüße sehr, dass auch hier schon Vorschläge auf dem Tisch liegen, die Tagesordnung auszuweiten und weitere Themen in der Debatte über die Zukunft Europas anzusprechen.	I very much welcome the fact that there are already proposals on the table to extend the agenda and to address further issues in the debate on the future of Europe.
