Herr Präsident! Zunächst muss ich mich entschuldigen.	Mr President, I would first like to apologise.
Es hat in der Übersetzung geheißen: die Fragen 1 bis 3. Deswegen habe ich mich gemeldet.	The interpretation referred to Questions Nos 1 to 3, which is why I asked to speak.
Es war also ein Übersetzungsfehler.	So the reason was an error in the interpreting.
Ich bitte um Entschuldigung.	Please accept my apology.
Aber jetzt meine Frage an den Herrn Minister, dem ich für seine sehr konkrete und gute Antwort danke.	But I would now like to put my question to the President-in-Office, whom I wish to thank for his very concrete and helpful reply.
Es sind zwei kurze Zusatzfragen.	I have two short supplementary questions.
Erstens: Was halten Sie von der Idee, einfach einmal eine Arbeitsgruppe einzusetzen, die Optionen für die Zukunft des Kosovo überlegt?	The first is to ask what you think of the idea of simply setting up a working group to consider the options for the future of Kosovo.
Damit würden wir sozusagen präventiv tätig und würden nicht wieder erst dann reagieren, wenn es zu spät ist.	That would give us a preventive role and stop us from once again reacting only when it was too late.
Zweitens: In der neuen Verfassung von Serbien-Montenegro ist, soweit ich weiß, in der Präambel der Anspruch Serbiens festgelegt, dass das Kosovo in Zukunft Teil des jugoslawischen Teilstaates Serbien ist.	The second question is this: as far as I am aware, the preamble of the new constitution of Serbia and Montenegro includes a claim by Serbia that Kosovo should in future be a part of the Yugoslavian sub-state of Serbia.
Ich möchte Sie fragen, ob die EU oder die UNO dagegen protestiert hat.	I would like to ask whether the European Union or the United Nations have protested against this.
Denn das wäre ja ein Präjudiz; das wäre ein Verstoß gegen das Offenhalten des künftigen Status des Kosovo.	I ask because this would prejudice the chances of keeping open the future status of Kosovo.
