Herr Präsident, meine sehr verehrten Damen und Herren!	Mr President, ladies and gentlemen, there are, primarily, two things at issue here.
Es geht vor allem um zwei Dinge: Es geht einerseits darum, dass die Vereinigten Staaten von Amerika und Europa den Reichtum, den sie geschaffen haben, auch dazu verwenden, den Ärmeren in dieser Welt zu helfen, zu ähnlichem Wohlstand zu gelangen.	One is the need for the United States of America, and Europe, to use the wealth they have created to help those less well-off to achieve similar prosperity.
Ich glaube, dass gerade die britische Präsidentschaft hier in nächster Zeit einiges vor hat, und dass wir dabei auch helfen können – selbst wenn wir in dem einen oder anderen Punkt unterschiedliche Auffassungen vertreten.	I believe that the British Presidency is planning to do something about this shortly, and we can play our part in it, even though we may disagree about one thing or another.
Es geht auch darum, dass wir auf die Demokratie und Freiheit, die wir in unseren Ländern entwickelt haben, nicht nur stolz sind, sondern diese Instrumente der Entwicklung auch anderen anbieten.	We also need, not only to take pride in the democracy and freedom that we have established in our own countries, but also to offer them to others as instruments of development.
Ich sage bewusst nicht „aufzwingen“, sondern „anbieten“, wie wir das in Europa selbst, in Osteuropa und in den Balkanländern, getan haben – ich sage das auch deshalb, weil ich höre, dass eine große Gruppe mazedonischer Besucherinnen und Besucher anwesend ist – und wie wir das sicherlich auch in der Region des Nahen Ostens tun wollen.	I quite deliberately say ‘offer’ rather than ‘impose’, for offering is what we have done in Europe itself, in Eastern Europe and in the Balkans – which I mention because I have just been told that a large party of visitors from Macedonia is present – and it is surely what we intend to do in the Middle East as well.
Der Nahe Osten ist ja für uns eine sehr prekäre und wichtige Region.	We regard the Middle East as a very unstable region and a very important one.
Wir, die Amerikaner und Europäer, stimmen darin überein, dass Demokratie und Entwicklung – vor allem die freie Entwicklung – in diesen Ländern für alle Bürgerinnen und Bürger notwendig und friedensstiftend ist.	We, Americans and Europeans alike, agree that everyone who lives in these countries needs democracy and development – free development in particular – as a means towards peace.
Daher ist die Zusammenarbeit zwischen Europa und den USA besonders wichtig.	This makes it particularly important that Europe and the USA should cooperate with one another.
Ich betone allerdings nochmals: Das Konzept muss sein, dass die Menschen in ihren Ländern diese Freiheit und Demokratie selbst entwickeln und nicht das Gefühl haben, dass sie ihnen aufgezwungen wird.	Let me reiterate, though, that the approach to be adopted must be that of enabling people to establish freedom and democracy in their own countries, without feeling that these have been imposed upon them.
Wichtig ist auch, dass wir gemeinsam verhindern – siehe zum Beispiel im Iran –, dass neue Gefahren und neue Risiken entstehen.	It is also important – and here I would cite Iran as an example – that we join together in preventing new dangers and new risks from rearing their heads.
Aber auch hier befürworte ich eindeutig den Weg der Verhandlungen und nicht den der Drohungen. Ich hoffe, dass wir auf dem Verhandlungswege gemeinsam zu einem Erfolg kommen.	Here, too, though, I would strongly advocate doing this, not by way of threats, but through negotiations, thereby, I hope, arriving at something we can all regard as a success.
