Herr Präsident! Zuerst an meinen Kollegen Lambsdorff: Ich muss Ihren Vorwurf zurückweisen!	Mr President, first of all, I would like to say to Mr Lambsdorff that I reject your accusation.
Sie haben gemeint, die Grünen würden Erweiterung um jeden Preis wollen.	You said that the Group of the Greens/European Free Alliance wanted enlargement at any price.
Es ist für uns ganz klar, dass wir für Erweiterung stehen, auch was die Türkei betrifft, den Balkan sowieso, aber mit Erfüllung aller Kriterien.	It is quite clear to us that we are in favour of enlargement, including Turkey and the Balkans, of course, but only if all the criteria are met.
Lassen Sie mich zur Türkei sagen: Bei allen heute schon erwähnten Problemen sehe ich bei der türkischen Regierung doch den Willen weiterzugehen.	On the subject of Turkey, I would like to say that, despite all the problems that have been referred to today, I believe that the Turkish Government has the will to continue.
Zum Beispiel hat das Innenministerium jetzt das Protokoll annulliert, nach dem das Militär bisher eigenständig in Sicherheitsfragen eingreifen konnte.	For example, the Ministry of Interior has annulled the protocol which, until now, has allowed the armed forces to intervene independently in security issues.
Das ist ganz wichtig.	This is very important.
Ich hoffe, dass es von einer Mehrheit dieses Hauses Unterstützung für unseren Änderungsantrag Nr. 10 geben wird, in dem es darum geht, auch das Ziel des Beitritts im Auge zu behalten.	I hope that a majority of this House will support our Amendment 10 which concerns keeping track of the goal of accession.
Denn nur so ist auch die EU glaubwürdig in Bezug auf das, was sie einmal versprochen hat - das Ziel des Beitritts, wenn alle Kriterien erfüllt sind.	This is the only way in which the EU can maintain its credibility with regard to the promises it has made - the goal of accession, with all the criteria being met.
Zu Mazedonien: Hier gibt es - und auch das erkenne ich an und bin froh darüber - große Fortschritte in vielen Bereichen.	On the question of Macedonia, there has been a great deal of progress in many areas. I recognise this and I am pleased about it.
Aber zu einem Punkt, den auch Kollege Cashman zuerst angesprochen hat: Es geht nicht an, dass eine Regierung hergeht und Antidiskriminierungsregelungen machen will und die sexuelle Orientierung herausnimmt.	However, with reference to one point which Mr Cashman has already mentioned, it is not right for a government to introduce anti-discrimination legislation that does not include sexual orientation.
Das ist europäisches Recht.	That is European law.
Menschenrechte sind unverhandelbar, und ich hoffe, dass eine Mehrheit auch diesen gemeinsamen europäischen Menschenrechten bei unserem Änderungsantrag zustimmt.	Human rights are not negotiable and I hope that a majority of this House will also vote in favour of these common European human rights in our amendment.
