Herr Präsident, Herr Ratspräsident! Auch ich möchte zum Thema Kosovo sprechen.	Mr President, Mr President-in-Office of the Council, I too want to speak on the subject of Kosovo.
Ich möchte zunächst sagen, daß auch ich und meine Fraktion Ihnen, Herr Ratspräsident, zu Ihrer Rede durchaus gratulieren können.	Let me say first of all that I and my group can also congratulate you warmly on your statement.
Ich glaube, daß die von Ihnen angesprochenen Themen, gerade auch die außenpolitischen Punkte, jene Punkte und Akzente waren, die wir von einer deutschen Präsidentschaft mit Fug und Recht erwarten und auch erhoffen können.	I believe that the subjects you addressed, and especially the foreign policy aspects, were precisely those points and aspects we rightly expect and hope a German Presidency to address.
Zur Frage Kosovo haben Sie sehr wenig Konkretes gesagt.	You said little in concrete terms about Kosovo.
Ich möchte Sie, Herr Ratspräsident, vielleicht zu noch ein paar zusätzlichen Bemerkungen ermuntern, um Ihre Position klarzustellen, insbesondere nach dem, was die von mir sehr geschätzte Frau Pack jetzt gesagt hat, weil ich hier inhaltlich nicht ihrer Meinung bin.	I would like to prompt you, Mr President-in-Office of the Council, to perhaps make a few more comments to clarify your position, especially after what Mrs Pack, whom I hold in very high esteem, has just said, because in this case I do not agree with the substance of it.
Ich glaube, daß es dabei bleiben muß, daß wir nur eine Regelung im Kosovo haben können, die eine friedliche Regelung ist und die letztendlich - so schwierig das ist - im Konsens hergestellt wird.	I believe that we must adhere to the position that we can only have a settlement in Kosovo that is a peaceful settlement and that is in the end reached through consensus - however difficult that may be.
Wir werden uns darauf einstellen müssen, daß es Jahre dauern wird - es war ein großer Fehler, in Bosnien zu glauben, dies sei in wenigen Monaten zu bewerkstelligen -, hier einerseits den Serben zu sagen, daß ihre Agressionen nicht tolerierbar sind, aber auch der UCK zu sagen, daß ihre Aktionen, die sich ja auch gegen die Albaner und auch gegen Herrn Rugova richten, nicht hingenommen werden können.	We will have to be prepared for it to take years - it was a serious mistake to believe it could be achieved in Bosnia in just a few months. We will have to tell the Serbs that their aggression cannot be tolerated but also tell the KLA that their actions, which are indeed also directed against the Albanians and against Mr Rugova, cannot be accepted.
Wir haben hier in diesem Saal Rugova gefeiert, doch auf der anderen Seite - und das ist ein Widerspruch - unterstützen wir verbal die UCK in ihren Aktionen.	We have applauded Mr Rugova here in this Chamber but on the other hand - and this is a contradiction - we verbally support the actions of the KLA.
Das ist nicht tolerierbar und nicht akzeptierbar, und dazu soll die Präsidentschaft sich klar äußern.	That can neither be tolerated nor accepted and the presidency must make its position clear.
Zweitens: Herr Ratspräsident, Sie haben in vielen Interviews klar und deutlich erklärt, daß Organisationen wie die OSZE auch für Sie nicht irgendetwas Beiläufiges sind, etwas, was man zur Seite schieben kann.	Secondly, Mr President-in-Office of the Council, you have stated quite unequivocally in many interviews that you do not regard organisations such as the OSCE as merely incidental, as something that can be pushed aside.
Jeder von uns kennt die Schwächen der OSZE, aber es geht doch darum, diese Organisation zu stärken und nicht darum, sie aufzugeben.	We are all aware of the weaknesses of the OSCE, but after all what we must do is strengthen this organisation rather than abandon it.
Ich bin daher nicht der Meinung, daß sie abgezogen werden soll.	So I do not believe the OSCE mission should be withdrawn.
Ich bin allerdings der Meinung, daß sie des Schutzes bedarf und daß man alles daran setzen muß, daß die Truppen, die in der Region sind, insbesondere in Mazedonien bzw. Fyrom, gestärkt werden und so auch die Möglichkeit haben, die OSZE zu schützen.	I do believe, however, that it needs protecting and that we must do our utmost to strengthen the troops who are in the region, especially in Macedonia, in FYROM, which will be a means of protecting the OSCE.
Es wäre eine Katastrophe, würde die OSZE dort unter anderem deswegen scheitern, weil sie eben nicht genug militärischen Schutz erhält.	It would be a disaster if the OSCE mission out there fails partly because it is not being given adequate military protection.
Kosovo kann ein Beispiel sein, wie EU, NATO und OSZE zusammenarbeiten können und eine friedliche Lösung erreicht werden kann.	Kosovo can serve as an example of cooperation between the EU, NATO and the OSCE with a view to finding a peaceful solution.
In einem dritten Punkt, Herr Ratspräsident, möchte ich Sie ebenfalls ganz klar unterstützen.	There is a third point where I also definitely support you, Mr President-in-Office of the Council.
Sie haben von den Gefahren gesprochen, denen der Multilateralismus durch eine Tendenz in Richtung Unilateralismus ausgesetzt ist.	You spoke of the dangerous trend away from multilateralism towards unilateralism.
Ich gebe zu - und ich habe das auch einmal gegenüber dem Kosovo gesagt -, daß es Ausnahmesituationen geben mag, in denen man auch eine andere Entscheidung treffen muß.	I admit, as I once said about Kosovo too, that there can be exceptional situations where a different decision needs to be taken.
Doch die Tendenz mancher in Amerika, die Ausnahme zur Regel zu machen und die Regel zur Ausnahme, halte ich für ganz gefährlich.	But I regard the trend in some quarters in America of turning the exception into the rule and the rule into the exception as very dangerous indeed.
Ein letztes Wort noch zu dem, was Sie zu Rußland gesagt haben.	A final word in connection with what you said about Russia.
Es wäre eine große Aufgabe der deutschen Präsidentschaft, Rußland wieder als kooperationsfähigen und -willigen Partner in die Partnerschaft mit der EU einzubinden und auch wieder stärker in die NATO einzubeziehen, auch nach der jetzigen Krisensituation.	One great task for the German Presidency would be to bring Russia back into partnership with the EU, as a partner willing and able to cooperate, and also to involve it more closely in NATO again, even after the current crisis.
Wir brauchen Rußland als Partner, da gebe ich Ihnen recht.	We need Russia as a partner, I agree with you there.
Wir können uns jedoch nicht darauf verlassen und uns dem Wohl und Wehe der Entscheidungen Rußlands in einzelnen Fällen ausliefern, aber daß es unser Ziel ist, Rußland als tragfähigen Partner für eine neue Friedensordnung in Europa und darüber hinaus zu haben, muß ein wichtiges Anliegen der Ratpräsidentschaft sein.	But we cannot rely on that and expose ourselves to the vicissitudes of Russian decisions in individual cases. However, one important aim of the presidency of the Council must be to have Russia as a partner for a new peaceful order in Europe and beyond.
