– Meine Damen und Herren! Das Treffen des in Davos war ein voller Erfolg.	Ladies and gentlemen, the meeting of the World Economic Forum in Davos was a resounding success.
Die globale Elite aus Wirtschaft, Politik und Wissenschaft hat klargemacht, dass sie sich ihrer Verantwortung für die weltweiten Probleme voll bewusst ist, und dass sie bereit ist, zu handeln.	The global elite from the business, political and academic communities made it clear that they are fully aware of their responsibility for the problems in the world and that they are willing to act.
Bono, der Sänger der irischen Band U2, hat dies ganz pragmatisch ausgedrückt: Er sagte, wenn man Geld will, wenn man Hilfe will, muss man mit denen reden, die helfen können und Geld geben können.	Bono, the lead singer of the Irish band U2, summed this up very succinctly: if you want money and if you want help, he said, you must talk to those who can give money and provide help.
Deswegen ist das Treffen in Davos so wichtig und so gut: Es kommen dort eben genau diese Leute zusammen.	What makes the Davos meeting so important and so useful is that it brings these very people together.
Das Gleiche kann man nicht unbedingt vom Weltsozialforum sagen, und auch bei den Ergebnissen, kann man – glaube ich – sehr viel kritischer sein.	The same cannot necessarily be said of the World Social Forum, and the outcome of the latter, I believe, is also far more open to criticism.
Meine Damen und Herren! Die Kritiker hat es vielleicht überrascht, aber die Hauptthemen in Davos waren Afrika, die Probleme der weltweit sich vergrößernden Armut, die Frage, wie man die Globalisierung so gestalten kann, dass alle etwas davon haben und wie man es schaffen kann, dass es einen fairen Welthandel gibt.	It may have surprised the critics to learn that the main topics in Davos were Africa, problems relating to the worldwide growth of poverty, how to shape the globalisation process in such a way that everyone derives some benefit from it and how to bring about fair world trade.
Wir Liberalen sind davon überzeugt: Freihandel ist die beste Entwicklungshilfe.	We in the Group of the Alliance of Liberals and Democrats for Europe are convinced that free trade is the best development aid.
Freihandel ist das, was den Ländern, die sich entwickeln wollen, hilft, und Freihandel ist auch das, was die entwickelten Länder dazu anspornt, immer wettbewerbsfähiger zu werden.	Free trade is what helps countries that want to develop, and free trade is also what motivates developing countries to become increasingly competitive.
Hier sollte die EU Vorreiter werden.	The EU should lead the way here.
Sie sollte sich vor allem Freihandel auf die Agenda schreiben und das besonders in den Bereichen, wo es noch Handelsbarrieren gibt, nämlich in der Agrarpolitik.	In particular, it should put free trade on the agenda, especially in areas where trade barriers still exist, namely areas covered by its agricultural policy.
Wir Liberalen sind auch strikt gegen jedwede Einführung einer globalen Steuer auf Finanztransaktionen.	We in the Group of the Alliance of Liberals and Democrats for Europe are also vehemently opposed to the introduction of any global tax on financial transactions.
Wir helfen nicht denjenigen, die arm sind dabei reicher zu werden, indem wir uns selbst ärmer machen.	Making ourselves poorer in this way would not help the poor to become richer.
Es ist auch eine Illusion zu glauben, dass man Solidarität dadurch steigert, indem man neue Steuern einführt, also sozusagen denen eine Finanzstrafe auferlegt, die eigentlich helfen sollen.	It is also illusory to believe that solidarity is fostered by introducing new taxes, in other words by imposing what is tantamount to a financial penalty on those who are actually supposed to help.
Nein, das eigentliche Mittel, um Solidarität zu schaffen, ist ein weltweiter Bewusstseinswandel und eben die Bereitschaft, andere Hilfsmaßnahmen zu ergreifen.	No, the real way to create solidarity is through a worldwide change in people’s perceptions and, quite simply, through willingness to adopt other measures of assistance.
Wir unterstützen daher und halten es für sehr sinnvoll, dass das Thema Schuldenerlass eine so zentrale Rolle gespielt hat, und wir glauben, dass man jenen Ländern, die sich auf dem Weg hin zu einer Demokratisierung bewegen, und die sich dafür einsetzen, eine nachhaltige und auch freie Wirtschaft einzuführen, einen vollständigen Schuldenerlass ermöglichen sollte.	We therefore support the priority given to the issue of debt cancellation and find it an eminently sensible course of action, and we believe that those countries which are moving towards democratisation and which are committed to the introduction of sustainable and free economies should be eligible for full debt cancellation.
Langfristige Wirkung haben solche Hilfen aber nur dann, wenn sie nicht einmalige Aktionen bleiben.	Such forms of aid, however, will have no long-term impact if they are only one-off gestures.
Deswegen noch einmal: Freihandel ist das, was die Entwicklungsländer und auch die entwickelten Länder am meisten brauchen können und was uns weiterbringen wird.	For this reason, let me repeat that free trade is what both the developing and the developed countries need most and what will enable us to progress.
Wenn wir wollen, dass der Welthandel fairer wird, dann sollten wir vor allem darauf setzen, dass er freier wird.	If we want world trade to be fairer, our foremost aim should be to make it freer.
