Frau Präsidentin! Es ist gut, dass diese Debatte heute stattfindet.	Madam President, it is good that this debate is taking place here today.
Der Echelon-Ausschuss hat nach einem Jahr Arbeit Empfehlungen und Forderungen auf den Tisch gelegt.	After a year's work, the Echelon Committee tabled recommendations and requests.
Es ist nur gute parlamentarische Kontrolle, wenn wir nach einem Jahr nachfragen, was daraus geworden ist.	It is only good parliamentary control if we enquire, one year on, what has become of them.
Lassen Sie mich eine Vorbemerkung machen.	Allow me to make a preliminary remark.
Wenige Tage nach der Debatte, die wir letztes Jahr hatten, kam es am 11. September zu dem schrecklichen Anschlag in den Vereinigten Staaten von Amerika.	A few days after the debate that we held last year, there was the horrific attack of 11 September on the United States of America.
Darauf hat es zwei Reaktionen gegeben.	There were two reactions to this.
Die einen haben gesagt: Diese Abhörsysteme taugen nichts, wie man sieht, die müssen abgeschafft werden, die anderen wollten die Geheimdienste und ihr Tun zur öffentlichen Anbietung ausstellen.	Some said that this proved that the interception systems were useless and that they ought to be abolished, while others wanted to put the secret services and their activities out to public tender.
Beide Reaktionen sind falsch!	Both reactions are wrong!
Es war die Überzeugung der Mehrheit dieses Hauses, dass strategische Fernmeldekontrolle, wenn sie gesetzlich abgesichert ist und ordentlich kontrolliert wird, ein nützliches Instrument für Nachrichtendienste sein kann.	The majority of this House was convinced that strategic telecommunications controls could be a useful instrument for intelligence services, provided that legal safeguards and a proper system of checks and balances were in place.
Der 11.9. ändert aber nichts an unseren Forderungen, dass es klarer gesetzlicher Grundlagen bedarf, dass es einer parlamentarischen Kontrolle bedarf und dass die Vorschriften der europäischen Menschenrechtskonvention eingehalten werden müssen.	What happened on 11 September does not in any way change our demands for clear legal bases, for parliamentary control and for the provisions of the European Convention on Human Rights to be complied with.
Ich möchte aus der Palette unserer Forderungen im Wesentlichen die Aspekte herausgreifen, für deren Umsetzung die Kommission verantwortlich ist - also nichts im außenpolitischen Bereich, nichts im internationalen Bereich.	Of the range of demands that we made, I should like to highlight the essential aspects for whose implementation the Commission is responsible, and will not therefore mention anything in the field of external policy or at international level.
Die Kommission hat, wie Herr Kommissar Liikanen ausführte, Etliches im Bereich der IT-Sicherheit unternommen.	As Commissioner Liikanen stated, the Commission has done a considerable amount of work on IT security.
Wer dieses Detail untersucht, stellt fest, dass es sich um Aktionen handelt, die ohnehin wegen des e-commerce und der Förderung der IT-Industrie notwendig gewesen wären.	If you take a closer look you discover that these are initiatives that would have been necessary in any case because of e-commerce and of the need to support the IT industry.
Das Europäische Parlament hatte präzise Forderungen, die - jedenfalls meinem Eindruck nach, Herr Kommissar - nicht vollständig eingelöst wurden.	Parliament had made precise demands, which - at least this is my impression, Commissioner - have not been implemented in full.
Wir wollten zum einen, dass die Verschlüsselungssoftware auf der Basis von open source gefördert wird, damit man sicher weiß, was die Software tut.	Firstly, we wanted open source to be promoted as a basis for the encryption software so that we knew for sure what the software did.
Wir wollten, dass die Kommission zur Verbreitung von open source-Software beiträgt, damit wir sicher sein können, dass in den Netzwerken keine Hintertüren eingebaut sind.	We wanted the Commission to help to distribute the open-source software so that we could be sure that no backdoors were being incorporated into the networks.
Die Kommission tut da zu wenig.	The Commission is doing too little here.
Sie selbst benutzt im übrigen zu meinem Leidwesen auch keine open source-Software, das Europäische Parlament auch nicht.	Incidentally, the Commission itself, to my disappointment, is not using open-source software either, and neither is Parliament.
Was den Schutz von vertraulichen Informationen in der Kommission betrifft, mit dem wir uns ja auch beschäftigt haben, hat Herr Liikanen ausgeführt, dass sich da Etliches geändert hat.	As far as protecting confidential information in the Commission is concerned, which is something that we have of course also looked at, Mr Liikanen said that considerable changes had been made here.
Das ist auch gut so.	This is to be welcomed.
Als wir uns das in der Kommission das letzte Mal angesehen haben, hat man noch Verschlüsselfaxe benutzt, wobei ein Teil der Schlüssel in Großbritannien generiert wurde!	When we took a look at this in the Commission last time, they were still using encryption faxes, with some of the ciphers being generated in Great Britain!
Es wäre gut, Herr Kommissar, wenn die Kommission einigen Mitgliedern dieses Ausschusses von damals anbieten könnte, sich vor Ort vom jetzigen Stand der Sicherheit in der Kommission zu überzeugen.	It would be good, Commissioner, if the Commission could offer to convince a few Members of the old committee of its current security standards by inviting them to the Commission to see for themselves.
Mir ist klar, dass Sie in einer öffentlichen Debatte keine Details darlegen können, aber für uns wäre es hilfreich, noch ein bisschen genauer zu erfahren, was da eigentlich geschehen ist.	I understand that you cannot reveal any details in a public debate, but it would be helpful to us to know what has actually happened in this respect in a little more detail.
