Frau Präsidentin, Kolleginnen und Kollegen!	Madam President, ladies and gentlemen.
Herr Ratspräsident, Sie haben gesagt, die Union selbst müsse noch erweiterungsfähig werden.	Mr President-in-Office, you said that the Union itself has to become capable of enlargement.
Wir, das Europäische Parlament, werden alles dazu beitragen, damit die Agenda 2000 noch in dieser Wahlperiode beschlossen werden kann.	We, the European Parliament, will be doing everything we can to ensure that Agenda 2000 is adopted by the end of this legislature.
Aber ich bitte dann den Rat, auch zu bedenken, daß Fristen zu beachten sind und daß das Parlament die Gelegenheit haben muß, am Ende der ganzen Prozedur auch noch sein Wort dazu zu sagen.	However, let me ask the Council not to forget that there are deadlines to be observed, and that Parliament must have an opportunity to have its say at the end of the whole process.
Im Mai ist Schluß!	The final whistle will blow in May!
Sie haben gesagt, die deutsche Ratspräsidentschaft würde dann im März den Beschluß vorlegen.	You said that the German presidency would table the decision in March.
Na gut! Das ist aber auch die letzte Gelegenheit, damit das Parlament bis zum Mai zu einer Entscheidung kommen kann.	All well and good, but that is the last chance if Parliament is going to decide by May.
Darüber hinaus gibt es nichts mehr.	After that, time is up.
Das heißt - das sage ich jetzt einmal als Deutscher -, überlassen Sie den Deutschen nicht zuviel!	So, and I am saying this as a German, do not leave too much to the Germans!
Zweite Bemerkung: Nun wurde Ihnen ja durch Kohl und Chirac ein Sondergipfel beschert.	My second comment is that thanks to Kohl and Chirac you now have a extraordinary summit.
Es soll darüber geredet werden, daß die Union effizienter, handlungsfähiger, bürgernäher wird, daß die Kompetenzen besser abgegrenzt werden.	It will talk about making the Union more efficient, more able to act, bringing it closer to the people, and demarcating its powers more clearly.
Das liest sich ja nun wirklich wie eine Mängelliste Ihrer Arbeit in Amsterdam.	It really reads like a list of jobs not done in Amsterdam.
Das hätten Sie alles schon in Amsterdam machen können!	You should have been able to get all that done in Amsterdam!
(Beifall) Das haben Sie nicht gemacht.	(Applause) But you did not get it done.
Es ist ja gut, daß jetzt darüber geredet wird.	Well, it is good that we are talking about it now.
Aber mir fällt dazu Schillers Wallenstein ein, " Die Piccolomini" , erster Akt, erste Szene: " Spät kommt ihr, doch ihr kommt!"	I am reminded of Schiller's Wallenstein , ' The Piccolomini' , Act One, Scene One: ' You have arrived late, but you have arrived!'
Das ist ja immerhin etwas.	Well, that is something at any rate.
Wenn es gelingen sollte, daß durch die Diskussion auf dem Sondergipfel wenigstens die Arbeit des Rates verbessert wird, dann wäre das ja schon ein hervorragendes Ergebnis des Gipfels!	If the discussion at the extraordinary summit simply leads to some improvement in the Council's work, that alone would be an excellent outcome of the summit.
Drittens: Subsidiarität.	Thirdly, I will mention subsidiarity.
Subsidiarität, und da unterstreiche ich das, was Sie gesagt haben, heißt, die europäische Sache ernst nehmen.	I would like to stress that your own comment means that the European cause has to be taken seriously.
Subsidiarität heißt nicht weniger Europa, sondern es heißt mehr Europa dort, wo Europa wirklich etwas leisten kann.	Subsidiarity does not mean less Europe; it means more Europe, with Europe really achieving something.
Zwei Beispiele: Die Bürger erwarten, daß jetzt nach der Einführung des Euro Europa auch zu einer gemeinsamen Steuer-, Haushalts- und Wirtschaftspolitik kommt.	Let me give you two examples. Our citizens expect that with the introduction of the euro, Europe will now agree on a common fiscal, budgetary and economic policy.
Eine Art Wirtschaftsregierung brauchen wir.	We need a sort of economic government.
Aber dagegen sperrt sich ja nicht nur Bonn, sondern auch andere.	But it is not only Bonn that is balking at that, but others too.
Es reicht nicht, und es ist falsch, immer nur die Ohnmacht Europas auf dem Balkan zu beklagen, und gleichzeitig Europa mehr Macht zu verweigern.	It is not enough and it is wrong to constantly complain about Europe's impotence in the Balkans and at the same time to refuse to give Europe more power.
Das gilt auch für die Außenminister.	That applies to the foreign ministers as well.
Ich wünsche mir jedenfalls, daß die Regierungen nicht immer nur darüber reden, vor allen Dingen auf dem Sondergipfel nicht nur darüber reden, was Europa nicht darf, sondern daß sie darüber reden, was Europa tun muß!	Nevertheless, I wish that governments would stop talking about what Europe cannot do - especially at the extraordinary summit - and instead talk about what Europe should do!
Schließlich, Herr Ratspräsident: Es geht weniger darum, Europa gegen die Wiederkehr der Vergangenheit zu einigen, sondern es geht darum, den Bürgern und sich selber klar zu machen, daß wir Europa einigen müssen zur Selbstbehauptung Europas in der Welt der Zukunft!	Finally, Mr President-in-Office, it is not so much a question of uniting Europe to avoid history repeating itself, but rather a question of making it clear to our citizens and to ourselves that we must unite Europe so that Europe can assert itself in the world of the future!
(Beifall)	(Applause)
