Ich glaube, er hat vollständig Recht.	I think he is absolutely right.
Der Vorteil des europäischen Forschungsrahmenprogramms und des europäischen Forschungsraums ist es ja, dass wir damit auf der einen Seite unsere Forschungsidentität in der Europäischen Union definieren, dass wir auf der anderen Seite aber Teil einer internationalen Entwicklung sind.	Indeed, the advantage of the European Research Framework Programme and of the European research area is firstly that we can define our research identity in the European Union, and secondly that we can be part of international developments.
Insgesamt fördern wir damit natürlich die Wettbewerbsfähigkeit der Europäischen Union.	Overall, these programmes are of course promoting the competitiveness of the European Union.
Es bestehen zurzeit relativ viele Schwierigkeiten in der Frage der Stammzellenforschung.	There are currently quite a lot of difficulties regarding the issue of stem cell research.
Es gibt von einigen Kollegen Bemühungen, praktisch eine Art Renationalisierung in diesem Bereich anzustreben, und zwar immer dann, wenn es um kritische Forschung geht.	Some Members are attempting, in effect, to renationalise this area, whenever it is a matter of critical research.
Ich halte das für sehr bedenklich.	I think that is highly problematic.
Eine solche Renationalisierung würde in Zukunft viele Forschungsbereiche betreffen, wie Nuklearforschung, Sicherheitsforschung, aber auch viele andere Bereiche, bei denen es in bestimmten nationalen Staaten ethische oder sonstige Bedenken gibt.	This kind of renationalisation would affect many areas of research in future, such as nuclear research, security research and many other areas where certain nation states have ethical or other concerns.
Ich glaube, das sollten wir nicht tun.	I do not think we should do that.
Eine derartige Renationalisierung würde nicht nur der Agenda von Lissabon sondern der Europäischen Union insgesamt in der Zukunft extrem schaden.	This kind of renationalisation would be highly damaging not only to the Lisbon Agenda but also to the European Union as a whole in future.
Insofern hoffe ich, dass wir zum Forschungsrahmenprogramm eine breite Zustimmung finden werden.	I therefore hope that we will reach broad consensus on the Research Framework Programme.
Glückwunsch an den Kollegen Buzek, an unsere Schattenberichterstatter und an meinen Kollegen Busquin.	Congratulations to Mr Buzek, to our shadow rapporteurs and to Mr Busquin.
