. – Herr Präsident!	.
Vielen Dank für Ihre Rede zur grundsätzlichen Ausrichtung unserer Arbeit im kommenden Jahr.	Mr President, many thanks for what you said about the general direction of our work over the coming year.
Ich richte an die Kolleginnen und Kollegen aus Rumänien und Bulgarien und aus allen Fraktionen ein herzliches Wort des Willkommens. An meine Freundinnen und Freunde aus meiner Fraktion ein besonders herzliches Wort des Willkommens, aber auch an alle Andersgläubigen ein Wort des Willkommens und des Wunsches auf gute Zusammenarbeit zum Wohle der Europäischen Union hier in diesem Hause.	I extend a warm welcome to our friends from Romania and Bulgaria, no matter what their political allegiance: a particularly warm welcome to those who belong to my own group, but a welcome nonetheless to those of differing views, coupled with the hope that we will work well together in this House for the good of the European Union.
Aber auch ein Wort der Bitte um harte parlamentarische Arbeit und harte parlamentarische Auseinandersetzung, denn die braucht die Europäische Union auch.	What I also ask of them is that they work hard and debate hard in this House, for the European Union has need of that too.
Dieses Haus ist der Ort der europäischen Demokratie. Da erlaube ich mir, meinen lieben Freund Hans-Gert Poettering auch gleich einmal beim Wort zu nehmen.	It is in this Parliament that European democracy happens, so let me pick up what my good friend Mr Poettering said.
Jawohl, ich teile seine Auffassung: Wir können nicht hinnehmen, dass die Kommission auf dem Obergefreiten-Dienstweg handelt nach dem Prinzip: Wir teilen einmal der Frankfurter Allgemeinen Zeitung durch Herrn Verheugen mit, was wir zurückziehen wollen. Am nächsten Tag sagt Herr Barroso der internationalen Presse Bescheid, was er zurückzieht, und das Parlament ist bis heute nicht offiziell informiert, obwohl die Kommission nach der interinstitutionellen Vereinbarung dazu verpflichtet wäre, das Parlament zu unterrichten.	I do indeed share his view that we cannot accept the Commission’s way of passing information around, which involves it, through the medium of Commissioner Verheugen, telling the what it wants to withdraw, followed by Mr Barroso, the following day, telling the international press what he is withdrawing, so that Parliament has, to this day, not been officially informed, even though the Commission is obliged to do so by the Interinstitutional Agreement.
Aber das Parlament hat sicherlich auch Anspruch darauf zu wissen, was denn in den geheimen Gremien dieses Hauses so alles passiert.	Parliament is surely entitled, though, to know what is going on in the secret corridors of power in this building.
Am vergangenen Donnerstag, in der Konferenz der Präsidenten, wäre ja Gelegenheit dazu gewesen.	One opportunity to tell it would have been last Thursday in the Conference of Presidents, when Mr Barroso could have done the job.
Herr Barroso hätte uns ja unterrichten können, er war ja eingeladen.	He was, of course, invited, but said he could not be there.
Er hat gesagt, er könne nicht kommen. Mir ist dann mitgeteilt worden, er käme nicht, weil Herr Poettering nicht da sei.	I was then told that the reason why he would not be there was that Mr Poettering was not there.
Na ja gut, habe ich gesagt, das ist auch klar: Wenn Herr Poettering nicht da ist, dann macht es auch keinen Sinn!	Well, I said, there you go: if Mr Poettering is not there, then there is no point!
Nun darf ich heute der Presse entnehmen, wo Herr Barroso am vergangenen Donnerstag war, an dem er nicht kommen konnte.	Looking at the newspapers today, I now learn where Mr Barroso was last Thursday, when his absence was unavoidable.
Hier regt sich der Vorsitz der EVP-Fraktion auf, wir würden nicht unterrichtet. Am vergangenen Donnerstag hätten wir unterrichtet werden können, wenn nicht Hans-Gert Poettering zusammen mit José Manuel Durão Barroso in Lissabon eine gemeinsame Veranstaltung der Think-Tanks der EVP besucht hätte.	The Chairman of the Group of the European People’s Party (Christian Democrats) and European Democrats may well get worked up about our not being informed, but we could have been last Thursday, had not Mr Poettering, together with President Barroso, been attending an event in Lisbon staged by the European People’s Party’s think-tanks.
Man sollte sich nicht hier bei der Kommission beschweren, wenn man selbst dafür sorgt, dass die Zeiten, die dafür vorgesehen gewesen wären, um uns zu unterrichten, nicht eingehalten werden.	You should not go complaining to the Commission if it is you yourself who ensure that the appointments intended for us to be informed cannot be kept.
Damit meine ich nicht Herrn Poettering, das ist nicht seine Aufgabe.	I am not aiming these remarks at Mr Poettering, for that is not his job.
Für ihn habe ich Verständnis, aber für den Kommissionspräsidenten habe ich kein Verständnis.	I have some sympathy for him, but none for the President of the Commission.
Ich nehme nicht hin – und das richten Sie, Frau Wallström, Herrn Barroso aus –, dass der Kommissionspräsident der internationalen Presse mitteilt, was er tun will, aber dem Europäischen Parlament nicht.	Commissioner Wallström, you can tell Mr Barroso from me that I will not accept a situation in which the President of the Commission tells the international press what he intends to do, but not the European Parliament.
Das ist nicht akzeptabel!	That is unacceptable!
Ich frage mich, welche Haltung der Kommissionspräsident eigentlich den Staaten gegenüber einnimmt, die die Verfassung ratifiziert haben, und denen gegenüber, die gerade im Ratifizierungsverfahren sind.	I really do wonder what the President of the Commission’s attitude is towards those states that actually have ratified the Constitution, or towards those currently in the process of doing so.
Was sollen diese Staaten eigentlich von diesem Kommissionspräsidenten denken?	What are they, faced with a Commission President such as this one, actually meant to think?
Nur so werden wir auch bei der Finanziellen Vorausschau zu einer Einigung kommen.	That is the only way that we will reach any sort of agreement, not least on the Financial Perspective.
Ich will einmal daran erinnern, dass zwischen den Zahlen des Parlaments, also unseren Vorschlägen, und denen, die beim Gipfel nicht verabschiedet worden sind, also den 1,07 %, die dort als Kompromiss auf dem Tisch lagen, etliche Milliarden klaffen. Aber zwischen der Anforderung der Kommission an die Finanzielle Vorausschau und dem tatsächlichen Willen des Rates klafft noch einmal doppelt so viel Geld.	Let me just remind you that, between Parliament’s figures – our proposals, in other words – and those that the Summit failed to adopt, by which I mean the 1.07% compromise that was on the table there, there is a gulf of several billions, but between the demands the Commission makes on the Financial Perspective and what the Council actually wants there is a yawning chasm amounting to double that amount again.
Ein Kommissionspräsident, der sein eigenes ambitioniertes Programm realisieren will, hätte nach der gescheiterten Finanziellen Vorausschau einen Aufschrei machen müssen. Er hätte sagen müssen: So richtet man die Europäische Union zugrunde!	Any President of the Commission who wanted to implement his own ambitious programme ought, after the failure of the Financial Perspective, to have made a scene about it and denounced it as a road to ruin for the European Union!
Was ich kritisiere, Herr Präsident, ist, dass es in der Finanziellen Vorausschau und bei der Verfassung eine viel zu lange Abwesenheit der Kommission von der Debatte gegeben hat.	What I am criticising, Mr President, is the Commission’s far too lengthy absence from the debate on the Financial Perspective and the Constitution.
