Herr Präsident, das ist der letzte Bericht des Kollegen Alber.	Mr President, that was the last report by my colleague, Mr Alber.
Ich möchte ihm für die kollegiale Zusammenarbeit danken und ihm in seinem neuen Amt viel Glück wünschen.	I would like to thank him for his helpful and considerate cooperation and to wish him all the best for his new post.
Meine Fraktion wird dem Entschließungsantrag zustimmen und alle Änderungsanträge ablehnen.	My group will vote for the motion for a resolution and reject all the amendments.
Ein Wort, Herr Kollege Alber, zu der spezifischen Funktion des Begriffes Staatenverbund.	I would like to say a word, Mr Alber, about the specific function of the term 'union of states'.
In der Terminologie des Bundesverfassungsgerichts ist es offensichtlich der Versuch, das Recht der Europäischen Union, der Europäischen Gemeinschaften auf Völkerrecht zu reduzieren.	In the terminology used by Germany's Federal Constitutional Court it is evidently an attempt to reduce the law of the European Union, of the European Communities, to international law.
Wir reden nicht über ein theoretisches Problem.	We are not talking about a theoretical problem.
Wir reden über einen handfesten politischen Konflikt, der sich zu einer Krise der Europäischen Union ausweiten kann.	We talking about a full-blooded political conflict, which could develop into a crisis for the European Union.
Die Frage ist nicht ganz generell, ob es Grenzen für die europäische Integration in den nationalen Verfassungen gibt, sondern die Frage ist: Können Verfassungsgerichte die Gültigkeit von Handlungen der Gemeinschaft überprüfen?	It is not a general question about whether there are limits to European integration in national constitutions. No, the question is whether constitutional courts can review the validity of the actions of the Community.
Darum geht es.	That is what is at stake.
Das ist nicht nur ein Problem des Bundesverfassungsgerichts, sondern es gibt vergleichbare Tendenzen auch in anderen Mitgliedstaaten. Ich nenne als Beispiel nur Österreich oder Schweden.	This is not just about Germany's Federal Constitutional Court, there are also comparable trends in other Member States, such as Austria or Sweden, to name just two.
Vor zehn Jahren schon, und Herr Kollege Alber, Sie haben darauf hingewiesen, hat der Europäische Gerichtshof gesagt, daß das Erfordernis der Einheitlichkeit, d.h. die einheitliche Anwendung des Gemeinschaftsrechts durch die nationalen Gerichte besonders zwingend sei, wenn die Gültigkeit einer Gemeinschaftshandlung - zum Beispiel die Verabschiedung einer Richtlinie - in Frage stehe.	Ten years ago, as you pointed out, Mr Alber, the European Court of Justice said that the need for uniformity, that is, the uniform application of Community law through the national courts, was particularly important when the legal force of some Community action - such as the adoption of a directive - was in doubt.
Meinungsverschiedenheiten der Gerichte der Mitgliedstaaten über die Gültigkeit von Gemeinschaftshandlungen wären geeignet, die Einheit der Rechtsordnung der Gemeinschaft selbst aufs Spiel zu setzen und das grundlegende Erfordernis der Rechtssicherheit zu beeinträchtigen.	Differences of opinion between the courts of the Member States about the validity of Community actions could jeopardize the unity of the Community's legal system itself and threaten the fundamental need for legal certainty.
Das ist der Grund für den Vorrang des Gemeinschaftsrechts!	That is the reason for the primacy of Community law.
Das ist nicht Anmaßung, das ist nicht Überheblichkeit, das ist eine absolut zwingende Notwendigkeit!	It is not presumptuousness, it is not arrogance, it is an absolute necessity!
Deshalb nimmt es nicht Wunder, daß der Präsident des Europäischen Gerichtshofs, Rodrigez Iglesias, in diesem Zusammenhang von einem Angriff auf die Grundelemente der Gemeinschaftsverfassung spricht.	That is why it is no wonder that the President of the European Court of Justice, Mr Rodriguez Iglesias, is talking about an attack on the basic elements of the Community's constitution in this context.
Ich hoffe sehr, daß die nationalen Verfassungsgerichte erkennen, daß der Europäische Gerichtshof nach Artikel 164 die Wahrung des Rechts bei der Auslegung und Anwendung dieses Vertrages zu sichern hat.	I very much hope that the national constitutional courts will recognise that in accordance with article 164 it is the task of the European Court of Justice to ensure the law in interpreting and applying this treaty.
Zu sichern, das ist der Wortlaut, zu sichern!	To ensure, that is the wording, to ensure!
Kein nationales Verfassungsgericht kann sich zum Herrn des Gemeinschaftsrechts aufspielen.	No national constitutional court can set itself up as ruling over Community law.
Kein Verfassungsgericht kann der Tutor sein.	No constitutional court can be the tutor.
Übrigens ist damit auch eine Kontrolle der nationalen Parlamente verbunden, denn sie entscheiden ja, welche Kompetenzen weiterhin übertragen werden können.	Incidentally, there is an element of control by national parliaments in all this, because they decide which additional powers can be transferred.
Ich hoffe sehr, daß uns eine Situation erspart bleibt, nämlich daß es zu einem Vertragsverletzungsverfahren gegen einen Mitgliedstaat wegen einer Entscheidung eines Verfassungsgerichts kommt.	I very much hope that we will be spared one situation, namely treaty infringement proceedings against a Member State because of a judgement by a constitutional court.
Das möge uns bitte erspart bleiben!	We can do without that!
