Herr Präsident! Heute ist ein großer, ein historischer Tag.	Mr President, today is indeed a great and historic day.
Die Währungsunion wird Europa verändern.	Monetary union will change the face of Europe.
Erstmals wird mit der einheitlichen Währung von Flensburg bis Sizilien, von Dublin bis Helsinki europaweit die gleiche Währung verwendet, ein wichtiger und richtiger Schritt auf dem Weg zu der immer engeren Union der europäischen Völker.	For the first time ever, a common currency will be in use all over Europe from Flensburg to Sicily and from Dublin to Helsinki. This represents an important step, and a proper one, towards the ever closer union of the peoples of Europe.
Der Euro wird tagtäglich die gelebte Erfahrung der europäischen Integration sein.	Day in and day out we will personally experience the euro as tangible proof of European integration.
Erstmals entsteht eine europäische föderale Autorität.	For the first time we will see a European federal authority.
Erstmals haben nationale Staaten freiwillig und ohne Zwang oder Krieg Souveränität in der Geldpolitik aufgegeben.	For the first time nation states, acting freely and without coercion or the threat of war, have renounced their sovereignty over monetary policy.
Diese Aufgabe von Souveränität führt aber in Wirklichkeit zu einem Souveränitätsgewinn für alle, weil die Europäische Währungsunion mit 300 Millionen Menschen, mit einem Bruttoinlandsprodukt und Welthandelsanteil von fast 20 % an Souveränität und politischer Gestaltungsfähigkeit zum Nutzen Europas und seiner Menschen gewinnt und den Bedrohungen der Globalisierung selbstbewußt trotzen kann.	But in reality this relinquishment of sovereignty means a greater sovereignty for all, for the European monetary union, with its 300 million people, with its 20 % share of world GDP and world trade, will acquire greater sovereignty and the capacity to shape its own political destiny for the benefit of Europe and its people, and will be able to face the threats of globalization with greater self-assurance.
Die Einführung des Euro nimmt Störungen aus dem Wirtschaftsverkehr des Binnenmarktes, beseitigt das Wechselkursrisiko, erhöht die Planungssicherheit, verringert die Transaktionskosten und führt so zu einer stärkeren Ausschöpfung der Wachstumsspielräume, der Innovationspotentiale und der Beschäftigungschancen.	The introduction of the euro will remove obstacles to trade in the internal market, will eliminate exchange rate risks, will increase certainty in economic planning, will reduce transaction costs and will therefore allow us to make greater use of Europe's scope for growth, its potential for innovation and its employment opportunities.
Wir wissen, daß wir gemeinsam stärker sind als allein.	We know that we are stronger when we stand united than when we stand alone.
Europa ist reif für den Euro.	Europe is ready for the euro.
Der Euro wird eine stabile und sichere Währung.	The euro will be a stable and a secure currency.
In Europa hat sich schließlich eine Stabilitätskultur mit historisch niedrigen Inflationsraten durchgesetzt.	At long last a culture of stability and historically low inflation rates has gained acceptance.
Der Grad der Konvergenz wird die Währungsunion zu einer Stabilitätsgemeinschaft machen.	The degree of convergence will transform monetary union into a community based on stability.
In Zeiten des Umbruchs blicken nicht alle nur mit Freude, sondern auch mit Skepsis und Unsicherheit in die Zukunft.	In times of upheaval people are happy to look to the future, but all the same they do so with scepticism and uncertainty.
Es ist unsere Aufgabe als Europäisches Parlament, diesen Menschen Orientierung und Zuversicht zu geben, denn schließlich bedarf der Euro nicht nur der Akzeptanz der Märkte, sondern auch der Akzeptanz der Menschen.	It is our duty as the European Parliament to give them guidance and confidence in the future, for at the end of the day the euro has to be accepted not only by the markets but also by the people.
Wir haben aus den Lehren der Vergangenheit Gewinn gezogen.	We have profited from the lessons of the past.
Geldwertstabilität ist eine notwendige Grundlage für soziale und politische Stabilität.	Price stability is essential for social and political stability.
Wechselkursstabilität ist eine notwendige Grundvoraussetzung für Geldwertstabilität in einem offenen und integrierten Binnenmarkt.	Exchange-rate stability is essential for price stability in an open and integrated internal market.
Beide lassen sich auf Dauer nur mit einer einheitlichen Geldpolitik absichern. Die unabhängige Europäische Zentralbank ist eine hinreichende Bedingung dafür.	In the long run both can only be safeguarded by a common monetary policy and an independent European Central Bank is an appropriate means to this end.
