Herr Präsident, verehrte Kolleginnen und Kollegen! Wir im Ausschuss haben unsere Arbeit getan.	Mr President, ladies and gentlemen, we in the Committee have done our work.
Es ist erwiesen, dass die CIA in Europa Menschen entführt und verschleppt hat.	It is a proven fact that the CIA has kidnapped and abducted people in Europe.
Die Staatsanwaltschaften in Mailand und München haben dies klar festgestellt und bewiesen.	The public prosecutors in Milan and Munich have established and proved this beyond doubt.
Aber was ist das für eine Politik, wenn sich jetzt die Verantwortlichen in Berlin und Rom weigern, der US-Regierung ein Inhaftnahmeersuchen - der fachliche Begriff - zu übermitteln?	What kind of policy is in place, however, when responsible people in Berlin and Rome are now refusing to pass an arrest warrant - that is the correct term - to the US Government?
Die Kidnapper - und nichts anderes sind die CIA-Agenten, die Khaled al-Masri in Skopje entführt haben - müssen überstellt werden.	The kidnappers - and that is exactly what the CIA agents who abducted Khaled al-Masri in Skopje are - must be handed over.
In einem Rechtsstaat - und das sind wir doch wohl - kann es vor dem Gesetz keine Ausnahmen geben.	In a state governed by the rule of law - which is what we have, surely - no one can be exempt from the law.
Und wenn - wie so genannte ranghohe Sicherheitsbeamte in Berlin behaupten - die Beziehungen zur US-Regierung durch die Arbeit der Münchner Staatsanwaltschaft gestört werden, die lediglich ihrer Arbeit, wie sie vorgeschrieben ist, nachgeht, sagt das viel über die Geisteshaltung und die Einstellung dieser Leute zum Rechtsstaat aus.	This is true even if, as certain high-ranking security officials in Berlin claim, relations with the US Government are being soured by the work of the Munich public prosecutors, who are simply doing their job in the prescribed fashion: this speaks volumes about these people's mentality and their attitude to the rule of law.
Ja, der internationale Terrorismus muss mit allen Mitteln bekämpft werden. Aber bitte mit denen des Rechtsstaates und nicht mit Wildwestmethoden nach dem Herkunftslandprinzip, wie es die CIA hier veranstaltet hat.	Yes, international terrorism must be combated by every means, but please, with the means available under the rule of law, not with Wild West methods according to the country-of-origin principle, which is what the CIA has done here.
Es ist ja auch gut und richtig, wenn Bundeskanzlerin Angela Merkel die Chinesen zur Einhaltung der Menschenrechte ermahnt und den Dalai Lama empfängt. Das genügt aber nicht.	It is all well and good for the Federal Chancellor, Angela Merkel, to urge the Chinese to respect human rights and for her to receive the Dalai Lama, but that is not enough.
Auch bei uns zu Hause sind Hausaufgaben zu erledigen.	We have homework to do here in Europe as well.
Es darf keinen starken Rechtsstaat à la carte geben, der nur dann stark sein darf, wenn es einem ins System passt.	We cannot have a strong à la carte rule of law, a rule of law which is only permitted to be strong when it fits in with the system.
Und wenn ich die Fragen höre: Was hat denn der Ausschuss gekostet? Was kostet überhaupt Demokratie? - dann kann ich denjenigen nur sagen: Liebe Leute, eine Diktatur ist viel billiger zu haben, aber dann nennt bitte auch den Preis dafür!	When I hear the questions about what the Committee cost, what democracy actually costs, let me just say this to those people: my dear people, a dictatorship is much cheaper, but tell me the price of that!
Den sind wir nicht bereit, zu bezahlen!	It is a price we are not willing to pay!
