Herr Präsident, der Bericht Teverson bezieht sich auf das Jahr 1994.	Mr President, the Teverson report refers to the year 1994.
Österreich war damals noch nicht Mitglied der Europäischen Union.	At that time Austria was not yet a Member State of the European Union.
Trotzdem oder vielleicht gerade deswegen ist dieser Bericht auch für uns wichtig, denn in diesem Bericht Teverson werden ja nicht nur aufgezeigte Fehler zum Anlaß genommen, die vergangene Performance zu kritisieren, sondern es wird auch dazu aufgerufen, die Dinge zu verbessern.	Nevertheless, or perhaps because of that, the Teverson report is important for us too, for it does not just take the weaknesses that have been uncovered as grounds for criticizing past performance, it also calls for things to be improved.
Solche Fehler registrieren auch wir in Österreich in diesen ersten beiden Jahren, in denen wir eben nicht nur Mitglied der Europäischen Union sind, sondern auch Regionalpolitik in Kooperation mit Europa betreiben, und so gesehen haben auch wir einiges aus diesem Bericht als für uns relevant herauszunehmen.	Over these first two years in which we have not only been a Member State of the European Union but have also been cooperating in European regional policy, we in Austria have also noted these weaknesses, and from that point of view we can also identify some aspects of this report as relevant to us.
Ich greife zwei Punkte im besonderen auf: Im Punkt 9 wird meiner Ansicht nach zu Recht kritisiert, daß die Strukturen der europäischen Regionalförderung viel zu kompliziert sind.	There are two particular points I want to take up. In my view, paragraph 9 rightly criticizes the fact that the structures of European regional assistance are far too complicated.
Sowohl die administrativen Abläufe als auch die allgemeinen Strukturen sind so gestaltet, daß sich letztlich niemand in dem Bereich wirklich als kenntnisreich rühmen kann.	Both the administrative procedures and the general structures are so complex that in the end no-one can pretend to be truly well-informed on the subject.
Man kann es auch einfacher formulieren: Sehr viele verstehen nicht, wie die einzelnen Fonds mit den Administrationseinheiten und das Ganze noch mit nationaler Kofinanzierung funktioniert.	To put it more simply: many people do not understand how the individual funds and the administrative units and the whole thing still works with national co-financing.
Im Punkt 17 wird davon gesprochen, daß niemand, auch nicht die Kommission, weiß, wo und wie konkret EUGelder eingesetzt werden, weil hier offenbar ein großer Informationsmangel gegeben ist.	Paragraph 17 notes that noone, not even the Commission, knows where and how EU funding is actually used, because there is obviously a serious lack of information here.
Beide Kritikpunkte treffen auch für die ersten Erfahrungen zu, die wir in Österreich mit dem Thema Regionalförderung gemacht haben, und so gesehen sind auch wir aufgerufen, aus diesen Fehlern zu lernen.	Both these criticisms also apply to the first experience we in Austria have gained in the field of regional assistance, and from that point of view we too will have to learn from our mistakes.
Im besonderen sollten wir in einem Land, das ja auch zu den Nettozahlern in der Union gehört und in dem daher durchaus auch eine Rechtfertigungspflicht besteht über das, was hier eingesetzt wird, die Fehler nicht machen, die hier eine Rolle spielen, denn das kann dem Verständnis für die Europäische Union nur auf den Kopf fallen, und das kann uns auf den Kopf fallen, im besonderen wenige Wochen vor den Europawahlen in unserem Land. Daher müssen wir auch in Österreich schauen, daß wir aus diesem Bericht lernen bzw. die dort angesprochenen Fehler nicht machen.	In particular, as a country that is after all one of the net contributors in the Union and which therefore certainly has a duty to justify the use of these monies, we must not make the mistakes that have been shown up here, for that could only overturn the feelings of sympathy for the European Union, and it could overturn us, especially a few weeks before the European elections in our country.
Wir haben einiges, worauf wir stolz sein können bei der Regionalpolitik.	There are a few things we can be proud of in regional policy.
Wir brauchen unser Licht auch nicht unter den Scheffel zu stellen.	We do not need to hide our light under a bushel.
Frau Kommissarin war selbst zweimal in unserem Land und hat sich vergewissern können.	The Commissioner herself came to our country twice and was able to ascertain that.
Auch eine Delegation des Ausschusses für Regionalpolitik war in Österreich, in der Steiermark, und hat festgestellt, daß wir eigentlich mit dem Geld, mit dem eigenen und mit dem Geld Europas, sehr vernünftige Dinge machen.	A delegation from the Committee on Regional Policy also came to Austria, to Styria, and found that we are in fact doing very sensible things with the money, both our own and the money from Europe.
Hier geht es darum, daß wir das unseren Bürgern auch transparent machen müssen.	The important point here is to make this apparent to our citizens too.
Es gibt einen Grundsatz, der glaube ich für die Politik ganz allgemein und auch und vor allem für die Politik in Wahlzeiten berücksichtigt werden sollte: Tu Gutes und rede darüber!	There is a principle which I believe should be followed in politics in general and also and above all in politics during election times: do good and tell about it!
