Frau Präsidentin! Auch unser Dank geht an die Berichterstatterin.	. – Madam President, we too are grateful to the rapporteur.
Ich denke, es ist ein großartiger Erfolg für Frauen in ganz Europa, dass es gelungen ist, die Zusammenlegung von Daphne und dem Antidrogen-Programm zu verhindern.	I see the prevention of Daphne and the anti-drug campaign being merged together as a tremendous success for women throughout Europe.
Das Parlament hat damit ein Zeichen gesetzt und bekräftigt, dass das Programm zur Bekämpfung von Gewalt gegen Frauen, Kinder und Jugendliche eigenständig bleiben muss.	In bringing this about, this House has sent out a signal and re-emphasised the need for the programme to combat violence against women, children and young people to remain independent.
Daphne ist ein kleines, aber sehr erfolgreiches Programm, durch das schon wichtige Fortschritte in der Bekämpfung der Gewalt gegen Frauen erzielt wurden.	Daphne is a small, but very successful, programme, which has already enabled important progress to be made in combating violence against women.
Gewalt an Frauen ist keine Privatsache, sondern eine Frage der inneren Sicherheit.	Violence against women is not a private matter, but rather an issue of internal security.
Der gefährlichste Ort für Frauen ist ihr Zuhause.	The most dangerous place for women is the home in which they live.
Während für viele die Familie und das Zuhause der Inbegriff für Frieden und Sicherheit sind, sind sie für Millionen von Frauen ein Ort des Leidens, ein Ort des Missbrauchs, der Folter und sogar des Tods.	‘Family’ and ‘home’ may epitomise peace and security for many, but for millions of women, it is within the family and at home that they suffer, are abused, are tortured and even killed.
Die Weiterführung von Daphne kann jedoch nicht die einzige Maßnahme zur Bekämpfung der Gewalt an Frauen sein.	Taking Daphne further cannot be the only thing we do to combat violence against women.
Wir wünschen uns, dass die EU-Kommission mit einer eigenständigen Richtlinie zeigt, dass der Kampf gegen Gewalt höchste politische Priorität hat.	We would like to see the Commission produce a free-standing directive and thereby demonstrating that it attaches the highest political priority to the campaign against violence.
Ein entsprechender Vorschlag ist seit Jahren überfällig.	A proposal along these lines has been overdue for many years.
Es ist geradezu skandalös, dass die EU-Kommission die Augen vor dieser Forderung verschließt und die Notwendigkeit einer europäischen Gesetzesharmonisierung vom Tisch wischt.	It is positively scandalous that the Commission should shut its eyes to the demand for one and should disregard the need for European legislation to be harmonised.
Sehr wesentlich ist, dass wir wirklich eine eigenständige Richtlinie bekommen, und da wünsche ich mir auch, dass die Kommission heute noch etwas dazu sagt. Wir haben in vielen Entschließungen, sei es am Frauentag oder bei anderen Gelegenheiten, als Europäisches Parlament immer wieder darauf hingewiesen.	It really is quite essential that a free-standing directive be put in place, and, while I am on that subject, let me say that I would like to hear the Commission say something today about something concerning which we, in this House, have passed numerous resolutions, whether on International Women’s Day or on other occasions.
Wir hoffen auch, dass die EU-Kommission und der Rat jetzt möglichst schnell die Verhandlungen um Daphne abschließen, damit die Neuauflage des Programms rechtzeitig im Jahre 2007 starten kann.	We also hope that the Commission and the Council will be able to wrap up negotiations on Daphne as soon as possible, so that the programme can be refinanced in good time for 2007.
Auch uns ist gerade jetzt, wo die Frauenrechtlerin Seyran Ateş in Deutschland ihre Anwaltstätigkeit aufgrund akuter Bedrohung eingestellt hat, wichtig, dass wir auch die Menschenrechtsverletzungen gegen Migrantinnen ganz klar ins Zentrum rücken und auch da sagen: Null Toleranz.	It is important to us, too, particularly at a time like this, when the women’s rights campaigner Seyran Ateş has been forced by vicious threats to give up her lawyer’s practice in Germany, that we should put the spotlight on the violations of migrant women's human rights, and affirm that there will be, for them, ‘zero tolerance’.
