Herr Präsident, es wurden verschiedentlich Bemerkungen über die Strukturfonds gemacht.	Mr President, various comments have been made on the Structural Funds.
Da ich quasi auch mit den Ohren meines Kollegen Barnier an dieser Debatte teilgenommen habe, möchte ich zu den Ausführungen über die Strukturfonds kurz etwas sagen.	Having taken part in the debate with, so to speak, the aid of Mr Barnier's ears, I would like briefly to respond to what has been said about the Structural Funds.
Der Abfluss der Mittel ist im Moment unbefriedigend, aber es ist nicht ganz richtig, davon zu sprechen, dass hier große Verzögerungen vorlägen, sondern es ist eben so, dass die Mitgliedstaaten quasi mit der Ausführung zum letzten Termin warten, der ihnen vom Gesetzgeber für die Implementierung der Programme erlaubt wurde.	The outflow of resources is unsatisfactory at the moment, but it is not quite true to say that major delays are occurring; it is simply that the Member States are, as it were, delaying implementation until the last moment at which the legislature has allowed them to put the programmes into operation.
Das Parlament war an den entsprechenden Regelungen beteiligt.	Parliament played its part in enacting the regulations in question.
Lassen Sie mich im Rahmen der Debatte über den finanziellen Rahmen der Erweiterung als Haushaltskommissarin nochmals betonen, dass die Kommission sich bei ihren Vorschlägen von dem Prinzip hat leiten lassen, dass es einen guten Interessenausgleich zwischen den jetzigen Mitgliedstaaten und den neuen Mitgliedstaaten geben muss.	As regards the debate on the financial framework for enlargement, let me, as Budget Commissioner, reiterate that, in producing its proposals, the Commission has had to be guided by the principle that a proper balance has to be struck between the interests of the present Member States and those of the new ones.
Ich meine, dass uns dieser Interessenausgleich auch gelungen ist.	It is my opinion that we have succeeded in achieving this balance.
Die neuen Mitgliedstaaten haben anfangs nach Vorstellung der Vorschläge geklagt, sie würden ungleich behandelt.	When the proposals were put forward, the new Member States initially complained that they were not receiving equal treatment.
Wir haben zwar auf der einen Seite eine Einphasung der Direktzahlungen vorgesehen, auf der anderen Seite beinhaltet der Vorschlag der Kommission aber auch, dass bereits im Jahre 2006 die finanziellen Verpflichtungen, die gegenüber den neuen Mitgliedstaaten eingegangen werden, pro Kopf der Bevölkerung gleich hoch sind wie pro Kopf der Bevölkerung in den jetzigen Mitgliedstaaten, so dass also dann schon eine Gleichbehandlung da ist.	Although we provided for direct support to be phased in, the Commission proposal envisages that, as early as 2006, the financial obligations in respect of the new Member States should, in per capita terms by reference to the population, be equal to those in the present Member States, so that there is equal treatment already.
Werden durch den Vorschlag der Kommission die jetzigen Mitgliedstaaten finanziell überfordert?	Does the Commission proposal put the present Member States under excessive financial strain?
Hier möchte ich darauf hinweisen, dass wir uns strikt an die Grenzen der Agenda 2000 gehalten haben. Und wir haben darüber hinaus als Kommission vorgeschlagen, und das wurde vom Rat aufgenommen, dass die neuen Mitgliedstaaten von Beginn an Beiträge an den EG-Haushalt zahlen, und das bedeutet, dass die Nettokosten für die jetzigen Mitgliedstaaten sogar geringer sind als das, was in der Agenda 2000 als maximale Belastung durch die Erweiterung beschlossen worden ist.	Let me observe that we have kept strictly to the limits of Agenda 2000, and that we in the Commission have, in addition, proposed that the new Member States should make contributions to the EU Budget from the very outset, something that the Council has accepted. That means that the net cost to the present Member States is even less than the amount stipulated in Agenda 2000 as the maximum burden resulting from enlargement.
Ich halte es für wichtig, das festzuhalten.	I think it is important not to lose sight of that.
Lassen Sie mich noch eines betonen: In der jetzigen Berichterstattung und der Debatte wird manchmal der Eindruck erweckt, als würden nur die jetzigen Nettozahler die Erweiterungskosten bezahlen.	Let me emphasise one more thing. The reports we are considering, and our debate today, sometimes give the impression that the costs of enlargement will be borne only by the present net contributors.
Das ist falsch.	That is false.
Es zahlen alle jetzigen Mitgliedstaaten in einer gleichen relativen Höhe für die Erweiterung, das heißt, bis auf die spezifische Regelung für Großbritannien.	All the present Member States will be paying the same amount in relative terms towards enlargement, leaving out the special arrangement for Great Britain.
Aber hier ist eine gleiche solidarische Leistung angefordert.	The same effort, though, is called for as an expression of solidarity.
Das bedeutet natürlich in absoluten Zahlen, da es ein unterschiedlich großes Sozialprodukt und unterschiedliche Größen der Mitgliedstaaten gibt, dass in der Tat 80 % der Kosten der Erweiterung von den 5 größten Mitgliedstaaten getragen werden: Deutschland, Großbritannien, Italien, Frankreich und Spanien.	As Member States differ in size and gross domestic product, that of course means in absolute terms that 80% of the enlargement costs will in fact be borne by the five largest Member States: Germany, Great Britain, Italy, France and Spain.
Aber es ist eine gemeinsame, solidarische Leistung, und natürlich ist der finanzielle Aspekt von hoher Wichtigkeit in der öffentlichen Debatte und auch in der Debatte des Parlaments, des Rates und der Kommission.	But this is a joint effort for the sake of solidarity, and the financial aspect is of course of great importance in public debate, and also in debates in Parliament, the Council and the Commission.
Aber man darf darüber nicht vergessen, bei dieser Debatte geht es nicht um die Frage, ob man ein Stück Autobahn baut oder nicht, sondern es geht hier um die Frage der Einigung von Europa.	However, it must not be forgotten that this debate is not about whether or not to build a new stretch of motorway, but about the unification of Europe.
Es geht um die Frage der Stabilisierung von Demokratie, Rechtsstaatlichkeit und Frieden in Europa.	It is about the stabilisation in Europe of peace, democracy and the rule of law.
Das sind Werte von unschätzbarem Wert.	One cannot put a price on values such as these.
