Herr Präsident! Wir springen hier in dieser Debatte.	Mr President, we keep changing the subject in this debate.
Es ist eigentlich nicht angemessen, aber ich springe jetzt weiter, nämlich zum Thema Weinmarktordnung.	It is not really appropriate, but I will now move on to the subject of the organisation of the market in wine.
In dem großen Paket der Agenda 2000 "agrarpolitischer Teil" gibt es ja viel zu bemängeln. Wir haben das gehört.	We have heard that there are certainly many things to find fault with in the part of the Agenda 2000 package that deals with agricultural policy.
In einem Bereich muß man die Kommission - Herr Fischler hat lange gebraucht, bis er einen so guten Entwurf vorgelegt hat, Sie haben sich ja lange geweigert, den alten Entwurf zurückzuziehen - den Ratsvorsitz, Herrn Funke, auch die Kolleginnen und Kollegen im Parlament loben.	We must praise the Commission, the Council presidency, Mr Funke, and also Parliament for the progress made in one area; Mr Fischler, you took a long time to put forward such a good proposal, and you refused to withdraw the old one for a long time.
Wir haben gemeinsam eine vernünftige Reform der Weinmarktordnung hinbekommen, und ich glaube, nach einer solchen Debatte sollte ja nicht nur kritisiert, sondern auch gelobt werden.	Together we have managed to reform the organisation of the market in wine reasonably well, and I believe that after holding a debate like this one, we should not only voice criticism, but we should also give praise.
Es ist traurig, daß wir die letzte Nachtsitzung in dieser Legislaturperiode hier ohne Wein verbringen müssen.	It is sad that there is no wine here for those attending the last evening sitting of this parliamentary term.
Herr Funke war ja dabei, als der Bundeskanzler a.D., Helmut Kohl, auf dem Deutschen Weinbautag die Parole für die künftige Weinbaupolitik ausgegeben hat: Es muß mehr gesoffen werden.	Mr Funke was certainly present when the former Federal Chancellor, Helmut Kohl, announced his watchword for the future wine-growing policy on German National Wine Day: we must drink more.
Ein Zitat aus früheren Zeiten!	A quotation from the past!
Ich möchte aber zur Sache zurückkommen.	However, I should like to get back to the point.
Wir haben in dieser Weinmarktreform die Forderungen des Parlaments durchgesetzt, und ich kann nur wieder betonen: Es wäre gut, wenn das Parlament in Zukunft mitentscheiden könnte, denn den Kuhhandel, den beherrschen wir hier genauso gut wie der Rat.	We have pushed through Parliament's demands in this reform of the wine market, and I can only emphasise here once again that it would be a good thing if Parliament were able to take part in the decision-making in the future, since we have mastered horse-trading in this House just as well as the Council.
Was in der Weinmarktordnung herausgekommen ist, ist auf jeden Fall lobenswert.	What has come out of the organisation of the market in wine is in any case praiseworthy.
Es sind Korrekturen bei den Destillationsvorschriften, bei den Neuanpflanzungsrechten.	Corrections have been made to the regulations on distillation and the rights for planting new vines.
Die Eigenverantwortung der Mitgliedstaaten wird gestärkt.	The Member States have greater individual responsibility.
Branchenverbände werden europaweit möglich.	It is now possible to set up inter-branch organisations throughout the whole of Europe.
Die Reform umfaßt EU-finanzierte Programme zur Umstrukturierung und Sortenumstellung, zur Modernisierung der Produktionstechniken.	The reform includes programmes financed by the EU for restructuring, switching to different varieties, and modernisation of production techniques.
Die Ratskompetenz wird erhalten.	The Council retains its powers.
Wir wollen der Kommission ja nicht zu viele Kompetenzen geben, etwa bei den Etikettierungsvorschriften und bei den önologischen Verfahren.	After all, we do not want to give the Commission too many powers, for instance over regulations on labelling and oenological practices.
Hier geht es also darum, die traditionellen Anbaumethoden in Europa zu erhalten.	We must therefore preserve the traditional growing methods in Europe.
Herr Fischler hat das auch eingesehen und tatkräftig unterstützt.	Mr Fischler has also recognised and actively supported this.
Wir sind also mit dieser Reform zufrieden, und ich glaube, es war eine großartige Leistung des Parlaments, daß es hier eine weitgehende Übereinstimmung in der Weinmarktordnung gegeben hat.	We are therefore satisfied with the reform, and I think that the broad agreement on the organisation of the market in wine has been a great achievement for Parliament.
Nur wer den Streit in den letzten fünf Jahren in diesem Parlament über die Frage der Weinmarktordnung kennt, kann ermessen, wie groß der Fortschritt gewesen ist.	Only those who know of the dispute that has taken place in the last five years within Parliament over the issue of the organisation of the market in wine are in a position to appreciate how much progress has been made.
Ich möchte Ihnen allen danken, und ich hoffe, daß wir in der nächsten Legislaturperiode, wenn schon nicht heute abend, dann Gelegenheit haben, auf diesen Erfolg mit einem Glas Wein anzustoßen.	I should like to thank you all, and I hope that we will have the opportunity to drink to this outcome with a glass of wine in the next parliamentary term, if not this evening.
