In den letzten fünf Jahren ist genau das passiert.	In the last five years, this fact has been precisely illustrated.
Die meisten Menschen sind immer ärmer geworden, während eine dünne Schicht an Nutznießern - vor allem Konzerne - immer größere Profite einfährt.	Most people have become increasingly poorer while a handful of profiteers, consisting mainly of big corporations, have banked ever larger profits.
In einer klaffenden Gletscherspalte der Ungerechtigkeit läßt die WTO Massen an Verliererinnen und Verlierern zurück.	Those who lose out are left behind in their masses by the World Trade Organisation in what is a yawning chasm of injustice.
1994 haben nicht wenige Abgeordnete unsere Bedenken gegen den sozialen und ökologischen Rückschritt durch die WTO geteilt.	In 1994, not many Members of the European Parliament shared our reservations about the WTO' s withdrawal from the social and ecological spheres.
Letztlich sprachen sich dann aber doch die meisten für die Welthandelsorganisation aus in der Annahme, daß sich die Probleme durch den Handel von selbst lösen.	In the end, most people at that time, however, spoke in favour of the WTO on the assumption that trade would lead to the problems solving themselves.
Heute hören wir plötzlich neue Töne von sozialem und ökologischem Nachholbedarf.	Today, we are suddenly hearing new voices speaking of the need to regain lost ground in the social and ecological spheres.
Trotzdem wird am Ende wieder eine Mehrheit dieses Hauses für das Abkommen stimmen, obwohl nichts gelöst ist und obwohl in Genf täglich unwahrscheinlicher wird, daß es überhaupt eine Millenniumrunde gibt.	In spite of this, a majority of this Chamber will, in the end, again vote for the Agreement although nothing has been solved and although, in Geneva, it is becoming less probable day by day that there will be a Millennium Round of negotiations at all.
Unsere erste Forderung daher: Fehler aufdecken und daraus lernen!	Our first demand, therefore, is that mistakes should be discovered and learned from.
Doch viele meiner Kollegen und Kolleginnen wollen keine Evaluierung der bisherigen Auswirkungen der WTO.	And yet many of my colleagues do not want any evaluation of the WTO' s influence so far.
Warum, um alles in der Welt, wird denn hier eine Auswertung so vehement abgelehnt?	Why, for heaven' s sake, is the idea of an assessment of this kind rejected so vehemently?
Wird hier nicht etwas verteidigt, was nicht funktioniert, nämlich die Ideologie des freien Marktes?	Is not something being defended here that simply does not work, namely the ideology of the free market?
Um die Widersprüche einmal am TRIPS-Abkommen zu verdeutlichen: 90% der biologischen Ressourcen kommen aus den Ländern des Südens, aber 97% der Saatgutpatente liegen bei Unternehmen aus Industriestaaten.	Just to clarify the contradictions in the TRIPS Agreement, it should be noted that 90% of biological resources come from the countries of the southern hemisphere, but 97% of seed patents are held by companies in industrialised nations.
Den Zugang zu den genetischen Informationen besitzt damit der reiche Teil des Nordens.	It is the affluent part of the northern hemisphere which therefore has access to genetic information.
Per TRIPS werden die Daumenschrauben für den Süden immer straffer angezogen: Traditionelle Heilmittel werden nach wie vor als Entdeckung eingestuft, während darauf basierende, von der Pharmaindustrie entwickelte Medikamente eine Erfindung sein sollen.	Through the TRIPS Agreement, the screws are being tightened ever more on the south. Traditional medicines continue to be categorised as discoveries, while medicines based upon these but developed by the pharmaceutical industry are passed off as inventions.
Schließlich läuft das TRIPS-Abkommen u.a. der Biodiversitätskonvention zuwider, fördert Produktpiraterie und ist protektionistisch.	Finally, the TRIPS Agreement runs counter to, among other things, the Convention on Biological Diversity, promotes product piracy and is protectionist.
Damit wird doch eine eigenständige Entwicklung in den Entwicklungsländern, aber auch hier verhindert.	It, too, in this way, prevents independent development in the developing countries.
Um zum Schluß zu kommen: Während hier ein Loblied auf den Freihandel gesungen wird, fliegen in Genf die Fetzen.	To conclude: while a panegyric to free trade is being delivered here, the sparks are flying in Geneva.
Die bisherigen Deklarationsentwürfe sind sowohl für uns als auch für die Entwicklungsländer völlig inakzeptabel.	The draft declarations that have been made so far are completely unacceptable, both to ourselves and to developing countries.
Dem freien Markt sollen sogar Gesundheit, Kultur und Bildung geopfert werden.	Even health, culture and education are being sacrificed to the free market.
Die Standstill-Klausel soll verhindern, daß unsere Gesetzgebungen fortentwickelt werden.	The standstill clause will prevent our legislation from being developed.
Ein Bericht, der diese Probleme nicht in den Mittelpunkt stellt, ignoriert, worum es im Kern geht: um eine beschleunigte Sicherung der Profitinteressen Weniger durch die Ausbeutung der Natur und des Menschen.	A report which does not give a central place to these problems effectively ignores what is essentially going on here: a process in which the profit interests of the few are secured more rapidly through the exploitation of nature and human beings.
