Herr Präsident, liebe Frau Ratspräsidentin! Das Wort von Herrn Titley in aller Ohr.	Mr President, Madam President-in-Office: hear, hear, Mr Titley.
Wir könnten also alle Entschließungen, die wir angenommen haben, noch einmal annehmen, und diesmal endlich mit den Sozialisten, damit wir dem ein Ende bereiten können, was er hier so angeprangert hat.	We could, therefore, take all the resolutions which we have adopted and adopt them all over again - this time, at last, with the support of the Socialists - so as to put an end to all that he has so forcefully denounced here.
Vielen Dank, Herr Titley, ich hoffe, wir werden heute eine Entschließung annehmen, die dem entspricht.	Thank you very much, Mr Titley; I hope we will adopt a resolution along those lines today.
Alles, was die Diplomatie bei Milosevic erreichen konnte, war ein höhnisches Lächeln über so viel westliche Blödheit.	All diplomacy could achieve with Milosevic was a scornful smile at so much Western stupidity.
Er nimmt bisher immer nur unsere Schwächen als Freibrief zur Fortsetzung des Völkermordes in Bosnien wie im Kosovo.	Hitherto, he has always simply taken our weakness as a licence to continue the genocide in Bosnia and now in Kosovo.
Leider ist die Situation jedoch noch viel unappetitlicher.	Unfortunately, however, the situation is even more unsavoury.
Der Westen hat zwar unausgesprochen, aber realiter Milosevic anfänglich im Kosovo morden lassen, weil er die sogenannte Befreiungsarmee der UCK zerschlagen sollte, die ja mit ihrem Aufstand die Friedhofsruhe im Kosovo gestört und den Blick der Welt endlich auf dieses elende serbische Apartheid-Regime gerichtet hatte.	The West did not say it explicitly, but at the beginning, the reality was that they let Milosevic kill in Kosovo because he was said to be crushing the so-called Kosovo Liberation Army, whose revolt it was which shattered the deathly calm in Kosovo, and at last turned the eyes of the world on this miserable Serbian regime of apartheid.
Plötzlich ist Rugova der wichtigste Mann.	Suddenly Mr Rugova is the most important man.
Warum half ihm denn keiner, als er während acht Jahren den friedlichen Widerstand seines Volkes organisierte, auf unsere Unterstützung hoffend?	Why, then, did no one help him over the eight years that he led his people in peaceful resistance, hoping for our support?
Die Krokodilstränen, die der Westen jetzt zugunsten Rugovas vergießt, die unterlaufenen Sanktionen, die leeren Drohungen sind Zeichen hilfloser politischer Wurstelei.	The crocodile tears which the West now sheds for Mr Rugova, the contravened sanctions and the empty threats are all signs of helpless political disarray.
Und nun läuft der countdown .	And now the countdown has started.
Er läuft, aber man kann fragen, wo läuft er denn?	It has started, but, we might well ask, where will it end?
Doch was kommt selbst nach einem militärischen Schlag, den ich seit langem hier fordere?	What does come after a military strike, which I have been calling for for so long in this House?
Allein eine zeitlich begrenzte internationale Verwaltung des Kosovo, die den Albanern Lebensrecht auf dem Kosovo sichert, ihnen die Angst vor der Ausrottung nimmt, ihnen die Selbstverwaltung ihrer Angelegenheiten zuspricht, könnte Raum für zielführende Verhandlungen unter westlicher Vermittlung schaffen.	The only formula which could provide scope for successful negotiations, mediated by the West, is a temporary international administration in Kosovo, safeguarding the right of the Albanians to live in Kosovo, removing their fears of extermination, and granting them self-determination of their affairs.
Ich befürchte jedoch leider, daß Milosevic dann die Verhandlungen hinauszögern wird, daß die Katze mit der Maus ein schreckliches Spiel spielen wird und der Westen am Ende die Maus dafür schuldig sprechen wird, daß sie sich nicht hat freiwillig fressen lassen, und die armen Zuschauer mitleidig zusehen mußten.	Unfortunately, however, I fear that Milosevic will then delay the negotiations, that the cat will lead the mouse a terrible dance and that, ultimately, the West will pronounce the mouse guilty because it did not give itself up to be eaten and because the poor spectators were forced to look on pityingly.
Das wird das Ende dieser Affäre sein, und ich bedauere dies ganz besonders und hoffe sehr, daß der Rat, die Kommission und die Weltgemeinschaft ein Einsehen haben und den Menschen im Kosovo, die täglich sterben, zu Hilfe kommen.	That is how it will end, and I very much regret it. I hope that the Council, the Commission and the international community will see reason and come to the aid of the people of Kosovo, who are dying every day.
