Herr Präsident, ich bedanke mich für die gute Unterstützung aller Fraktionen.	Mr President, may I express my thanks for the strong support I have received from all the groups.
Damit ist es gelungen, im Rat eine positive Entscheidung für MEDIA zu erreichen.	This paved the way for a favourable decision on MEDIA by the Council.
Wir brauchen kein Vermittlungsverfahren, und wir können heute positiv entscheiden.	We have no need of conciliation procedure, and we are able to approve the common position today.
(Der Präsident erklärt den Gemeinsamen Standpunkt des Rates für gebilligt.)	(The President declared the common position approved)
Vorschlag für eine Verordnung des Rates zur Verlängerung des Förder- und Austauschprogramms für die Rechtsberufe im Bereich des Zivilrechts (Grotius-Zivilrecht) (KOM(2000) 516 - C5-0494/2000 - 2000/0220(CNS)) - Ausschuss für die Freiheiten und Rechte der Bürger, Justiz und innere Angelegenheiten	Proposal for a Council regulation extending the programme of incentives and exchanges for legal practitioners in the area of civil law (Grotius - civil) [COM(2000) 516 - C5-0494/2000 - 2000/0220(CNS)] Committee on Citizens' Freedoms and Rights, Justice and Home Affairs
(Das Parlament billigt den Vorschlag der Kommission.)	(Parliament approved the Commission proposal)
Vorschlag für eine Entscheidung des Rates zur Änderung der Entscheidung 90/424/EWG über bestimmte Ausgaben im Veterinärbereich (KOM(2000) 542 - C5-0495/2000 - 2000/0234(CNS)) - Ausschuss für Landwirtschaft und ländliche Entwicklung	Proposal for a Council decision amending Decision 90/424/EEC on expenditure in the veterinary field [COM(2000) 542 - C5-0495/2000 - 2000/0234(CNS)] Committee on Agriculture and Rural Development
(Das Parlament billigt den Vorschlag der Kommission.)	(Parliament approved the Commission proposal)
Vorschlag für einen Beschluss des Rates über den Abschluss eines Abkommens zwischen der Gemeinschaft und der Republik Zypern zur Annahme der Voraussetzungen und Bedingungen für die Teilnahme Zyperns an den Gemeinschaftsprogrammen in den Bereichen allgemeine und berufliche Bildung und Jugend (KOM(2000) 661 - C5-0577/2000 - 2000/0270(CNS)) - Ausschuss für Kultur, Jugend, Bildung, Medien und Sport	Proposal for a Council decision concerning the conclusion of an agreement between the Community and the Republic of Cyprus adopting the terms and conditions for the participation of Cyprus in Community programmes in the fields of training, education and youth [COM(2000) 661 - C5-0577/2000 - 2000/0270(CNS)] Committee on Culture, Youth, Education, the Media and Sport
(Das Parlament billigt den Vorschlag der Kommission.)	(Parliament approved the Commission proposal)
Empfehlung für die zweite Lesung (A5-0348/2000) des Ausschusses für Umweltfragen, Volksgesundheit und Verbraucherpolitik betreffend den Gemeinsamen Standpunkt des Rates (KOM(1999) 594 - C5-0431/2000 - 1999/0244(COD)) im Hinblick auf den Erlass der Richtlinie des Europäischen Parlaments und des Rates zur Angleichung der Rechts- und Verwaltungsvorschriften der Mitgliedstaaten über die Herstellung, die Aufmachung und den Verkauf von Tabakerzeugnissen (Berichterstatter: Herr J. Maaten)	Recommendation for second reading (A5-0348/2000) by Mr Maaten, on behalf of the Committee on the Environment, Public Health and Consumer Policy, on the Council common position for adopting a European Parliament and Council directive on the approximation of the laws, regulations and administrative provisions of the Member States concerning the manufacture, presentation and sale of tobacco products [COM(1999) 594 - C5-0431/2000 - 1999/0244(COD)]
Vor der Abstimmung:	Before the vote:
