- Arbeitnehmerinnen und Arbeitnehmer haben oft Identifikationsprobleme mit Europa.	Workers often have problems in identifying with Europe.
Während sich angesichts globaler Entwicklungen der gemeinsame europäische Binnenmarkt dynamisch entwickelt und die Wirtschafts- und Währungsunion immer schneller zusammenwächst, wirkt die Sozialunion meist wie das fünfte Rad am Wagen.	Whilst in view of global trends the European single market is developing in a dynamic way, and there is ever closer economic and monetary union, social union is generally treated like a ghost at the feast.
Dabei hat die Union seit Amsterdam 1997 neue Instrumente, um die Sozialpolitik besser zu entwickeln.	Since the Treaty of Amsterdam was agreed in 1997, the Union has had new instruments for enhancing social policy.
Und seit Lissabon, im März 2000, beabsichtigt der Rat, neben höherem Wachstum und qualifizierteren Arbeitsplätzen auch einen größeren sozialen Zusammenhalt zu erzielen.	And since the Lisbon Summit in March 2000, it has been the Council's intention, in addition to high growth and more skilled jobs, also to aim for greater social cohesion.
Die Kommission unterstreicht mit dem 3. Sozialprogramm die Erkenntnis, dass Wirtschaftspolitik, Beschäftigungspolitik und Sozialpolitik stärker miteinander verflochten werden müssen.	With the third social action programme, the Commission is underscoring the recognition that economic policy, employment policy and social policy need to be more closely interlinked.
Einen Nachweis dieser Verknüpfung bringt die Beschäftigungsfähigkeit: Die Menschen - nicht nur die jungen - brauchen für den Übergang von der Industriegesellschaft zur Wissensgesellschaft bessere Kenntnisse und Fähigkeiten.	Employability is providing evidence of this interlinking. In order to make the transition from the industrial society to the knowledge society, people - and not just young people - need better knowledge and skills.
Also muss in den Mitgliedstaaten mehr in Ausbildung und Bildung, Mehrsprachigkeit, Mobilität und Kommunikation investiert werden.	This means that the Member States have to invest more in education and training, multilingualism, mobility and communication.
Viele Forderungen im van Lancker-Bericht können nicht hingenommen werden.	Many of the demands made in the Van Lancker report are not acceptable.
So soll der Luxemburg-Prozess, der für die Beschäftigungspolitik gilt, auf den sozialen Schutz und die soziale Ausgrenzung ausgedehnt werden.	For example, the Luxembourg process which applies to employment policy is to be extended to social protection and social exclusion.
Diese Methode, bei der gemeinschaftliche Ziele festgelegt und nationale Aktionsprogramme durchgeführt werden, welche jährlich - auch durch unser Europäisches Parlament - bewertet werden, ist so erfolgreich, weil neue qualitative und quantitative Ziele formuliert wurden und gleichzeitig das Subsidiaritätsprinzip konsequent eingehalten wird.	This method of determining Community objectives and implementing national action programmes which are assessed annually - including by the European Parliament - is so successful precisely because new qualitative and quantitative objectives are formulated whilst simultaneously strictly adhering to the principle of subsidiarity.
Sie lässt sich nicht beliebig auf andere Bereiche übertragen; spezifische Vorgehensweisen sind notwendig.	It cannot arbitrarily be transferred to other areas, as specific procedures are needed.
Ein Recht auf Mindesteinkommen bzw. Einheitsrente wird von Christlich-Sozialen nicht mitgetragen.	The Christian Social Party does not support the right to a minimum income or a standard pension.
Ebenso wenig akzeptieren wir die erneut geforderte Verkürzung der gesetzlichen Arbeitszeit auf europäischer Ebene.	Nor do we accept the renewed demands for a reduction in legal working hours at European level.
Sie ist der Flexibilisierung der Arbeitszeit weit unterlegen, wie es die Praxis in vielen europäischen Unternehmen beweist.	It is far inferior to flexible working arrangements, as the experience of many European companies has demonstrated.
Auch das Ansinnen, es solle eine Rechtsgrundlage für die NRO geben, um einen "staatsbürgerlichen Dialog " zu regulieren, ist nicht akzeptabel.	Furthermore, the request that there should be a legal basis for NGOs to regulate a "civil dialogue" is not acceptable.
Vor lauter Lust an zentralistischen Lösungen ist der Berichterstatterin das Subsidiaritätsprinzip abhanden gekommen.	The rapporteur has departed from the principle of subsidiarity out of a sheer desire to adopt centralist solutions.
Da jedoch die wesentlichen Anträge der EVP-Fraktion soeben eine beachtliche Mehrheit finden konnten, habe ich dem Bericht zugestimmt.	However, as the Group of the European People's Party's key amendments have just obtained a substantial majority, I have voted for the report.
