Frau Präsidentin! Ich möchte mich auch auf die Reparaturklausel beschränken.	Madam President, I want to confine my remarks to the repairs clause.
Es wird demnächst Realität, wenn wir dem Rat folgen, daß für 180 Auto- und Motorradhersteller Preiserhöhungen ins Haus stehen bei Reparaturen und in der Folge natürlich auch bei Versicherungen.	This will soon become reality if we accept the suggestion that the 180 car and motorcycle manufacturers concerned will end up charging more for repairs and, consequently, for insurance.
Das alles, wenn wir nicht dem folgen, was das Parlament schon einmal beschlossen hat und was die Kommission schon einmal vorgeschlagen hat.	This will happen if we do not accept what Parliament has already decided and what the Commission has already proposed.
Das heißt, und hier verstärke ich das, was vor mir gesagt wurde, es käme tatsächlich dazu, daß der Nachbau von sichtbaren Ersatzteilen verboten würde.	This means - and here I reinforce what has just been said - that we are actually proposing to prohibit the reproduction of visible components.
Es käme zu einem Monopol, das heißt in der Folge zu einem möglichen Preisdiktat durch die Autokonzerne.	This would result in a monopoly, in other words the car manufacturing companies would be in a position to dictate prices.
Das wollen wir natürlich nicht.	Of course we do not want this.
Wir wollen weder teure Reparaturen, noch wollen wir, daß Arbeitsplätze verlorengehen.	We do not want increased repair charges any more than we want to see jobs lost.
Ich möchte darauf verweisen, daß nicht nur Arbeitsplätze in der Produktion verlorengehen, sondern selbstverständlich auch im Handel, wo die Ersatzteile verkauft werden, und selbstverständlich auch in den freien Werkstätten, die nicht mehr in der Lage wären, in vollem Umfang zu arbeiten.	I would just like to point out that jobs are going to be lost not only on the production line but also, quite understandably, in the trade sector where spare parts are sold, and of course in turn in the free-market factories which would no longer be able to operate to full capacity.
Auch hier gehen Arbeitsplätze verloren!	Jobs are going to be lost there too.
Wir sollten eigentlich für beides eintreten, das heißt für Originalersatzteile und für den Nachbau von Ersatzteilen; beides muß genauso möglich sein wie Vertragswerkstätten und freie Werkstätten.	We should be advocating both sides of the argument, that is to say both original replacement parts and reproduction parts. Both sectors should be tolerated in the same way as we accept authorized repairers and free-market workshops.
Das alles zeichnet letzten Endes den freien Markt aus, und es soll ihn auch auszeichnen.	After all, this is the beauty of the free market and it should remain so.
Das ist nur gerechtfertigt, wenn man weiß, daß bei den Autokonzernen ohnehin 70 % der Originalteile dazugekauft werden müssen.	This approach is entirely justified when one realises that car manufacturers actually have to buy-in 70 % of their original parts.
Es gibt also hier nicht diese eklatanten Gründe, für die sich manche aussprechen.	The problem of reproduction parts is therefore not as blatant as many would suggest.
Die Schlußfolgerung müßte sein: Ja zum Musterschutz, aber mit einer Reparaturklausel, und zwar mit der Möglichkeit eines Nachbaus der sichtbaren Teile unter ganz bestimmten Bedingungen, nämlich daß der Originalhersteller informiert, daß eine Lizenzgebühr entrichtet wird.	The conclusions to be drawn from this are as follows: yes to design protection - but with a repair clause which allows the reproduction of visible components under quite specific conditions, namely that the original manufacturer is notified that copyright royalties apply.
Ich meine, daß der Rat indirekt für die Autokonzerne Partei ergriffen hat, und wir als Parlament sollten morgen bei der Abstimmung für die Konsumenten und für den freien Markt Partei ergreifen.	The Council has taken the side of the motor companies in this, and in tomorrow's vote we in Parliament should support the consumer and the free market.
