Herr Präsident, meine Damen und Herren! Dieser Kompromiss trägt die Handschrift des Parlaments.	Mr President, ladies and gentlemen, this compromise bears Parliament's imprint.
Zum zweiten Mal - das erste Mal war bei der Dienstleistungsrichtlinie - ist es das Parlament, das in einer wichtigen Gesetzgebung entscheidend zu einer Lösung beiträgt.	This is the second time - the first being when we dealt with the Services Directive - that this House has made the decisive contribution to achieving a solution in an important piece of legislation.
Es ist gut so, dass die Lösung hier im Parlament gefunden worden ist.	It is good that the solution was found here in Parliament.
Es handelt sich jedoch um einen Kompromiss, eine andere Lösung gab es im Augenblick nicht, und auch eine Vermittlung wäre sicherlich sehr problematisch gewesen.	Nevertheless, it is a compromise - no other solution was possible at the time, and even mediation would have undoubtedly proved very problematic.
Deswegen ist es richtig, diesem Kompromiss zuzustimmen, wenngleich ich dies nur mit beträchtlichen Bedenken tue.	For this reason, the right course of action is to endorse this compromise - although I do so only with considerable reservations.
Mit dieser REACH-Regelung erzielen wir einen revolutionären Fortschritt in Bezug auf die Kenntnis über rund 30 000 Stoffe, mit denen die Wirtschaft umgeht.	This REACH regime signifies revolutionary progress with regard to knowledge about approximately 30 000 substances used in trade and industry.
Das ist ein dramatischer Fortschritt für Umwelt und Gesundheit in Europa. Sie, Herr Ratspräsident Pekkarinen, haben dies völlig zu Recht dargelegt.	This means dramatic progress for health and the environment in Europe, as the President-in-Office rightly pointed out.
Aber warum, frage ich Sie, haben Sie nicht ein Wort darüber verloren, dass wir den Unternehmen nicht nur die Verantwortung für die Stoffe übertragen, sondern sie auch mit beträchtlichen Kosten belasten?	Why, however, I ask him, did he fail to say a single word about the fact that we are not only transferring responsibility for substances to enterprises, but also imposing considerable costs on them?
Dass wir neue bürokratische Verfahren in Europa einführen, und damit genau das Gegenteil von dem tun, was wir ansonsten in unseren Sonntagsreden über den Abbau von Bürokratie und das Erreichen der Ziele von Lissabon verkünden.	Why did he not mention that we are introducing new bureaucratic procedures in Europe, and thus doing the exact opposite of what we proclaim in our soapbox speeches about cutting red tape and achieving the Lisbon objectives?
Ich finde, die Ehrlichkeit gebietet es zu sagen, ja, wir wollen diesen umweltpolitischen Fortschritt, aber wir belasten damit auch die Wirtschaft und Industrie mit beträchtlichen Kosten.	I think that honesty requires us to admit that we want this environmental progress but are imposing considerable costs on the business and industrial community in the process.
Ob ihre Wettbewerbsfähigkeit das aushält, wie Herr Verheugen und ich es hoffen, wird sich zeigen.	Time will tell whether, as Mr Verheugen and I hope, the competitiveness of this community can withstand that.
Fakt ist, dass zunächst einmal Kosten im Raum stehen, die niedriger hätten sein können.	The fact is that, first of all, costs are being mentioned that could have been lower.
Testerleichterungen für den Niedrigtonnagebereich hat der finnische Ratsvorsitz verweigert.	The Finnish Council Presidency rejected a relaxation of testing requirements for low tonnages.
Diese Tests sind erstens teuer, zweitens wenig aussagekräftig und erfordern drittens enorm viel Tierversuche.	Firstly, these tests are expensive, secondly, they are not very useful, and thirdly, they require enormous amounts of animal testing.
Es wäre besser gewesen, auf die Lösung des Parlaments zurückzugreifen, die wir gemeinsam mit dem Kollegen Sacconi - dem ich für seine Arbeit danke - in der ersten Lesung gefunden haben.	It would have been better to revert to the solution found at first reading by Parliament, together with Mr Sacconi - to whom I am obliged for his work.
Was kommt jetzt?	What comes next?
Jetzt kommt die Umsetzung dieses gewaltigen Werks, dieser Verordnung, die unmittelbar gilt, also nicht erst auf nationaler Ebene in Recht umgesetzt werden muss, bei der es aber entscheidend darauf ankommt, wie Kommission und Agentur mit den Betroffenen umgehen.	The next step is the implementation of this massive piece of work, this Regulation, which takes effect immediately - that is to say, does not first need to be transposed into national law. A decisive factor in this regard will be the way that the Commission and the Agency deal with those concerned.
Ich bitte vor allem die beiden Kommissare, nämlich Herrn Dimas und Herrn Verheugen, die genauer wissen als andere, dass die Systematik von REACH kleine und mittlere Unternehmen tendenziell benachteiligt, als Partner mit kleinen und mittleren Unternehmen bei der Umsetzung und im partnerschaftlichen Geiste zusammenzuarbeiten, sowie dafür zu sorgen, dass die europäische Wirtschaft diese Belastung auch aushält.	I would ask the two Commissioners, in particular, namely Messrs Dimas and Verheugen - who are more acutely aware than others that the organisation of REACH tends to put small and medium-sized enterprises at a disadvantage - to work together with SMEs on implementation in a spirit of partnership, and also to ensure that the European economy can withstand this strain.
